archive,code,fond,inventory,file,title,tags,years
ДАЗпО,Р5593-3-305,Р5593,3,305,"Метрична книга. Церква Успіння Пресвятої Богородиці, с. Андріївка Олександрівського пов. Андріївської вол.",метрична книга|смерть,1906-1920
ДАЗпО,Р5593-2-635,Р5593,2,635,"Метрична книга. Церква на честь Казанської ікони Божої Матері, с. Більманка Олександрівського пов. Царекостянтинівської вол.",метрична книга|народження|шлюб|смерть,1889-1889
ДАЗпО,Р5593-2-664А,Р5593,2,664А,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Олексіївка Олександрівського пов. Царекостянтинівської вол.",метрична книга|народження,1873-1873
ДАЗпО,Р5593-3-459А,Р5593,3,459А,"Метрична книга. Свято-Духівська церква, с. Царекостянтинівка Олександрівського пов. Царекостянтинівської вол.",метрична книга|народження|шлюб|смерть,1920-1923
ДАЗпО,Р5593-2-1253,Р5593,2,1253,"Метрична книга. Церква Успіння Пресвятої Богородиці, м. Ногайськ Бердянського пов.",метрична книга|народження|шлюб|смерть,1881-1884
ДАЗпО,Р5593-2-860,Р5593,2,860,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Білецьке (Аул) Бердянського пов. Білецької вол.",метрична книга|народження|шлюб|смерть,1902-1903
ДАЗпО,Р5593-3-856,Р5593,3,856,"Метрична книга. Церква Святого Миколая, с. Миколаївське Бердянського пов. Дмитрівської вол.",метрична книга|народження|шлюб|смерть,1912-1913
ДАЗпО,Р5593-3-823,Р5593,3,823,"Метрична книга. Володимиро-Богородицька церква, с. Нововасилівка Бердянського пов. Дмитрівської вол.",метрична книга|народження|шлюб|смерть,1906-1907
ДАЗпО,Р5593-3-824,Р5593,3,824,"Метрична книга. Володимиро-Богородицька церква, с. Нововасилівка Бердянського пов. Дмитрівської вол.",метрична книга|народження|шлюб|смерть,1908-1910
ДАЗпО,Р5593-3-825,Р5593,3,825,"Метрична книга. Володимиро-Богородицька церква, с. Нововасилівка Бердянського пов. Дмитрівської вол.",метрична книга|народження|шлюб|смерть,1911-1912
ДАЗпО,Р5593-3-984,Р5593,3,984,"Метрична книга. Церква Архангела Михаїла, с. Новомихайлівка Бердянського пов. Новомихайлівської вол.",метрична книга|народження|шлюб|смерть,1910-1910
ДАЗпО,Р5593-3-986,Р5593,3,986,"Метрична книга. Церква Архангела Михаїла, с. Новомихайлівка Бердянського пов. Новомихайлівської вол.",метрична книга|народження|шлюб|смерть,1911-1912
ДАЗпО,Р5593-3-890,Р5593,3,890,"Метрична книга. Церква Святої Трійці, с. Дівнинське Бердянського пов. Покровської вол.",метрична книга|народження|шлюб|смерть,1910-1910
ДАЗпО,Р5593-3-1004,Р5593,3,1004,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Обіточне Бердянського пов. Попівської вол.",метрична книга|народження,1915-1915
ДАЗпО,Р5593-3-1005,Р5593,3,1005,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Обіточне Бердянського пов. Попівської вол.",метрична книга|народження,1916-1916
ДАЗпО,Р5593-2-696,Р5593,2,696,"Метрична книга. Церква Святого Миколая, с. Попівка Бердянського пов. Попівської вол.",метрична книга|народження|шлюб|смерть,1904-1904
ДАЗпО,Р5593-2-1429,Р5593,2,1429,"Метрична книга. Церква Успіння Пресвятої Богородиці, с. Стульнєве Бердянського пов. Чернігівської вол.",метрична книга|народження|шлюб|смерть,1900-1900
ДАЗпО,Р5593-2-301,Р5593,2,301,"Метрична книга. Церква Успіння Пресвятої Богородиці, с. Балки Мелітопольського пов. Балківської вол.",метрична книга|народження|шлюб|смерть,1896-1897
ДАЗпО,Р5593-2-578,Р5593,2,578,"Метрична книга. Свято-Петропавлівська церква, с. Велика Білозерка Мелітопольського пов. Великобілозерської вол.",метрична книга|народження|шлюб|смерть,1879-1879
ДАЗпО,Р5593-2-592,Р5593,2,592,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Велика Білозерка Мелітопольського пов. Великобілозерської вол.",метрична книга|народження|шлюб|смерть,1879-1879
ДАЗпО,Р5593-3-222,Р5593,3,222,"Метрична книга. Церква на честь Казанської ікони Божої Матері, с. Новопетрівка Мелітопольського пов. Великобілозерської вол.",метрична книга|народження|шлюб|смерть,1907-1907
ДАЗпО,Р5593-2-239,Р5593,2,239,"Метрична книга. Церква Святого Пантелеймона, с. Верхня Білозерка Мелітопільського пов. Верхньобілозерської вол.",метрична книга|народження|шлюб|смерть,1885-1885
ДАЗпО,Р5593-2-244,Р5593,2,244,"Метрична книга. Церква Святого Пантелеймона, с. Верхня Білозерка Мелітопільського пов. Верхньобілозерської вол.",метрична книга|народження|шлюб|смерть,1893-1893
ДАЗпО,Р5593-2-353,Р5593,2,353,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Веселе Мелітопольського пов. Веселівської вол.",метрична книга|народження|смерть,"1868-1868,1899-1899"
ДАЗпО,Р5593-2-358,Р5593,2,358,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Веселе Мелітопольського пов. Веселівської вол.",метрична книга|народження|шлюб|смерть,1879-1879
ДАЗпО,Р5593-2-363,Р5593,2,363,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Веселе Мелітопольського пов. Веселівської вол.",метрична книга|народження|шлюб|смерть,1883-1884
ДАЗпО,Р5593-2-399А,Р5593,2,399А,"Метрична книга. Церква Успіння Пресвятої Богородиці, с. Гаврилівка Мелітопольського пов. Веселівської вол.",метрична книга|народження|шлюб|смерть,1885-1885
ДАЗпО,Р5593-2-328,Р5593,2,328,"Метрична книга. Церква Іоанна Богослова, с. Менчикури Мелітопольського пов. Веселівської вол. Державний архів Запорізької області",метрична книга|народження|шлюб|смерть,1892-1893
ДАЗпО,Р5593-2-526,Р5593,2,526,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1869-1869
ДАЗпО,Р5593-2-527,Р5593,2,527,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1870-1870
ДАЗпО,Р5593-2-528,Р5593,2,528,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1871-1871
ДАЗпО,Р5593-2-529,Р5593,2,529,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1872-1872
ДАЗпО,Р5593-2-535,Р5593,2,535,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1879-1879
ДАЗпО,Р5593-2-536,Р5593,2,536,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1880-1880
ДАЗпО,Р5593-2-538,Р5593,2,538,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1882-1882
ДАЗпО,Р5593-2-539,Р5593,2,539,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1883-1883
ДАЗпО,Р5593-2-540,Р5593,2,540,"Метрична книга. Церква Знаменія Божої Матері, с. Велика Знам’янка Мелітопольського пов. Знам’янської вол. Міжархівний довідник",метрична книга|народження|шлюб|смерть,1884-1884
