full_code,tags
ДАЗпО-Р5593-2-909,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-910,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-910А,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-644,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-645,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-646,метрична книга|народження
ДАЗпО-Р5593-3-647,метрична книга|народження
ДАЗпО-Р5593-3-648,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-650,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-653,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-453,метрична книга|народження|шлюб|смерть
ДАЗпО-149-1-27,метрична книга|народження|шлюб|смерть
ДАЗпО-149-1-32,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-912,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-900,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-762,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1010,метрична книга|народження|шлюб
ДАЗпО-Р5593-3-455,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-456,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-457,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-458,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-459,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-1-176,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-826,метрична книга|народження|шлюб|смерть
ДАЗпО-246-1-199,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-174,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-815,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1369,метрична книга|народження
ДАЗпО-Р5593-2-1370,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-901,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-978,метрична книга|народження
ДАЗпО-Р5593-3-789,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1143,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-462,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1356,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1357,метрична книга|народження|смерть
ДАЗпО-Р5593-2-1360,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1362,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1363,метрична книга|народження
ДАЗпО-Р5593-2-1375,метрична книга|народження
ДАЗпО-Р5593-2-1191,метрична книга|народження
ДАЗпО-Р5593-2-1128,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1424,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1426,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-1401,метрична книга|народження
ДАЗпО-Р5593-2-1406,метрична книга|народження
ДАЗпО-246-1-67,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-293,метрична книга|народження|шлюб|смерть
ДАЗпО-246-1-151,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-242,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-237,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-229,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-240,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-231,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-604,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-606,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-611,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-241,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-380,метрична книга|народження|шлюб
ДАЗпО-Р5593-2-389,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-208,метрична книга|народження|шлюб|смерть
ДАЗпО-246-1-152,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-206,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-338,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-262,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-280,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-359,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-367,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-369,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-375,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-300,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-276,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-302,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-3-279,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-393,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-403,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-412,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-413,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-347,метрична книга|народження|шлюб|смерть
ДАЗпО-Р5593-2-525,метрична книга|народження|шлюб|смерть
