full_code,title
ДАЗпО-134-1-3,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-1,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-4,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-6,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-7,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-8,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-9,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-10,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-11,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-12,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-13,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-14,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-15,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-16,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-17,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-18,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-19,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-20,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-21,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-22,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-23,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-24,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-25,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-26,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-27,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-28,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-29,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-30,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-363,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-31,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-32,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-134-1-33,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-364,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-365,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-366,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-367,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-368,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-369,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-370,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-Р5593-3-371,"Метрична книга. Церква Святого Миколая, с. Біленьке Катеринославського пов. Біленської вол."
ДАЗпО-126-1-8,"Метрична книга. Церква Стретіння Господнього, с. Михайлівка Катеринославського пов. Михайлівської вол."
ДАЗпО-126-1-9,"Метрична книга. Церква Стретіння Господнього, с. Михайлівка Катеринославського пов. Михайлівської вол."
ДАЗпО-126-1-10,"Метрична книга. Церква Стретіння Господнього, с. Михайлівка Катеринославського пов. Михайлівської вол."
ДАЗпО-126-1-11,"Метрична книга. Церква Стретіння Господнього, с. Михайлівка Катеринославського пов. Михайлівської вол."
ДАЗпО-126-1-13,"Метрична книга. Церква Стретіння Господнього, с. Михайлівка Катеринославського пов. Михайлівської вол."
ДАЗпО-126-1-14,"Метрична книга. Церква Стретіння Господнього, с. Михайлівка Катеринославського пов. Михайлівської вол."
ДАЗпО-126-1-15,"Метрична книга. Церква Стретіння Господнього, с. Михайлівка Катеринославського пов. Михайлівської вол."
ДАЗпО-126-1-12,"Метрична книга. Церква Стретіння Господнього, с. Михайлівка Катеринославського пов. Михайлівської вол."
ДАЗпО-Р5593-2-513,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Августинівка Катеринославського пов. Августинівської вол."
ДАЗпО-128-1-1,"Метрична книга. Свято-Ільїнська церква, с. Гнатівка Катернославського пов. Августинівської вол."
ДАЗпО-128-1-3,"Метрична книга. Свято-Ільїнська церква, с. Гнатівка Катернославського пов. Августинівської вол."
ДАЗпО-128-1-4,"Метрична книга. Свято-Ільїнська церква, с. Гнатівка Катернославського пов. Августинівської вол."
ДАЗпО-128-1-5,"Метрична книга. Свято-Ільїнська церква, с. Гнатівка Катернославського пов. Августинівської вол."
ДАЗпО-128-1-8,"Метрична книга. Свято-Ільїнська церква, с. Гнатівка Катернославського пов. Августинівської вол."
