full_code,db_before,catalog
ДАЗпО-134-1-6,1867-1868,1867-1869
ДАЗпО-128-1-3,1867-1869,1866-1869
ДАЗпО-128-1-4,1870-1889,"1870-1870,1888-1890"
ДАЗпО-Р5593-3-361,1904-1905,1904-1913
ДАЗпО-Р5593-3-373,1899-1901,1899-1908
ДАЗпО-Р5593-3-74,1906-1912,"1906-1912,1915-1915"
ДАЗпО-Р5593-2-1224,1879-1883,"1879-1883,1889-1890"
ДАЗпО-Р5593-2-130,1880-1882,1880-1883
ДАЗпО-19-1-3,1836-1838,1830-1839
ДАЗпО-145-1-25,1879-1881,1878-1882
ДАЗпО-152-1-3,1849-1850,1849-1851
ДАЗпО-149-1-8,1839-1840,1831-1840
ДАЗпО-149-1-21,1866-1866,1864-1866
ДАЗпО-149-1-33,1891-1891,1890-1891
ДАЗпО-Р5593-2-501,1882-1882,"1880-1880,1882-1882"
ДАЗпО-Р5593-2-462,1872-1873,1871-1873
ДАЗпО-Р5593-2-469,1889-1889,"1888-1888,1898-1898"
ДАЗпО-Р5593-3-339,1917-1917,1916-1917
ДАЗпО-Р5593-2-839,1878-1880,1872-1881
ДАЗпО-172-1-2,1832-1838,1832-1840
ДАЗпО-Р5593-2-912,1882-1882,1882-1883
ДАЗпО-151-1-7,1884-1886,1881-1886
ДАЗпО-Р5593-3-248,1904-1906,"1902-1902,1904-1906"
ДАЗпО-116-1-6,1849-1850,1849-1851
ДАЗпО-170-1-1,1837-1841,1837-1845
ДАЗпО-170-1-12,1898-1900,1898-1903
ДАЗпО-Р5593-3-766А,1925-1925,"1917-1918,1925-1925"
ДАЗпО-Р5593-3-378,1910-1910,1909-1910
ДАЗпО-Р5593-2-428,1873-1874,1864-1874
ДАЗпО-Р5593-2-430,1881-1885,1881-1888
ДАЗпО-Р5593-2-431,1889-1895,"1889-1895,1901-1905"
ДАЗпО-124-1-5,1854-1856,1854-1862
ДАЗпО-150-1-1,1807-1813,1799-1813
ДАЗпО-150-1-6,1871-1872,1871-1874
ДАЗпО-150-1-9,1890-1892,"1883-1883,1890-1892"
ДАЗпО-179-1-8,1873-1873,1873-1875
ДАЗпО-179-1-11,1885-1886,1885-1888
ДАЗпО-Р5593-2-1005,1882-1882,1882-1885
ДАЗпО-Р5593-3-1010,1908-1908,"1895-1895,1908-1908"
ДАЗпО-Р5593-3-329,1919-1920,"1911-1911,1919-1920"
ДАЗпО-Р5593-2-445,1896-1896,1895-1896
ДАЗпО-Р5593-3-323,1917-1919,1916-1919
ДАЗпО-114-1-8,1856-1860,1854-1860
ДАЗпО-Р5593-3-348,1910-1910,1909-1910
ДАЗпО-Р5593-3-349,1911-1911,1910-1911
ДАЗпО-Р5593-3-351,1912-1912,"1912-1912,1915-1915"
ДАЗпО-Р5593-3-354,1916-1916,1915-1916
ДАЗпО-Р5593-3-743,1909-1909,"1900-1900,1909-1909"
ДАЗпО-169-1-4,1859-1859,1859-1861
ДАЗпО-Р5593-2-670,1890-1891,1889-1891
ДАЗпО-Р5593-2-672,1893-1894,1892-1894
ДАЗпО-Р5593-3-450,1916-1921,"1914-1918,1920-1921"
ДАЗпО-Р5593-2-68,1906-1906,"1889-1889,1906-1906"
ДАЗпО-Р5593-3-45,1909-1909,"1907-1907,1909-1909"
ДАЗпО-Р5593-2-932,1876-1877,1875-1877
ДАЗпО-Р5593-3-954,1895-1910,"1885-1885,1890-1895,1897-1897,1900-1910"
ДАЗпО-Р5593-3-958,1911-1918,1911-1920
ДАЗпО-Р5593-2-1255,1885-1897,"1885-1885,1889-1890,1892-1895,1897-1897,1900-1900,1904-1904"
ДАЗпО-246-1-8,1814-1814,"1814-1814,1838-1838"
ДАЗпО-246-1-1,1801-1805,"1799-1805,1824-1824"
ДАЗпО-Р5593-2-746,1894-1894,1892-1894
ДАЗпО-Р5593-3-514,1919-1920,1918-1920
ДАЗпО-Р5593-3-480,1907-1914,"1898-1900,1903-1903,1907-1909,1914-1914"
ДАЗпО-Р5593-2-127,1900-1901,1899-1901
ДАЗпО-Р5593-2-1118,1874-1877,1874-1880
ДАЗпО-Р5593-2-1123,1905-1905,1903-1905
ДАЗпО-Р5593-3-894,1915-1915,"1912-1913,1915-1915"
ДАЗпО-Р5593-2-9,1864-1864,"1864-1864,1890-1897"
ДАЗпО-Р5593-3-1087,1893-1907,"1893-1896,1898-1907,1915-1915"
ДАЗпО-55-1-1,1818-1824,"1818-1819,1821-1825"
ДАЗпО-243-1-20,1902-1902,1902-1903
ДАЗпО-Р5593-3-91,1904-1904,"1904-1904,1907-1907"
ДАЗпО-Р5593-2-1182,1905-1905,"1894-1894,1904-1905"
ДАЗпО-Р5593-3-882,1906-1907,1904-1907
ДАЗпО-Р5593-2-1329,1872-1875,"1869-1869,1871-1875"
ДАЗпО-Р5593-2-1332,1879-1880,1878-1880
ДАЗпО-Р5593-2-1341,1890-1890,"1888-1888,1890-1890"
ДАЗпО-Р5593-2-1342,1891-1892,1890-1892
ДАЗпО-Р5593-2-1343,1895-1896,"1891-1891,1895-1896"
ДАЗпО-Р5593-2-1345,1895-1895,1895-1896
ДАЗпО-Р5593-2-1348,1901-1902,1900-1902
ДАЗпО-Р5593-2-1158,1897-1900,"1894-1894,1897-1900"
ДАЗпО-Р5593-3-839,1904-1909,"1893-1893,1904-1909"
ДАЗпО-Р5593-3-840,1910-1910,1906-1910
ДАЗпО-Р5593-3-842,1914-1915,1913-1915
ДАЗпО-Р5593-3-843,1916-1919,1915-1919
ДАЗпО-Р5593-3-821,1911-1914,"1906-1907,1909-1909,1911-1911,1913-1915"
ДАЗпО-Р5593-2-1163,1902-1903,"1890-1890,1902-1903"
ДАЗпО-Р5593-3-846,1909-1910,"1905-1905,1909-1910"
ДАЗпО-Р5593-3-848,1908-1908,1908-1909
ДАЗпО-Р5593-3-850,1916-1919,"1914-1916,1918-1919"
ДАЗпО-Р5593-2-1150,1903-1903,"1893-1894,1903-1903"
ДАЗпО-Р5593-3-875,1909-1909,"1906-1906,1908-1909"
ДАЗпО-Р5593-3-876,1910-1912,1909-1912
ДАЗпО-Р5593-2-946,1880-1894,1880-1905
ДАЗпО-Р5593-2-947,1885-1906,1880-1906
ДАЗпО-Р5593-2-1002,1904-1905,1901-1905
ДАЗпО-Р5593-3-734,1915-1915,1913-1915
ДАЗпО-Р5593-3-817,1906-1915,"1904-1911,1913-1915"
ДАЗпО-Р5593-3-818,1912-1919,"1909-1909,1912-1919"
ДАЗпО-Р5593-2-100,1891-1891,1889-1891
ДАЗпО-Р5593-2-1142,1901-1905,"1900-1901,1904-1905"
ДАЗпО-Р5593-2-643,1902-1905,1902-1906
ДАЗпО-Р5593-2-685,1880-1880,1880-1881
ДАЗпО-Р5593-3-472,1909-1909,1908-1909
ДАЗпО-Р5593-2-1354,1874-1876,1873-1876
ДАЗпО-Р5593-2-1365,1893-1893,1893-1894
ДАЗпО-Р5593-2-1367,1897-1900,1896-1900
ДАЗпО-Р5593-3-996,1914-1914,1913-1914
ДАЗпО-Р5593-2-1211,1872-1880,1871-1880
ДАЗпО-Р5593-2-1251,1892-1892,"1891-1892,1903-1903"
ДАЗпО-Р5593-2-1374,1883-1883,1883-1884
ДАЗпО-Р5593-3-944,1910-1910,"1910-1910,1916-1916"
ДАЗпО-Р5593-3-963,1912-1912,"1912-1912,1918-1918"
ДАЗпО-Р5593-3-1078,1919-1919,"1919-1919,1921-1921"
ДАЗпО-Р5593-3-1077,1919-1919,"1919-1919,1921-1921"
ДАЗпО-Р5593-2-1201,1892-1892,"1889-1889,1892-1892,1903-1903"
ДАЗпО-Р5593-3-903,1892-1894,"1892-1892,1894-1894,1920-1920"
ДАЗпО-Р5593-2-519,1891-1896,1891-1897
ДАЗпО-Р5593-2-1221,1890-1895,1889-1895
ДАЗпО-Р5593-2-119,1890-1899,1889-1899
ДАЗпО-Р5593-3-79,1911-1919,"1910-1914,1916-1919"
ДАЗпО-Р5593-3-828,1901-1906,1900-1906
ДАЗпО-Р5593-3-829,1907-1915,"1903-1903,1907-1910,1913-1915"
ДАЗпО-Р5593-3-830,1914-1920,1913-1920
ДАЗпО-Р5593-2-1187,1901-1904,1900-1904
ДАЗпО-Р5593-3-899,1909-1913,"1909-1909,1912-1914"
ДАЗпО-Р5593-3-898,1916-1920,1915-1920
ДАЗпО-Р5593-3-858,1911-1916,"1906-1906,1911-1913,1915-1916"
ДАЗпО-Р5593-3-859,1910-1914,"1910-1914,1916-1916"
ДАЗпО-Р5593-2-1130,1897-1899,"1893-1893,1897-1899"
ДАЗпО-Р5593-3-836,1911-1912,"1908-1908,1911-1912"
ДАЗпО-Р5593-3-837,1913-1915,1912-1915
ДАЗпО-Р5593-3-979,1911-1913,"1909-1909,1911-1913"
ДАЗпО-Р5593-3-981,1916-1920,"1914-1918,1920-1920"
ДАЗпО-Р5593-2-1427,1897-1898,1897-1899
ДАЗпО-Р5593-3-1032,1915-1915,"1911-1911,1915-1915"
ДАЗпО-Р5593-2-1383,1866-1866,1865-1866
ДАЗпО-Р5593-2-1414,1884-1898,"1878-1885,1887-1890,1892-1892,1894-1898"
ДАЗпО-Р5593-2-1392,1882-1882,"1873-1873,1882-1882"
ДАЗпО-Р5593-2-1393,1882-1882,1881-1882
ДАЗпО-Р5593-2-1399,1888-1889,1888-1890
ДАЗпО-Р5593-2-1404,1896-1897,"1896-1897,1899-1899"
ДАЗпО-Р5593-2-1407,1898-1901,"1896-1896,1898-1901"
ДАЗпО-Р5593-2-1408,1900-1900,"1897-1897,1900-1900"
ДАЗпО-246-1-61,1810-1827,"1810-1818,1820-1828"
ДАЗпО-246-1-47,1830-1830,1830-1839
ДАЗпО-246-1-66,1842-1843,1842-1845
ДАЗпО-246-1-102,1847-1849,1846-1849
ДАЗпО-246-1-132,1853-1853,1852-1853
ДАЗпО-246-1-78,1844-1849,"1843-1846,1848-1849"
ДАЗпО-246-1-129,1852-1852,1852-1857
ДАЗпО-Р5593-2-280,1891-1892,"1891-1891,1894-1894"
ДАЗпО-Р5593-3-183,1910-1910,"1908-1908,1910-1910"
ДАЗпО-87-1-10,1899-1899,1898-1899
ДАЗпО-Р5593-3-172,1907-1907,1905-1907
ДАЗпО-Р5593-3-198А,1916-1920,1915-1920
ДАЗпО-Р5593-3-151,1917-1920,1910-1920
ДАЗпО-Р5593-3-189,1908-1920,1908-1921
ДАЗпО-Р5593-2-223,1894-1908,"1893-1895,1907-1908"
ДАЗпО-Р5593-2-226,1901-1902,"1901-1902,1918-1920"
ДАЗпО-Р5593-2-524,1878-1878,"1874-1874,1878-1878"
ДАЗпО-Р5593-2-580,1884-1884,1882-1884
ДАЗпО-Р5593-2-610,1883-1883,1883-1884
ДАЗпО-Р5593-2-581,1886-1886,"1874-1874,1886-1886"
ДАЗпО-Р5593-2-614,1890-1892,"1889-1890,1892-1892"
ДАЗпО-Р5593-2-589,1901-1902,1900-1902
ДАЗпО-Р5593-2-236,1901-1901,"1901-1901,1907-1907"
ДАЗпО-Р5593-2-237,1903-1903,"1903-1903,1908-1908"
ДАЗпО-Р5593-2-238,1885-1885,"1885-1885,1909-1909"
ДАЗпО-Р5593-2-240,1889-1889,"1889-1889,1912-1912"
ДАЗпО-Р5593-2-241,1891-1891,"1891-1891,1913-1913"
ДАЗпО-Р5593-2-242,1892-1892,"1892-1892,1915-1915"
ДАЗпО-Р5593-2-596,1899-1901,1898-1901
ДАЗпО-Р5593-3-238,1913-1913,1913-1915
ДАЗпО-Р5593-2-600,1864-1864,1864-1865
ДАЗпО-Р5593-2-601,1866-1866,1866-1867
ДАЗпО-Р5593-2-603,1873-1873,1873-1874
ДАЗпО-Р5593-2-607,1880-1880,"1878-1878,1880-1880"
ДАЗпО-Р5593-2-612,1884-1884,1884-1885
ДАЗпО-Р5593-3-234,1913-1914,"1910-1910,1913-1914"
ДАЗпО-Р5593-2-382,1891-1892,1891-1893
ДАЗпО-Р5593-3-76,1893-1907,"1893-1897,1899-1907,1920-1920"
ДАЗпО-Р5593-2-234,1899-1899,1898-1899
ДАЗпО-Р5593-2-352,1866-1866,1866-1868
ДАЗпО-Р5593-2-356,1878-1878,1873-1878
ДАЗпО-Р5593-2-357,1879-1881,1878-1881
ДАЗпО-Р5593-2-361,1883-1884,1882-1884
ДАЗпО-Р5593-2-362,1883-1883,1882-1884
ДАЗпО-Р5593-3-278,1911-1913,1911-1915
ДАЗпО-Р5593-3-254,1909-1909,1908-1909
ДАЗпО-Р5593-2-315,1894-1900,"1893-1894,1898-1900"
ДАЗпО-Р5593-2-737,1886-1897,"1880-1880,1886-1886,1897-1897"
ДАЗпО-Р5593-2-741,1898-1900,1897-1900
ДАЗпО-Р5593-3-500,1914-1914,"1912-1912,1914-1914"
ДАЗпО-Р5593-1-68,1905-1905,1904-1905
ДАЗпО-Р5593-1-204,1908-1909,1907-1909
ДАЗпО-Р5593-1-208,1917-1918,1916-1918
ДАЗпО-Р5593-3-542,1910-1910,1910-1911
ДАЗпО-Р5593-2-817,1896-1896,1896-1897
ДАЗпО-Р5593-2-826,1900-1901,"1892-1892,1900-1901"
