archive,fond,inventory,file,title,tags,years
ДАЛуО,126,15,10,"Метрична книга. Архангело-Михайлівська церква, с. Данилівка Старобільського пов.",метрична книга|народження|шлюб|смерть,
ДАЛуО,126,15,14,"Метрична книга. Архангело-Михайлівська церква, с. Данилівка Старобільського пов.",метрична книга|народження|шлюб|смерть,
ДАЛуО,126,3,13,"Метрична книга. Ганно-Зачатіївська церква, с. Павлівка Слов’яносербського пов. Павловської вол.",метрична книга|народження|шлюб|смерть,1901-1901
ДАЛуО,126,3,22,"Метрична книга. Ганно-Зачатіївська церква, с. Павлівка Слов’яносербського пов. Павловської вол.",метрична книга|народження|шлюб|смерть,1910-1910
ДАЛуО,126,23,191,"Метрична книга. Георгіївська церква, слоб. Можнякове Старобільського пов.",метрична книга|народження|шлюб|смерть,"1917-1917,1919-1919"
ДАЛуО,126,15,42,"Метрична книга. Іоана-Предтеченська церква, слоб. Євсуг Старобільського пов.",метрична книга|народження|шлюб|смерть,1895-1897
ДАЛуО,126,30,34,"Метрична книга. Костянтино-Оленівська церква, слоб. Караячна Старобільського пов.",метрична книга|народження,"1907-1913,1916-1917"
ДАЛуО,126,22,57,"Метрична книга. Миколаївська церква, слоб. Новий Айдар Старобільського пов. Державний архів Луганської області",метрична книга|народження|шлюб|смерть,1911-1915
ДАЛуО,126,26,4,"Метрична книга. Олександро-Невська церква, слоб. Нижня Дуванка Куп’янського пов.",метрична книга|народження|шлюб|смерть,"1894-1894,1899-1899"
ДАЛуО,126,18,111,"Метрична книга. Петропавлівська церква, с. Юр’ївка Куп’янського пов.",метрична книга|народження|шлюб|смерть,1909-1909
ДАЛуО,126,30,108,"Метрична книга. Покровська церква, слоб. Верхня Покровка Старобільського пов.",метрична книга|народження|шлюб|смерть,"1887-1888,1894-1897,1903-1903"
ДАЛуО,126,18,100,"Метрична книга. Преображенська церква, слоб. Кремінна Куп’янського пов.",метрична книга|народження|шлюб|смерть,1907-1909
ДАЛуО,126,18,130,"Метрична книга. Преображенська церква, слоб. Кремінна Куп’янського пов.",метрична книга|народження|шлюб|смерть,1913-1915
ДАЛуО,126,4,19,"Метрична книга. Преображенська церква, с. Петрово-Красносілля Слав’яносербського пов.",метрична книга|шлюб,1908-1914
ДАЛуО,126,15,109,"Метрична книга. Різдво-Богородична церква, слоб. Євсуг Старобільського пов.",метрична книга|народження|шлюб|смерть,1917-1918
ДАЛуО,126,15,118,"Метрична книга. Свято-Духовна церква, слоб. Кононівка Старобільського пов.",метрична книга|народження|шлюб|смерть,1899-1903
ДАЛуО,126,30,157,"Метрична книга. Тихонівська церква, слоб. Титарівка Старобільського пов.",метрична книга|народження|шлюб|смерть,"1872-1873,1882-1883"
ДАЛуО,126,30,165,"Метрична книга. Тихонівська церква, слоб. Титарівка Старобільського пов.",метрична книга|народження|шлюб|смерть,"1915-1917,1919-1919"
ДАЛуО,126,23,171,"Метрична книга. Троїцька церква, слоб. Ново-Россош Старобільського пов.",метрична книга|народження|шлюб|смерть,"1903-1903,1907-1907"
ДАЛуО,126,4,26,"Метрична книга. Успенська церква, с. Хрустальне Амвросіївського благочинія Слав’яносербського пов.",метрична книга|народження,1916-1917
ДАЛуО,126,30,43,"Метрична книга. Христовоздвиженська церква, слоб. Байдівка Старобільського пов.",метрична книга|народження|шлюб|смерть,"1898-1899,1909-1909"
ДАЛуО,126,1,106,"Метрична книга. Лютеранська церква, м. Луганськ",метрична книга|народження,1915-1920
ДАОО,39,1,129,"Листування про різних осіб, що вступали у шлюб. Синагога, м. Одеса",,1910-1915
