full_code,tags
ДАІФО-631-1-116,метрична книга|народження
ДАІФО-631-1-117,метрична книга|шлюб
ДАІФО-631-1-442,метрична книга|народження
ДАІФО-594-1-45,метрична книга|шлюб
ДАІФО-631-1-4,метрична книга|народження
ДАІФО-631-1-697,метрична книга|шлюб
ДАІФО-631-1-81,метрична книга|шлюб
ДАІФО-631-1-98,метрична книга|смерть
ДАІФО-631-1-114,метрична книга|смерть
ДАІФО-631-1-133,метрична книга|смерть
ДАІФО-631-1-137,метрична книга|смерть
ДАІФО-631-1-317,метрична книга|народження
ДАІФО-631-1-327А,метрична книга|шлюб
ДАІФО-631-1-360,метрична книга|народження
ДАІФО-631-1-66,метрична книга|народження
ДАІФО-631-1-370,метрична книга|шлюб
ДАІФО-631-1-489,метрична книга|смерть
ДАІФО-631-1-491,метрична книга|народження|шлюб|смерть
ДАІФО-631-1-494,метрична книга|народження
ДАІФО-631-1-495,метрична книга|шлюб|смерть
ДАІФО-631-1-23,метрична книга|народження|шлюб|смерть
ДАІФО-631-1-241,метрична книга|шлюб
ДАІФО-631-1-242,метрична книга|смерть
ДАІФО-631-1-244,метрична книга|шлюб
ДАІФО-631-1-273,метрична книга|шлюб
ДАІФО-631-1-274,метрична книга|смерть
ДАІФО-631-1-285,метрична книга|шлюб
ДАІФО-631-1-286,метрична книга|смерть
ДАІФО-631-1-486,метрична книга|смерть
ДАІФО-631-1-558,метрична книга|смерть
ДАІФО-631-1-571,метрична книга|народження
ДАІФО-631-1-585,метрична книга|смерть
ДАІФО-631-1-759,метрична книга|народження
ДАІФО-631-1-636,метрична книга|шлюб
ДАІФО-631-1-647,метрична книга|народження
ДАОО-37-13-883,метрична книга|смерть
ДАОО-37-3-1343,метрична книга|народження|шлюб|смерть
ДАОО-37-13-1211,метрична книга|народження
ДАОО-37-3А-65,метрична книга|народження|шлюб|смерть
ДАОО-37-13-1152,метрична книга|народження|шлюб|смерть
ДАОО-628-1-4,метрична книга|шлюб
ДАОО-39-4-1,метрична книга|народження
ДАОО-39-4-15,метрична книга|народження
ДАОО-39-4-23,метрична книга|народження
ДАОО-39-4-30,метрична книга|народження
ДАОО-39-5-11,метрична книга|народження
ДАОО-39-5-103,метрична книга|народження
ДАОО-39-5-107,метрична книга|народження
ДАОО-39-5-131,метрична книга|народження
ДАОО-39-5-138,метрична книга|народження
ДАОО-39-5-142,метрична книга|народження
ДАОО-39-5-149,метрична книга|народження
ДАОО-39-5-161,метрична книга|шлюб
ДАОО-39-5-165,метрична книга|шлюб
ДАОО-920-1-14,метрична книга|народження
ДАОО-920-1-56,метрична книга|народження
ДАПО-1011-3-98,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-57,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-141,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-178,метрична книга|народження|шлюб
ДАПО-1011-6-213,метрична книга|народження|шлюб|смерть
ДАПО-706-3-1,метрична книга|народження
ДАПО-1011-6-18,метрична книга|народження|шлюб|смерть
ДАПО-1011-8-12,метрична книга|народження
ДАПО-1011-6-296,метрична книга|народження|шлюб|смерть
ДАПО-1011-9-103,метрична книга|народження|шлюб|смерть
ДАПО-1011-9-46,метрична книга|народження|шлюб|розлучення
ДАПО-1011-9-49,метрична книга|народження|шлюб|розлучення
ДАПО-1011-9-52,метрична книга|народження|шлюб|смерть
ДАПО-1011-3-21,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-386,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-392,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-408,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-418,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-424,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-475,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-521,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-604,метрична книга|народження|шлюб|смерть
ДАПО-1011-3-110,метрична книга|народження|смерть
ДАПО-1011-6-665,метрична книга|народження|шлюб|смерть
ДАПО-1011-5-170,метрична книга|народження
ДАПО-1011-6-976,метрична книга|народження|шлюб|смерть
ДАПО-1011-8-115,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-1164,метрична книга|народження|шлюб|смерть
ДАПО-1011-6-1189,метрична книга|народження|шлюб|смерть
