27	1	Станіславська міська управа, м. Станіслав Станіславського повіту Станіславського воєводства	361
27	2	Станіславська міська управа, м. Станіслав Станіславського повіту Станіславського воєводства	0
631	3	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	53
631	4	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	30
631	5	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	37
631	6	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	23
631	7	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	114
631	8	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	246
631	9	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	70
631	10	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	35
631	13	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	292
631	15	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	74
631	12	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	214
631	14	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	498
631	11	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	84
631	1	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	847
631	2	Колекція метричних книг церков, костелів, синагог Станіславського воєводства	100
6	2	Опис 2	144
565	39	Список гмін з вказівками розміру територій, кількістю населення, шкіл та інше, Калуський повіт Станіславського воєводства	0
565	1		1
Р1418	1	Виконавчий комітет Довговойнилівської сільської ради депутатів трудящих, с. Довгий Войнилів району Станіславської області	3
Р1518	1	Виконавчий комітет Долинської районної Ради народних депутатів	5
Р295	1	Виконавчий комітет Станіславської обласної Ради депутатів трудящих	2
Р295	2		0
Р295	3		0
Р295	4		0
Р295	5		0
Р295	6		0
Р295	7		0
Р1559	1	Виконавчий комітет Калуської районної Ради депутатів трудящих, м. Калуш Калуського району Станіславської області	1
Р1559	2	Виконавчий комітет Калуської районної Ради депутатів трудящих, м. Калуш Калуського району Станіславської області	3
Р2521	1	Колекція книг державної реєстрації актів цивільного стану Станіславської, з 1962 р. – Івано-Франківської області	1098
Р777	1	Калуський районний військовий комісаріат (райвійськкомат), м. Калуш Калуського району Станіславської області	4
231	1	Опис 1	7
7	1	Опис 1	10
226	1	Прокуратура Станіславського окружного суду, м. Станіслав Станіславського повіту Станіславського воєводства	3
226	2	Прокуратура Станіславського окружного суду, переписка про розгляд апеляцій, кримінальні справи, особові справи. Циркуляри Міністерства юстиції, Міністерства внутрішніх справ.	4
Р249	1	Переселенський відділ при Управлінні сільського господарства і заготівель Станіславської області, м. Станіслав Станіславської області	6
5941	1		1
831	1		15
Р234	1		2
54	1		7
73	1		3
Р906	1		0
Р906	2		5
26	2		64
26	1		0
53	1		8
626	1		1
2	1		9
2	11		1
2	14		1
8	2		3
9	1		21
12	1		6
229	1		425
230	1		9
230	2		1240
239	1		76
260	1		22
287	1		1
513	1		8
594	1		9
Р2157	2	Кримінальні справи реабілітованих	3157
