fond_code,inv_code,seg_start,seg_end,letter_extras
Р19,1,1,84,
Р20,1,1,10,
Р20,1А,1,10,
Р21,1,1,24,
Р21,1А,1,20,
Р21,1Б,1,2,
Р21,1В,1,1,
Р21,1Г,1,2,
Р22,1,1,2,
Р12,1,1,11,
Р12,1А,1,14,
Р12,1Б,1,24,
Р12,1В,1,14,
Р12,1Г,1,3,
Р12,1Ґ,1,13,
Р23,1,1,9,
Р24,1,1,31,
Р24,1А,1,8,
Р24,1Б,1,12,
Р25,1,1,195,
Р25,1А,1,42,
Р25,1Б,1,38,
Р25,1В,1,43,
Р25,1Г,1,185,
Р26,1,1,85,
Р27,1,1,8,
Р29,1,1,25,
Р30,1,1,53,
Р30,2,54,116,
Р36,1,1,12,
Р26,1А,1,31,
Р38,1,1,43,
Р39,1,1,3,
Р39,1А,1,2,
Р39,1Б,1,1,
Р39,1В,1,3,
Р39,1Г,1,3,
Р39,1Ґ,1,1,
Р39,1Д,1,1,
Р39,1Е,1,1,1А
Р39,1Є,1,3,
Р39,1Ж,1,1,
Р39,1З,1,1,
Р27,1А,1,11,
Р40,1,1,27,
Р41,1,1,15,
Р41,1А,1,10,
Р42,1,1,8,
Р44,1,1,10,
Р44,2,11,31,
Р45,1,1,19,
Р45,2,20,87,
Р50,1,1,104,
Р50,1А,1,77,
Р50,1Б,1,95,
Р50,1В,1,52,
Р50,1Г,1,44,
Р4,1,1,111,
Р40,1А,1,37,
Р53,1,1,9,
Р53,1А,1,9,
Р50,1Ґ,1,23,
Р54,1,1,1,
Р54,1А,1,12,
Р54,1Б,1,20,
Р50,1Д,1,1,
Р50,1Е,1,2,
Р25,1Ґ,1,238,
Р25,2,239,900,
Р25,2,901,1601,
Р25,3,1602,2324,
Р25,4,2325,2672,
Р25,5,2673,3027,
Р25,6,3028,3175,
Р25,7,3176,3216,
Р25,8,3217,3251,
Р25,9,3252,3366,
Р25,10,3367,3496,
Р25,11,3497,4459,
Р25,12,4460,4663,
Р25,13,4664,5443,
Р25,14,5444,6504,
Р45,1А,1,99,
Р45,2А,100,247,
Р45,1Б,1,34,
Р45,1В,1,81,
Р60,1,1,115,
Р63,1,1,240,
Р60,2,241,287,
Р60,3,288,383,
Р60,4,384,411,
Р14,1,1,206,
Р50,1Є,1,274,
Р50,1Ж,1,86,
Р23,1А,1,19,
Р23,1Б,1,6,
Р23,1В,1,7,
Р23,1Г,1,13,
Р64,1,1,126,
Р64,2,127,149,
Р64,3,150,240,
Р63,1А,1,61,
Р44,1А,1,22,
Р73,1,1,116,
Р73,1А,1,132,
Р74,1,1,40,
Р74,1А,1,7,
Р74,1Б,1,33,
Р74,1В,1,26,
Р74,1Г,1,35,
Р74,1Ґ,1,46,
Р21,1Ґ,1,41,
Р77,1,1,113,
Р77,1А,1,16,
Р77,1Б,1,453,
Р77,1Б,454,954,
Р77,1В,1,623,
Р77,1В,624,1258,
Р23,1Ґ,1,32,
Р23,1Д,1,67,
Р73,1Б,1,48,
Р44,1Б,1,88,
Р73,1В,1,347,
Р73,1Г,1,386,
Р82,1,1,14,
Р82,1А,1,69,
Р77,1Г,1,186,
Р77,1Ґ,1,369,
Р73,1Ґ,1,89,
Р77,1Д,1,1107,
Р77,1Д,1108,2030,
Р77,2,2031,3008,
Р77,2,3009,3667,
Р73,1Д,1,68,
Р53,1Б,1,467,
Р82,1Б,1,188,
Р88,1,1,315,
Р77,1Е,1,1278,
Р77,2А,1279,2317,
Р88,1А,1,66,
Р88,1Б,1,21,
Р88,1В,1,55,
Р88,1Г,1,107,
Р95,1,1,316,
Р95,1А,1,74,
Р95,2,75,238,
Р95,1Б,1,50,
Р95,1В,1,15,
Р95,1В,16,531,
Р96,1,1,99,
Р96,1А,1,71,
Р96,1Б,1,138,
Р96,1В,1,255,
Р96,1Г,1,192,
Р96,1Ґ,1,92,
Р86,1,1,24,
Р86,1А,1,100,
Р91,1,1,397,
Р91,1,398,740,
Р96,1Д,1,31,
Р77,1Є,1,376,
Р77,1Є,377,852,
Р61,1,1,268,
Р61,1А,1,116,
Р61,1Б,1,3,
Р61,1Б,4,131,
Р61,1В,1,41,
Р97,1,1,440,
Р97,1,441,849,
Р97,1,850,1357,
Р61,1Г,1,53,
Р61,1Ґ,1,86,
Р61,1Д,1,56,
Р26,1Б,1,281,
Р23,1Е,1,51,
Р23,1Є,1,78,
Р73,1Е,1,216,
Р88,1Ґ,1,35,
Р88,1Д,1,58,
Р88,1Е,1,62,
Р108,1,1,665,
Р108,1,666,1372,
Р108,1,1373,2083,
Р108,1,2084,2635,
Р108,2,2636,3288,
Р108,2,3289,3864,
Р108,2,3865,4516,
Р108,2,4517,5303,
Р108,3,5304,5787,
Р108,3,5788,6326,
Р108,3,6327,6858,
Р108,3,6859,7420,
Р104,1,1,42,
Р71,1,1,189,
Р184,1,1,11,
Р92,1,1,22,
Р9,1,1,162,
Р26,1В,1,250,
Р26,1Г,1,375,
Р26,1Ґ,1,265,
Р186,1,1,48,
Р186,2,49,58,
Р64,1А,1,263,
Р64,2А,264,293,
Р53,1В,1,245,
Р41,1Б,1,26,
Р41,1В,1,44,
Р20,1Б,1,101,
Р20,1В,1,90,
Р129,1,1,40,
Р61,1Е,1,173,
Р116,1,1,39,
Р116,1А,1,38,
Р116,1Б,1,49,
Р95,1Г,1,173,
