fond_code,title
251,Розвиток ракетно-космічної техніки в Україні
Р100,"Звіти про науково-дослідні роботи Київського науково-дослідного і проектного інституту містобудування ""КиївНДІПмістобудування"""
Р101,Звіти про науково-дослідні роботи НДІ цукрової промисловості
Р102,Звіти про науково-дослідні роботи НДІ безпеки праці в гірничорудній промисловості
Р104,
Р105,"Звіти за темами науково-дослідних робіт по проблемах Зонального науково-дослідного та проектного інституту типового та експериментального проектування житлових і громадських будівель ""КиївЗНДІЕП"""
Р106,Звіти про науково-дослідні роботи інституту трубної промисловості «ВНДТІ»
Р107,"Звіти за темами науково-дослідних робіт по проблемах Всесоюзного науково-дослідного інституту організації виробництва та праці чорної металургії ""ВНДІОчормет"""
Р108,
Р11,Звіти про науково- дослідні роботи інституту «Південдіпроцемент»
Р112,Звіти про науково-дослідні роботи НДІ санітарної техніки та обладнання будинків
Р113,Звіти про науково-дослідні роботи НДІ целюлозної та паперової промисловості
Р115,Звіти про науково-дослідні роботи НДІ з безпеки робіт у гірничорудній промисловості
Р116,
Р117,
Р118,
Р119,Потокова автоматична лінія різання пластин магнітопроводів з рулонної сталі з косим і прямим стиками (без отворів)
Р12,
Р120,
Р121,Звіти про науково-дослідні роботи
Р122,
Р123,Горизонтальний чотирьохшпиндельний токарний автомат моделі КА-53
Р125,"Звіти по темам науково-дослідних робіт за проблемою: ""Узагальнюючі роботи по розвитку та удосконаленню міських електромереж 0,38-20кВ"""
Р126,Звіти про науково-дослідні роботи
Р127,Звіти про науково-дослідні роботи
Р128,Круглошліфувальні верстати
Р129,Радіально-свердлильний верстат з найбільшим діаметром свердління в сталі 75мм і найбільшим вильотом шпинделя 2000мм. модель 2Н57
Р13,Звіти про науково- дослідні роботи Інституту металів
Р130,Звіти за темами науково-дослідних робіт з гірничорятівної справи Науково-дослідного інституту гірничорятувальної справи «НДІГС» НВО «Респіратор»
Р131,
Р133,
Р134,Вібраційна машина для випробування робочих коліс парових турбін з зовнішнім діаметром до 7000мм для ХТ23 імені Кірова
Р135,Звіти про науково-дослідні роботи
Р136,Автомат редукування заготівок велосипедних спиць
Р138,
Р139,Звіти про науково-дослідні роботи НДІ автоматизації керування та виробництва
Р14,
Р141,
Р142,
Р144,Електродвигун трифазний асинхронний АОЛ 2-3 габариту
Р146,Звіти про науково-дослідні роботи
Р147,Звіти про науково-дослідні роботи
Р148,Звіти про науково-дослідні роботи
Р15,Звіти про науково- дослідні роботи науково-дослідного інституту вогнетривів імені А. С. Бережного
Р151,Звіти про науково-дослідні роботи
Р153,Тракторні самохідні шасі
Р154,Звіти про науково-дослідні роботи
Р155,Звіти про науково-дослідні роботи
Р157,"Остащенко-Кудрявцев Борис Павлович (1877–1956 рр.) – астронометрист-картограф, професор, доктор фізико-математичних наук, Заслужений діяч науки УРСР"
Р159,"Звіти за темами НДР ВАТ ""Київський науково-дослідний та проектно-конструкторський інститут ""Енергопроект"""
Р16,Звіти про науково- дослідні роботи НДІ харчової промисловості
Р160,Звіти про науково-дослідні роботи
Р161,Спеціальний агрегатний свердлильно-різьбонарізний верстат ХА10733
Р166,
Р168,Звіти про науково-дослідні роботи
Р17,"Звіти про науково- дослідні роботи вуглехімічного інституту ""УХІН"""
Р171,"Науково-дослідні роботи. Проблема: «Розробка рецептур технологічних процесів виробництва пластичних і технологічних мастил, мастильно-охолоджуючих рідин, присадок мастил і матеріалами, стандартизація та уніфікація їх асортименту»"
Р172,"Науково-дослідні роботи. Проблема : ""Створення конструкцій, рецептури гум, технологічних процесів і обладнання для виробництва великогабаритних і надвеликогабаритних автомобільних, будівельно-дорожних і сільськогосподарських машин, а також технології та обладнання для їх місцевого та відновного ремонту """
Р173,
Р175,"Снігоходний важкий тягач ""Харків'янка-1"""
Р176,Звіти про науково-дослідні роботи Державного інституту з проектування засобів та споруд зв’язку «Діпрозв’язок»
Р177,Зернозбиральні комбайни
Р178,"Кранцфельд Яків Львович (1933–2013 рр.) – інженер-будівельник, винахідник та раціоналізатор у галузі будівництва енергетичних об’єктів, кандидат технічних наук"
Р179,Звіти про науково-дослідні роботи НДІ будівельних конструкцій
Р18,Звіти про науково- дослідні роботи НВО «Монокристалреактив»
Р180,Науково-дослідні роботи Українського науково-дослідного інституту механічної обробки деревини «УкрНІІМОД»
Р182,Науково-дослідні роботи Запорізької філії Всесоюзного науково -дослідного і конструкторського інституту «Цветметавтоматіка» НВО «Союзкольорметавтоматика»
Р183,"Тришевський Ігор Стефанович (1918–1999 рр.) – доктор технічних наук, професор, Лауреат Державної премії СРСР, Заслужений діяч науки УРСР"
Р184,
Р185,
Р186,Сіялки
Р188,
Р189,Автонавантажувачі
Р19,Танкер «Вайян Кутюр’є»
Р190,"Автомобілі. Проект: ""Автомобіль ЗАЗ-965 «Запорожець»"""
Р191,"Автомобілі. Проект: ""Вантажний автомобіль КРАЗ-214 /КД/"""
Р192,
Р193,
Р196,
Р198,
Р199,Лабораторія пенетраціонно-каротажної станції
Р2,Звіти за темами НДР Харківського проектного та науково-дослідного інституту «ПромбудНДІпроект»
Р20,
Р200,
Р202,"Заваров Олексій Іванович (1917–2003 рр.) – кандидат архітектури, спеціаліст у галузі житлового будівництва, Народний архітектор УРСР, Заслужений будівельник УРСР, лауреат Державної премії УРСР, член-кореспондент Академії мистецтв СРСР"
Р203,Тихомиров Віктор Петрович (1887–1973 рр.) – інженер шляхів сполучення
Р204,Науково-дослідні роботи від Науково-дослідного інституту будівельного виробництва
Р205,"Звіти про науково-дослідні роботи дослідного інституту швейної промисловості ""УКРНДІШВЕЙПРОМ"""
Р206,"Матвієнко Олександра Михайлівна (1910–1996 рр.) – ботанік-альголог, доктор біологічних наук, професор Харківського державного університету імені М. Горького"
Р207,Установка для виготовлення склопластикових труб УТНП-2
Р208,Звіти про науково-дослідні роботи НВО «Укргідроспецбуд»
Р209,"Прокудін Юрій Миколайович (1911–1992 рр.) – вчений-ботанік, доктор біологічних наук, професор Харківського державного університету імені М. Горького"
Р21,
Р213,Звіти про науково-дослідні роботи Українського наукового центру охорони вод
