fond_code,inv_code,page,complex,opys,title,info,year_start,year_end,pdf_urls
Р19,1,opisi-2,2-1,1,Танкер «Вайян Кутюр’є»,"к. 2-1, од.зб. 1-84",1948,1952,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-1_1.pdf
Р20,1,opisi-2,2-2,1,Парова турбіна ВК 100-4,"к. 2-2, од.зб. 1-10",1951,1954,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-2_1__2-3_1.pdf
Р20,1А,opisi-2,2-3,1,Поворотно-лопатева гідравлічна турбіна потужністю 58000 кВт,"к. 2-3, од.зб. 1-10",1956,1956,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-2_1__2-3_1.pdf
Р21,1,opisi-2,2-4,1,Молотарка МК-1100,"к. 2-4, од.зб. 1-24",1944,1952,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
Р21,1А,opisi-2,2-5,1,Молотарка МС-1100,"к. 2-5, од.зб. 1-20",1947,1954,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
Р21,1Б,opisi-2,2-6,1,Молотарка МСА-1100,"к. 2-6, од.зб. 1-2",1951,1955,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
Р21,1В,opisi-2,2-7,1,Молотарка МСС-1100,"к. 2-7, од.зб. 1",1948,1953,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
Р21,1Г,opisi-2,2-8,1,Молотарка МКС-1100,"к. 2-8, од.зб. 1-2",1952,1953,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
Р22,1,opisi-2,2-9,1,Перший радянський блюмінг,"к. 2-9, од.зб. 1-2",1933,1933,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-9_1.pdf
Р12,1,opisi-2,2-10,1,Агрегат похилого електробуріння,"к. 2-10, од.зб. 1-11",1953,1960,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
Р12,1А,opisi-2,2-11,1,Дослідно-промислова установка з розморожування залізної руди,"к. 2-11, од.зб. 1-14",1962,1964,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
Р12,1Б,opisi-2,2-12,1,Дослідна установка з обігріву двигунів автомобілів пальниками інфрачервоного випромінювання на безгаражній стоянці автобази № 36 Головмосавтотрансу,"к. 2-12, од.зб. 1-24",1922,1966,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
Р12,1В,opisi-2,2-13,1,Дослідно-промислова установка з обігріву двигунів автомобілів газовими пальниками інфрачервоного випромінювання на спец автобазі аеропорту Куйбишев-1,"к. 2-13, од.зб. 1-14",1966,1966,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
Р12,1Г,opisi-2,2-14,1,"Дослідні пташники Українського науково-дослідного інституту птахівництва. Обладнання пальниками інфрачервоного випромінювання СВ-2. Харківська обл. Станція ""Борки""","к. 2-14, од.зб. 1-3",1963,1963,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
