seq	page	complex	fond_raw	title	opys	ranges	years	pdfs
0	opisi-2	2-1	Р-19	Танкер «Вайян Кутюр’є»	1	1-84	1948-1952	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-1_1.pdf
1	opisi-2	2-2	Р-20	Парова турбіна ВК 100-4	1	1-10	1951-1954	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-2_1__2-3_1.pdf
2	opisi-2	2-3	Р-20	Поворотно-лопатева гідравлічна турбіна потужністю 58000 кВт	1	1-10	1956	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-2_1__2-3_1.pdf
3	opisi-2	2-4	Р-21	Молотарка МК-1100	1	1-24	1944-1952	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
4	opisi-2	2-5	Р-21	Молотарка МС-1100	1	1-20	1947-1954	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
5	opisi-2	2-6	Р-21	Молотарка МСА-1100	1	1-2	1951-1955	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
6	opisi-2	2-7	Р-21	Молотарка МСС-1100	1	1	1948-1953	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
7	opisi-2	2-8	Р-21	Молотарка МКС-1100	1	1-2	1952-1953	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
8	opisi-2	2-9	Р-22	Перший радянський блюмінг	1	1-2	1933	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-9_1.pdf
9	opisi-2	2-10	Р-12	Агрегат похилого електробуріння	1	1-11	1953-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
10	opisi-2	2-11	Р-12	Дослідно-промислова установка з розморожування залізної руди	1	1-14	1962-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
11	opisi-2	2-12	Р-12	Дослідна установка з обігріву двигунів автомобілів пальниками інфрачервоного випромінювання на безгаражній стоянці автобази № 36 Головмосавтотрансу	1	1-24	1922-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
12	opisi-2	2-13	Р-12	Дослідно-промислова установка з обігріву двигунів автомобілів газовими пальниками інфрачервоного випромінювання на спец автобазі аеропорту Куйбишев-1	1	1-14	1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
