oc_id,parsed,target
4087029e-d51c-4171-afc6-e7a233c4b1eb,ДАДнО-104-1,ДАДНО-104-1
4673c2d4-9b08-4f0c-8965-feaf02ec1eda,ДАДнО-106-1,ДАДНО-106-1
7a26e30e-8b2b-46c5-bedc-6c138c4cb7fb,ДАДнО-11-1,ДАДНО-11-1
9432e155-bf9c-452b-95b9-51796a345b17,ДАДнО-113-1,ДАДНО-113-1
351004f7-2359-43cc-be54-d1ad774e9c03,ДАДнО-113-2,ДАДНО-113-2
56b72da7-a860-439c-9b27-44891d24c7bf,ДАДнО-120-1,ДАДНО-120-1
9be8942d-7f98-4bde-bd8c-15be2b7909b6,ДАДнО-132-1,ДАДНО-132-1
7a36de47-f80c-4ba3-9413-22698bad54bd,ДАДнО-134-1,ДАДНО-134-1
ee1727c1-a474-48ac-acf9-d08c98cb7acd,ДАДнО-159-1,ДАДНО-159-1
fa0fc72f-1846-47b5-b37a-57f66b5b7936,ДАДнО-177-1,ДАДНО-177-1
b1466395-493a-4e75-b143-7e397dd26d62,ДАДнО-179-1,ДАДНО-179-1
8f6a3204-9681-4287-9077-f7aa3a2a670e,ДАДнО-193-1,ДАДНО-193-1
8167856a-b462-437a-bcf5-5179d6de6370,ДАДнО-193-2,ДАДНО-193-2
dccdde12-5c5b-4762-9a0c-94044013c01d,ДАДнО-193-3,ДАДНО-193-3
93c56df1-2994-4af9-b4ca-e13505ec364b,ДАДнО-193-3,ДАДНО-193-3
6fbc94f9-03d2-4036-8615-83d3e14ab50f,ДАДнО-193-4,ДАДНО-193-4
680e1d09-5aee-4cf6-9394-36cc3fa07796,ДАДнО-193-4,ДАДНО-193-4
4eb0a522-ef93-4102-9b83-ca54a24e7fb1,ДАДнО-193-4ДОД,ДАДНО-193-4ДОД
98527791-abbd-4e51-925d-3a180fe9eb49,ДАДнО-193-5,ДАДНО-193-5
e6783591-968d-487c-bc27-228e982705b8,ДАДнО-193-5ДОД,ДАДНО-193-5ДОД
c17f5816-3aa8-4969-bc4d-e432bb4f49e7,ДАДнО-193-5ДОД,ДАДНО-193-5ДОД
8bc31f21-e425-4cbe-9b4b-17d993645b47,ДАДнО-193-6,ДАДНО-193-6
1760d1c0-56e1-42af-882a-41af4cb93fa0,ДАДнО-193-8,ДАДНО-193-8
e1dbe599-f76e-4ab1-a399-cb6a677871e5,ДАДнО-193-9,ДАДНО-193-9
5ca40228-4508-4f53-9cda-036ac522e237,ДАДнО-193-9ДОД,ДАДНО-193-9ДОД
e75de53b-2ea8-466f-878b-f425dd9d7eb9,ДАДнО-20-1,ДАДНО-20-1
248c5356-c891-4141-9982-0f3ea4204e47,ДАДнО-23-1,ДАДНО-23-1
6f30b5bf-a362-44ff-977d-df0ac5a61934,ДАДнО-259-1,ДАДНО-259-1
aa4c5677-4101-4f40-b866-6e5936088755,ДАДнО-282-1,ДАДНО-282-1
1f3e00e4-2c0d-4fc7-852f-6bd90d1b6756,ДАДнО-33-1,ДАДНО-33-1
64d1c8eb-d972-4e16-9a93-84d2dfe51163,ДАДнО-367-1,ДАДНО-367-1
91684ad6-c351-4a88-b731-453e2e8de891,ДАДнО-368-1,ДАДНО-368-1
a6aae6d7-e88c-4882-a07a-14d26e757e0e,ДАДнО-375-1,ДАДНО-375-1
c2c76394-5a95-42c9-9bd7-c50ba5cbdf70,ДАДнО-375-2,ДАДНО-375-2
75a370be-bacf-41f1-9c95-7b2dcd0af8ca,ДАДнО-379-1,ДАДНО-379-1
d85f00dd-9d9f-4109-af39-315cb01fb095,ДАДнО-379-1,ДАДНО-379-1
2c3693a7-ec84-4611-93e9-219d7e5fa93a,ДАДнО-41-1,ДАДНО-41-1
5b1e17be-ca3e-4308-859d-7e843f3573c0,ДАДнО-435-1,ДАДНО-435-1
28ee67f1-0d3b-4691-be00-37b7c07eb976,ДАДнО-444-1,ДАДНО-444-1
dda08cab-12be-420b-a188-5c9281f1e42b,ДАДнО-463-1,ДАДНО-463-1
2c32507f-c03f-487a-b409-ac0ac5e457cf,ДАДнО-465-1,ДАДНО-465-1
5a15c53e-e161-4ab2-b72c-0d50f0336a05,ДАДнО-467-1,ДАДНО-467-1
e039999e-a737-4863-9e4e-8eddad85163f,ДАДнО-468-1,ДАДНО-468-1
77dfcde0-bdb1-4ec7-81be-33cc0b36bd4e,ДАДнО-469-1,ДАДНО-469-1
d1e715b4-c6e8-4218-8afa-e9879e0d4ecf,ДАДнО-473-1,ДАДНО-473-1
c6bfbb11-5819-42c0-95da-a84eaf5e6f71,ДАДнО-501-1,ДАДНО-501-1
60514fe1-e5cd-4009-a24c-cd89f368515f,ДАДнО-520-1,ДАДНО-520-1
8c93547e-469f-453a-9692-ba06151b8364,ДАДнО-522-1,ДАДНО-522-1
1d5c8819-bf41-4369-900b-d8ee2a4e4e27,ДАДнО-523-1,ДАДНО-523-1
ddc046f4-d457-420a-9aed-44523e01fa88,ДАДнО-540-1,ДАДНО-540-1
8650cd09-9192-4bbd-a78f-525b5efad9b2,ДАДнО-54-1,ДАДНО-54-1
b76dd6b9-595d-4bca-9808-b430aaccfc62,ДАДнО-553-1,ДАДНО-553-1
c139576f-602b-4cc4-9497-db6f738fc1c3,ДАДнО-557-1,ДАДНО-557-1
d35983d1-0600-4ae3-a568-dce3d37e569c,ДАДнО-558-1,ДАДНО-558-1
172394ab-ec62-40a3-881f-2fef4d4a2b1a,ДАДнО-559-1,ДАДНО-559-1
c8b26a89-6c9a-4a44-a9f4-7bcebbd59f8b,ДАДнО-560-1,ДАДНО-560-1
4d2a2a30-ef25-4e3c-b299-727c2df4934e,ДАДнО-561-1,ДАДНО-561-1
f753a064-4431-4100-a88c-e9ef922ef089,ДАДнО-566-1,ДАДНО-566-1
c961554d-7c5f-46c4-ae97-e1d28e721fc9,ДАДнО-630-1,ДАДНО-630-1
ab435f90-9262-4669-99a3-e8a1efd2ce66,ДАДнО-634-1,ДАДНО-634-1
8f186923-6d4b-4c60-88e1-7865e54d8462,ДАДнО-646-1,ДАДНО-646-1
f5c5a82f-ed6d-46d5-9519-fcf466875c70,ДАДнО-648-1,ДАДНО-648-1
2a03198e-7b98-4a87-900a-5abeed71d2b8,ДАДнО-654-1,ДАДНО-654-1
8f58d7a1-1be0-49c4-906a-9b2560b82aa4,ДАДнО-655-1,ДАДНО-655-1
f6beefb0-c08d-4770-b2b7-77c02dba4a03,ДАДнО-660-1,ДАДНО-660-1
7ea902c1-efb5-4688-9683-ce5029b7ffa8,ДАДнО-665-1,ДАДНО-665-1
ec7d1ee9-b056-4a60-b66d-ec54f1ecd2b9,ДАДнО-672-1,ДАДНО-672-1
728e65c0-60ba-40e4-b3cc-c2bc7e52d26a,ДАДнО-674-1,ДАДНО-674-1
9e481c30-b376-40c6-9c7d-d6993d206732,ДАДнО-677-1,ДАДНО-677-1
5cffd06a-3287-4713-a167-dcd7c5acef41,ДАДнО-678-1,ДАДНО-678-1
6905704e-d589-4e66-9d6a-57017b8864c5,ДАДнО-679-1,ДАДНО-679-1
49213098-84a7-4673-a87a-9eb95419f03d,ДАДнО-681-1,ДАДНО-681-1
4f5a4e88-0b02-4356-916d-2ccd86033cc3,ДАДнО-687-1,ДАДНО-687-1
9e888fbb-f354-463e-b860-abcea9acd4fe,ДАДнО-688-1,ДАДНО-688-1
336dcba7-be90-41d2-849a-acf745172be3,ДАДнО-689-1,ДАДНО-689-1
5c936bbc-ad0c-4b14-bf27-a7ac2ca1fee4,ДАДнО-691-1,ДАДНО-691-1
c73a5120-fce4-4292-9569-ac2e23591973,ДАДнО-692-1,ДАДНО-692-1
b80c3824-fe77-41f0-a09e-65ed60e3c591,ДАДнО-693-1,ДАДНО-693-1
415a1459-e402-497d-b809-989b920f9c91,ДАДнО-694-1,ДАДНО-694-1
0bab1a83-5dec-4056-8313-e48936d43e0f,ДАДнО-697-1,ДАДНО-697-1
0724409c-38ec-4eff-b3db-d793d5354a1c,ДАДнО-70-1,ДАДНО-70-1
d38f3bf1-6c54-42f3-9447-bfe0317ffe8d,ДАДнО-701-1,ДАДНО-701-1
8cca1299-14fa-459a-a5cf-2d9714f34a9a,ДАДнО-702-1,ДАДНО-702-1
8ae412a5-1ca0-4f81-9166-00e64e04b428,ДАДнО-703-1,ДАДНО-703-1
81de458c-24a2-4d63-bb7f-1d6f8ad48232,ДАДнО-704-1,ДАДНО-704-1
c2c8e364-7e75-4471-97e0-60ecf5ef8370,ДАДнО-705-1,ДАДНО-705-1
f23f8b6c-b2fb-464a-a5ca-1c7bd4cf7311,ДАДнО-706-1,ДАДНО-706-1
245f81b9-ffef-4e71-accd-5f1e627f5f89,ДАДнО-707-1,ДАДНО-707-1
dfd10e88-467f-4ff6-8a0a-dacf96be29a6,ДАДнО-72-1,ДАДНО-72-1
44628b9d-74cc-4754-a374-2c235bc86dfb,ДАДнО-741-1,ДАДНО-741-1
