oc_id,parsed,target,note
0de121b6-0845-4a46-9b00-6bbbbceb3c0d,ДАЗкО-(Р-434-1-1-8+++Р-434-1-1-8+++Р-434-1-8),ДАЗКО-Р434-1,L2 FS ref: справи-range 1-8 -> inventory
6e43c8d5-3f83-4187-8452-8dd57f71a0f0,ДАЗпО-(141-1-4991-5060+++141-1-4991-5060+++141-1-4991-5060),ДАЗПО-141-1,L2 FS ref: справи-range 4991-5060 -> inventory
619aa1d7-1325-459d-ac4a-568753e30a3a,ДАЗпО-(141-1-4876-4990+++141-1-4876-4990+++141-1-4876-4990),ДАЗПО-141-1,L2 FS ref: справи-range 4876-4990 -> inventory
f7c9d02b-988c-45eb-ac89-77b1bec18923,ДАЗпО-(Р-1673-1с-12-772+++Р-1673-1с-12-772+++Р-1673-1с-12-772),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 12-772 -> inventory
1cf6f84f-6371-47b3-b4da-8833a88f440f,ДАЗпО-(Р-1673-1с-18-537+++Р-1673-1с-18-537+++Р-1673-1с-18-537),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 18-537 -> inventory
2c8d115f-27b0-44d6-95d4-455769569e45,ДАЗпО-(Р-1673-1с-24-902+++Р-1673-1с-24-902+++Р-1673-1с-24-902),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 24-902 -> inventory
3eb10931-bcc2-47c1-893d-3771036787f0,ДАЗпО-(Р-1673-1с-14-1062+++Р-1673-1с-14-1062+++Р-1673-1с-14-1062),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 14-1062 -> inventory
42d832e4-5f62-43c3-9e01-3c10a812b3c9,ДАЗпО-(Р-1673-1с-18-1522+++Р-1673-1с-18-1522+++Р-1673-1с-18-1522),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 18-1522 -> inventory
42e9e4d8-48a5-47c9-81c1-334c76cb2b3d,ДАЗпО-(Р-1673-1с-21-890+++Р-1673-1с-21-890+++Р-1673-1с-21-890),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 21-890 -> inventory
459f6b77-4e90-4ca1-bef1-c0cfa19bcfeb,ДАЗпО-(Р-1673-1с-15-983+++Р-1673-1с-15-983+++Р-1673-1с-15-983),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 15-983 -> inventory
7ecc0bd4-ed8d-437e-a211-6a8e1d329e3b,ДАЗпО-(Р-1673-1с-13-1466+++Р-1673-1с-13-1466+++Р-1673-1с-13-1466),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 13-1466 -> inventory
7fa02248-8803-44ce-995b-90af891c3d4a,ДАЗпО-(Р-1673-1с-24-470+++Р-1673-1с-24-470+++Р-1673-1с-24-470),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 24-470 -> inventory
9c1ee62e-6b5a-4a89-8b10-0dc369c48c2c,ДАЗпО-(Р-1673-1с-15-85+++Р-1673-1с-15-85+++Р-1673-1с-15-85),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 15-85 -> inventory
a15b7bc4-113e-443c-aa4a-54e0f40d41a6,ДАЗпО-(Р-1673-1с-17-1199+++Р-1673-1с-17-1199+++Р-1673-1с-17-1199),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 17-1199 -> inventory
a8adf6bb-6bbd-4b61-8fa8-b7666ba20d50,ДАЗпО-(Р-1673-1с-25-1362+++Р-1673-1с-25-1362+++Р-1673-1с-25-1362),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 25-1362 -> inventory
b1e06cd1-2967-49c2-af2e-dc7a84ecd743,ДАЗпО-(Р-1673-1с-16-1236+++Р-1673-1с-16-1236+++Р-1673-1с-16-1236),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 16-1236 -> inventory
d94622bf-1196-4774-96df-b0d0c0e18001,ДАЗпО-(Р-1673-1с-17-1356+++Р-1673-1с-17-1356+++Р-1673-1с-17-1356),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 17-1356 -> inventory
e9ce6fd3-b3b9-4908-805d-a6a74b0e588f,ДАЗпО-(Р-1673-1с-22-2015+++Р-1673-1с-22-2015+++Р-1673-1с-22-2015),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 22-2015 -> inventory
eedaab7c-512a-4bc5-82c7-9947e42d6a28,ДАЗпО-(Р-1673-1с-16-617+++Р-1673-1с-16-617+++Р-1673-1с-16-617),ДАЗПО-Р1673-1С,L2 FS ref: справи-range 16-617 -> inventory
91adaa5d-3902-4200-aebd-8dc37a2d2252,ДАМО-(484-1+++484-1+++484-1),ДАМО-484-1,L2 FS ref: ref = archive-fond-inventory
31728f29-b789-43d5-b244-87ed002696b0,ЦДАВО-(2730-2-а+++2730-2-а+++Описи справ архіву (довідкові матеріали без дати)_2730-2-а_1949–1953),ЦДАВО-2730-2А,L2 FS ref: ref = archive-fond-inventory
c075859b-1bb8-4841-9f3b-ce3ec39d8602,ЦДАВО-(3207-6-л+++3207-6-л+++Описи справ архіву (довідкові матеріали без дати)_3207-6-л_1929–1940),ЦДАВО-3207-6Л,L2 FS ref: ref = archive-fond-inventory
