full_code,oc_id,parsed
ДААРК-283-2-1,471aa7cf-edc2-44d2-ab6a-96e140fd9d96,"ДААРК-(283-2-1+++283-2-1+++Ф. 283, о. 2, д. 1 Рождения, бракосочетания, смерти 1859-1864)"
ДААРК-288-1-6,6c219e18-7f0e-43b4-b834-21e78cdd8e4f,"ДААРК-(288-1-6+++288-1-6+++Ф. 288, о. 1, д. 6 Рождения, бракосочетания, смерти 1872-1873 -- Рождения, бракосочетания 1874)"
ДААРК-288-1-6,c890c4b9-8e05-4272-a11f-10204fc9a5f1,"ДААРК-(288-1-6+++288-1-6+++Ф. 288, о. 1, д. 6 (продолжение) Смерти 1874 -- Рождения, бракосочетания, смерти 1811 -- Рождения, бракосочетания, смерти 1832)"
ДААРК-296-1-47,f75d4ffe-ca42-49ab-91fb-2b66255d3fd9,"ДААРК-(296-1-47+++296-1-47+++Ф. 296, о. 1, д. 47 Рождения 1890-1893)"
ДААРК-296-1-63,15b8efa2-b4e9-41fa-942f-e98ad8714c4c,"ДААРК-(296-1-63+++296-1-63+++Ф. 296, о. 1, д. 63 Рождения 1909-1910)"
ДАВіО-17-1-273,fa9f6d74-2722-450d-bc2f-f74246e92d42,ДАВіО-17-1-273
ДАВіО-737-1-121,b4ecca79-61fd-415d-91e0-499b30f9fedc,ДАВіО-737-1-121
ДАВіО-737-1-139,d3a4ba02-c51e-4169-a8ff-747698952ce2,ДАВіО-737-1-139
ДАВіО-737-1-98,262be676-5e50-49f2-9603-b491756424b7,ДАВіО-737-1-98
ДАВіО-904-13-36,26bf2a40-53ac-4de4-b4d5-e9a11f431593,ДАВіО-904-13-36
ДАВіО-904-14-173,b0955b2d-089e-48a4-8d3b-0af64682195c,ДАВіО-904-14-173
ДАВіО-904-14-98,7382d7a6-7db7-476b-91c9-a4eaf1d2015a,ДАВіО-904-14-98
ДАВіО-904-20-100,2ec51243-5331-423e-9088-c7b84a826cb7,ДАВіО-904-20-100
ДАВіО-904-24-130,7a41dd3b-6448-4af6-9773-9feddc174fca,ДАВіО-904-24-130
ДАВіО-904-24-132А,d7e49564-b92d-426c-aeaa-47d12fa0a42c,ДАВіО-904-24-132А
ДАВіО-904-25-105А,6100ce39-37f0-4476-821b-0d8fa93e5a35,ДАВіО-904-25-105А
ДАВіО-904-25-108А,92f4b63b-b8d6-477d-887c-44374b1c72f1,ДАВіО-904-25-108А
ДАВіО-904-25-111А,3b3c45f5-82eb-4ca1-a4b3-cc05237e1661,ДАВіО-904-25-111А
ДАВіО-904-25-125,b1d0e79a-4e00-44f4-a1a8-5bb4da3b11d2,ДАВіО-904-25-125
ДАВіО-904-25-126,e47dff0d-09f0-4bea-b471-7c73b01c094d,ДАВіО-904-25-126
ДАВіО-904-25-127,c0132d78-b49b-41ab-8194-33b1e82c1c27,ДАВіО-904-25-127
ДАВіО-904-25-128,c2d458de-9f8c-42bc-bb90-8a0290afaea8,ДАВіО-904-25-128
ДАВіО-904-25-129,558af879-9e89-47ab-9d4c-125a7c197d83,ДАВіО-904-25-129
ДАВіО-904-25-130,4826f3e2-2b06-4435-a07e-3ce0d871c0f4,ДАВіО-904-25-130
ДАВіО-904-25-38А,22c917aa-a877-438c-9139-5add25973329,ДАВіО-904-25-38А
ДАВіО-904-25-38Б,cb35f0a0-99ac-4183-ba8b-d0cbad75d8a2,ДАВіО-904-25-38Б
ДАВіО-904-25-45А,14547d91-1204-4c07-a9b9-b0f9b6bf8808,ДАВіО-904-25-45А
ДАВіО-904-25-45Б,feb28074-1b7d-4187-ba22-3c65d07db678,ДАВіО-904-25-45Б
ДАВіО-904-25-86А,4abdfd47-d210-486c-bb1f-4abbe1cc6939,ДАВіО-904-25-86А
ДАВіО-904-25-89А,f5d02275-c490-4fcc-b528-f3c40955c3cf,ДАВіО-904-25-89А
ДАВіО-904-28-38,5ada3e66-469b-494f-b91c-1f86698d94d3,ДАВіО-904-28-38
ДАВіО-904-34-78,261018ae-0016-4dcb-8d2f-bff57ad47251,ДАВіО-904-34-78
ДАВіО-904-34-79,0b3062d4-897f-414d-a822-c5c2e01827ac,ДАВіО-904-34-79
ДАВіО-904-34-80,9a28aa6d-a6fd-4c3c-8289-fcdb592c103f,ДАВіО-904-34-80
ДАВіО-Р197-2-170,6b9e23ba-ab7f-46b0-9cb0-24beee026bee,ДАВіО-Р197-2-170
ДАВіО-Р197-2-74,129ab002-ccd3-4340-b694-a260b94c3aa7,ДАВіО-Р197-2-74
ДАВіО-Р197-3-11,a64787a0-bae9-4924-8428-4f5c223e6627,ДАВіО-Р197-3-11
ДАВіО-Р197-3-13,4b78c6eb-d41b-471f-8835-8d8c573e0078,ДАВіО-Р197-3-13
ДАВіО-Р197-3-14,0188c744-a585-41a4-ad6c-a8d791c0b5a7,ДАВіО-Р197-3-14
ДАВіО-Р197-3-16,eee0c9bf-bf22-4baa-996a-706e968770f3,ДАВіО-Р197-3-16
ДАВіО-Р197-4-5,6ecca3d6-43a8-4146-990f-8ea32fd5d07f,ДАВіО-Р197-4-5
ДАВіО-Р197-6-1044,a92ae083-346c-4807-b56e-4f36b8fe893f,ДАВіО-Р197-6-1044
ДАВіО-Р197-6-1438,f8a5c896-8d17-4995-90bf-f58127b9c207,ДАВіО-Р197-6-1438
ДАВіО-Р197-6-1445,25de36c8-79fc-4d61-99d7-cacbe3c71323,ДАВіО-Р197-6-1445
ДАВіО-Р197-6-1451,73dd6084-37a8-47fc-ba33-999d1728570a,ДАВіО-Р197-6-1451
ДАВіО-Р197-6-1452,64089b73-b133-4691-9415-0bad1d07b872,ДАВіО-Р197-6-1452
ДАВіО-Р197-6-1545,25d16508-1a76-4cf6-8c6c-7a0dbe16e525,ДАВіО-Р197-6-1545
ДАВіО-Р197-6-505,080c01ae-60c2-41ed-91cd-f8a6ff2872de,ДАВіО-Р197-6-505
ДАВіО-Р197-6-839,41eacc88-f933-4f9d-8d7c-ad0b04f84055,ДАВіО-Р197-6-839
ДАВіО-Р197-6-860,a452facf-258a-418a-9036-225904286dd8,ДАВіО-Р197-6-860
ДАВіО-Р197-6-861,c47d7c95-6470-4ca9-b098-e9897853c196,ДАВіО-Р197-6-861
ДАВіО-Р6023-4-14152,f97bcb58-bb81-44f0-b174-4fb3283aa844,ДАВіО-Р6023-4-14152
ДАВіО-Р6129-25-198,ab941c1c-ccaa-4c9a-a0e0-6ebf76a03f47,ДАВіО-Р6129-25-198
ДАДнО-93-3-806,586e8e53-f495-485a-b173-1ae233ef2698,ДАДнО-93-3-806
ДАДнО-93-3-806,4391d07a-8abc-4d14-8b6a-d2589a4f2843,ДАДнО-93-3-806
ДАДнО-93-3-806,f4460b81-48b6-4bc1-8ef0-104caaf77715,ДАДнО-93-3-806
ДАДнО-93-3-806,5200fd7b-43df-4c24-817d-a06b1dce496f,ДАДнО-93-3-806
ДАДнО-93-3-806,517e0334-b7f0-4246-8ed3-9a65000fc84d,ДАДнО-93-3-806
ДАДнО-93-3-806,72855db3-abab-4349-9ade-215ee29a8f48,ДАДнО-93-3-806
ДАДоО-198-1-10,a9c414c3-61c1-4f18-92a5-56581c52dffb,ДАДоО-198-1-10
ДАДоО-206-1-25,e4c47b58-49ab-449b-8a82-d3c74cc89901,ДАДоО-206-1-25
ДАДоО-215-1-39,0bdad245-445f-41c7-b99a-57ae0c637852,ДАДоО-215-1-39
ДАДоО-272-1-3А,3700993a-c9ef-41ce-89af-3458c116d161,ДАДоО-272-1-3А
ДАДоО-272-1-4А,193e0f0d-8d43-4097-ab65-6dcb8a98251f,ДАДоО-272-1-4А
ДАДоО-309-1-19А,1f16766e-0fe5-4312-9274-488b976a9e29,ДАДоО-309-1-19А
ДАДоО-309-1-19Б,764efc03-ea82-4f3b-b0ac-bc05764102ba,ДАДоО-309-1-19Б
ДАДоО-357-1-11А,aafa3320-2d64-4503-8c89-ab0fa9709bb6,ДАДоО-357-1-11А
ДАДоО-357-1-5А,74b2348c-f076-4e81-a820-4d6519b05996,ДАДоО-357-1-5А
ДАДоО-357-1-8А,2437243b-a2f7-431e-9c20-cc3a0f280e28,ДАДоО-357-1-8А
ДАДоО-357-1-9А,16f6adf4-a34b-4133-95f0-2ade855cc6bd,ДАДоО-357-1-9А
ДАДоО-364-1-13А,66c68ebc-7229-4953-8072-a5a3ad236284,ДАДоО-364-1-13А
ДАДоО-364-1-18А,e629b672-125a-4e74-9859-e68cbb860e1b,ДАДоО-364-1-18А
ДАДоО-364-1-18Б,33f59585-b56a-46e4-9012-4d748a130afe,ДАДоО-364-1-18Б
ДАДоО-400-1-15А,b6b51bad-b6d1-4b6c-abf4-c0ddbc001627,ДАДоО-400-1-15А
ДАДоО-400-1-4А,e446326d-9f97-498f-92c6-d0136e7b1f96,ДАДоО-400-1-4А
ДАДоО-401-1-7А,0c044780-3252-44f8-aefa-89231ad69c8f,ДАДоО-401-1-7А
ДАЗкО-Р340-1-35А,5d2aa184-cea0-4611-8de3-a6e0dfb6618f,ДАЗкО-(Р-340-1-35-а+++Р-340-1-35-а+++Р-340-1-35-а)
ДАЗпО-246-1-1859,15ee862f-3ec6-42ec-aff2-e08203e6db37,"ДАЗпО-(246-1-1859+++246-1-1859+++Ф. 246, о. 1, д. 1859 Рождения, бракосочетания 1859 (стр. 622-696))"
ДАЗпО-255-1-464,6b93e03c-691f-4fe7-a733-9d6192cbb91c,"ДАЗпО-(255-1-464+++255-1-464+++Ф. 255, о. 1, д. 464 Поземельная перепись 1917)"
ДАЗпО-П1-1-1405,59e6cada-0c04-43d0-8d21-9446a1bc2359,ДАЗпО-(П-1-1-1405+++П-1-1-1405+++П-1-1-1405)
ДАЗпО-П14-1-1285,e65169b0-f00a-42a6-b598-dfd708ccdbd0,ДАЗпО-(П-14-1-1285+++П-14-1-1285+++П-14-1-1285)
ДАЗпО-П14-1-1286,9e87f994-3aba-4c3b-941e-927174e7f7d8,ДАЗпО-(П-14-1-1286+++П-14-1-1286+++П-14-1-1286)
ДАЗпО-П14-1-1287,ebd8f37a-3327-4f1f-bd3a-9ac007e10b6f,ДАЗпО-(П-14-1-1287+++П-14-1-1287+++П-14-1-1287)
ДАЗпО-П14-1-1288,2828d5b2-5ec0-4d00-8a9f-d51135b5063f,ДАЗпО-(П-14-1-1288+++П-14-1-1288+++П-14-1-1288)
ДАЗпО-П14-1-1289,e1714a0c-834f-4344-85ee-8e31cbb71e49,ДАЗпО-(П-14-1-1289+++П-14-1-1289+++П-14-1-1289)
ДАЗпО-П14-1-1290,2c839b67-2b21-494a-8b02-b58871b37ee4,ДАЗпО-(П-14-1-1290+++П-14-1-1290+++П-14-1-1290)
ДАЗпО-П14-1-1291,a1f2e581-9033-46ed-9c26-21c92668a3b1,ДАЗпО-(П-14-1-1291+++П-14-1-1291+++П-14-1-1291)
ДАЗпО-П14-1-1292,f0e0d460-c0dd-473f-b432-2bb007f58d03,ДАЗпО-(П-14-1-1292+++П-14-1-1292+++П-14-1-1292)
ДАЗпО-П14-1-1293,b557b34f-d968-47e6-b386-a391097ab4bd,ДАЗпО-(П-14-1-1293+++П-14-1-1293+++П-14-1-1293)
ДАЗпО-П14-1-1294,e2eeae78-361b-467d-9a90-08b5731d6d5b,ДАЗпО-(П-14-1-1294+++П-14-1-1294+++П-14-1-1294)
ДАЗпО-П14-1-1301,7651f6c5-9878-4a93-ad2e-840d72067561,ДАЗпО-(П-14-1-1301+++П-14-1-1301+++П-14-1-1301)
ДАЗпО-П14-1-1302,af8b59c9-5851-4d9d-8fc2-3df238ee500f,ДАЗпО-(П-14-1-1302+++П-14-1-1302+++П-14-1-1302)
ДАЗпО-П14-1-1303,75c8ee99-6402-407b-ac2d-b64e6bdadfa9,ДАЗпО-(П-14-1-1303+++П-14-1-1303+++П-14-1-1303)
ДАЗпО-П14-1-1304,7a0db27c-545b-4e1f-8959-7d0c9f107e58,ДАЗпО-(П-14-1-1304+++П-14-1-1304+++П-14-1-1304)
ДАЗпО-П14-1-1305,96c467dc-9966-4176-beb3-7f90fb670bc0,ДАЗпО-(П-14-1-1305+++П-14-1-1305+++П-14-1-1305)
ДАЗпО-П14-1-1306,f2efd6b9-2e40-48e1-98f4-4efa9942093b,ДАЗпО-(П-14-1-1306+++П-14-1-1306+++П-14-1-1306)
ДАЗпО-П14-1-1307,e309b030-aa4a-4ead-b480-477fe2ac4c38,ДАЗпО-(П-14-1-1307+++П-14-1-1307+++П-14-1-1307)
ДАЗпО-П14-1-1308,c6ef35df-623d-43c8-b4b6-20adb7a4709b,ДАЗпО-(П-14-1-1308+++П-14-1-1308+++П-14-1-1308)
ДАЗпО-П14-1-1309,360d60f2-6758-4aeb-82fd-972e7f4dc901,ДАЗпО-(П-14-1-1309+++П-14-1-1309+++П-14-1-1309)
ДАЗпО-П14-1-1310,46d802be-f659-46af-9943-731616236730,ДАЗпО-(П-14-1-1310+++П-14-1-1310+++П-14-1-1310)
ДАЗпО-П14-1-1311,c6d74fd8-d0ff-4662-b2dd-d721f673156a,ДАЗпО-(П-14-1-1311+++П-14-1-1311+++П-14-1-1311)
ДАЗпО-П14-1-1312,4772c857-92d6-40de-acce-3fbc03382800,ДАЗпО-(П-14-1-1312+++П-14-1-1312+++П-14-1-1312)
ДАЗпО-П14-1-1313,d3f210ce-1b4b-437d-a6e4-b55c63f8f4dd,ДАЗпО-(П-14-1-1313+++П-14-1-1313+++П-14-1-1313)
ДАЗпО-П14-1-1314,1eccb3ef-0612-4f18-a437-539ed6102d78,ДАЗпО-(П-14-1-1314+++П-14-1-1314+++П-14-1-1314)
ДАЗпО-П14-1-1315,e9e5c272-816a-4c6b-a5d5-4d75704066e6,ДАЗпО-(П-14-1-1315+++П-14-1-1315+++П-14-1-1315)
ДАЗпО-П14-1-1316,044ffd32-a4d2-4627-a1d6-daf1c37094d6,ДАЗпО-(П-14-1-1316+++П-14-1-1316+++П-14-1-1316)
ДАЗпО-П14-1-1317,5591e337-cee9-490c-8da2-2321abb18b96,ДАЗпО-(П-14-1-1317+++П-14-1-1317+++П-14-1-1317)
ДАЗпО-П14-1-1318,879835b1-5d5c-40e0-b62b-816563ffca66,ДАЗпО-(П-14-1-1318+++П-14-1-1318+++П-14-1-1318)
ДАЗпО-П14-1-1319,2c378c1c-c125-44dc-83c4-ae0c754de164,ДАЗпО-(П-14-1-1319+++П-14-1-1319+++П-14-1-1319)
ДАЗпО-П14-1-1320,50d52751-879e-48b3-be94-48ace3ae4eca,ДАЗпО-(П-14-1-1320+++П-14-1-1320+++П-14-1-1320)
ДАЗпО-П14-1-1321,1f13760e-e55a-4ccf-930f-ec7c83f9fb34,ДАЗпО-(П-14-1-1321+++П-14-1-1321+++П-14-1-1321)
ДАЗпО-П14-1-1322,81321d13-683d-475b-aec2-7e80e4daa8cf,ДАЗпО-(П-14-1-1322+++П-14-1-1322+++П-14-1-1322)
