new_full_code,src,copies,sample_parsed
ДААРК-283-2-1,fs-ref,1,"ДААРК-(283-2-1+++283-2-1+++Ф. 283, о. 2, д. 1 Рождения, бракосочетания, смерти 1859-1864)"
ДААРК-288-1-6,fs-ref,2,"ДААРК-(288-1-6+++288-1-6+++Ф. 288, о. 1, д. 6 (продолжение) Смерти 1874 -- Рождения, бракосочетания, смерти 1811 -- Рождения, бракосочетания, смерти 1832)"
ДААРК-296-1-47,fs-ref,1,"ДААРК-(296-1-47+++296-1-47+++Ф. 296, о. 1, д. 47 Рождения 1890-1893)"
ДААРК-296-1-63,fs-ref,1,"ДААРК-(296-1-63+++296-1-63+++Ф. 296, о. 1, д. 63 Рождения 1909-1910)"
ДАВІО-17-1-273,plain,1,ДАВіО-17-1-273
ДАВІО-737-1-121,plain,1,ДАВіО-737-1-121
ДАВІО-737-1-139,plain,1,ДАВіО-737-1-139
ДАВІО-737-1-98,plain,1,ДАВіО-737-1-98
ДАВІО-904-13-36,plain,1,ДАВіО-904-13-36
ДАВІО-904-14-173,plain,1,ДАВіО-904-14-173
ДАВІО-904-14-98,plain,1,ДАВіО-904-14-98
ДАВІО-904-20-100,plain,1,ДАВіО-904-20-100
ДАВІО-904-24-130,plain,1,ДАВіО-904-24-130
ДАВІО-904-24-132А,plain,1,ДАВіО-904-24-132А
ДАВІО-904-25-105А,plain,1,ДАВіО-904-25-105А
ДАВІО-904-25-108А,plain,1,ДАВіО-904-25-108А
ДАВІО-904-25-111А,plain,1,ДАВіО-904-25-111А
ДАВІО-904-25-125,plain,1,ДАВіО-904-25-125
ДАВІО-904-25-126,plain,1,ДАВіО-904-25-126
ДАВІО-904-25-127,plain,1,ДАВіО-904-25-127
ДАВІО-904-25-128,plain,1,ДАВіО-904-25-128
ДАВІО-904-25-129,plain,1,ДАВіО-904-25-129
ДАВІО-904-25-130,plain,1,ДАВіО-904-25-130
ДАВІО-904-25-38А,plain,1,ДАВіО-904-25-38А
ДАВІО-904-25-38Б,plain,1,ДАВіО-904-25-38Б
ДАВІО-904-25-45А,plain,1,ДАВіО-904-25-45А
ДАВІО-904-25-45Б,plain,1,ДАВіО-904-25-45Б
ДАВІО-904-25-86А,plain,1,ДАВіО-904-25-86А
ДАВІО-904-25-89А,plain,1,ДАВіО-904-25-89А
ДАВІО-904-28-38,plain,1,ДАВіО-904-28-38
ДАВІО-904-34-78,plain,1,ДАВіО-904-34-78
ДАВІО-904-34-79,plain,1,ДАВіО-904-34-79
ДАВІО-904-34-80,plain,1,ДАВіО-904-34-80
ДАВІО-Р197-6-1044,plain,1,ДАВіО-Р197-6-1044
ДАВІО-Р197-6-1438,plain,1,ДАВіО-Р197-6-1438
ДАВІО-Р197-6-1445,plain,1,ДАВіО-Р197-6-1445
ДАВІО-Р197-6-1451,plain,1,ДАВіО-Р197-6-1451
ДАВІО-Р197-6-1452,plain,1,ДАВіО-Р197-6-1452
ДАВІО-Р197-6-1545,plain,1,ДАВіО-Р197-6-1545
ДАВІО-Р197-6-505,plain,1,ДАВіО-Р197-6-505
ДАВІО-Р197-6-839,plain,1,ДАВіО-Р197-6-839
ДАВІО-Р197-6-860,plain,1,ДАВіО-Р197-6-860
ДАВІО-Р197-6-861,plain,1,ДАВіО-Р197-6-861
ДАВІО-Р6023-4-14152,plain,1,ДАВіО-Р6023-4-14152
ДАВІО-Р6129-25-198,plain,1,ДАВіО-Р6129-25-198
ДАДОО-198-1-10,plain,1,ДАДоО-198-1-10
ДАДОО-206-1-25,plain,1,ДАДоО-206-1-25
ДАДОО-215-1-39,plain,1,ДАДоО-215-1-39
ДАДОО-272-1-3А,plain,1,ДАДоО-272-1-3А
ДАДОО-272-1-4А,plain,1,ДАДоО-272-1-4А
ДАДОО-309-1-19А,plain,1,ДАДоО-309-1-19А
ДАДОО-309-1-19Б,plain,1,ДАДоО-309-1-19Б
ДАДОО-357-1-11А,plain,1,ДАДоО-357-1-11А
ДАДОО-357-1-5А,plain,1,ДАДоО-357-1-5А
ДАДОО-357-1-8А,plain,1,ДАДоО-357-1-8А
ДАДОО-357-1-9А,plain,1,ДАДоО-357-1-9А
ДАДОО-364-1-13А,plain,1,ДАДоО-364-1-13А
ДАДОО-364-1-18А,plain,1,ДАДоО-364-1-18А
ДАДОО-364-1-18Б,plain,1,ДАДоО-364-1-18Б
ДАДОО-400-1-15А,plain,1,ДАДоО-400-1-15А
ДАДОО-400-1-4А,plain,1,ДАДоО-400-1-4А
ДАДОО-401-1-7А,plain,1,ДАДоО-401-1-7А
ДАЗКО-Р340-1-35А,fs-ref,1,ДАЗкО-(Р-340-1-35-а+++Р-340-1-35-а+++Р-340-1-35-а)
ДАЗПО-246-1-1859,fs-ref,1,"ДАЗпО-(246-1-1859+++246-1-1859+++Ф. 246, о. 1, д. 1859 Рождения, бракосочетания 1859 (стр. 622-696))"
ДАЗПО-255-1-464,fs-ref,1,"ДАЗпО-(255-1-464+++255-1-464+++Ф. 255, о. 1, д. 464 Поземельная перепись 1917)"
ДАЗПО-П1-1-1405,fs-ref,1,ДАЗпО-(П-1-1-1405+++П-1-1-1405+++П-1-1-1405)
ДАЗПО-П14-1-1285,fs-ref,1,ДАЗпО-(П-14-1-1285+++П-14-1-1285+++П-14-1-1285)
ДАЗПО-П14-1-1286,fs-ref,1,ДАЗпО-(П-14-1-1286+++П-14-1-1286+++П-14-1-1286)
ДАЗПО-П14-1-1287,fs-ref,1,ДАЗпО-(П-14-1-1287+++П-14-1-1287+++П-14-1-1287)
ДАЗПО-П14-1-1288,fs-ref,1,ДАЗпО-(П-14-1-1288+++П-14-1-1288+++П-14-1-1288)
ДАЗПО-П14-1-1289,fs-ref,1,ДАЗпО-(П-14-1-1289+++П-14-1-1289+++П-14-1-1289)
ДАЗПО-П14-1-1290,fs-ref,1,ДАЗпО-(П-14-1-1290+++П-14-1-1290+++П-14-1-1290)
ДАЗПО-П14-1-1291,fs-ref,1,ДАЗпО-(П-14-1-1291+++П-14-1-1291+++П-14-1-1291)
ДАЗПО-П14-1-1292,fs-ref,1,ДАЗпО-(П-14-1-1292+++П-14-1-1292+++П-14-1-1292)
ДАЗПО-П14-1-1293,fs-ref,1,ДАЗпО-(П-14-1-1293+++П-14-1-1293+++П-14-1-1293)
ДАЗПО-П14-1-1294,fs-ref,1,ДАЗпО-(П-14-1-1294+++П-14-1-1294+++П-14-1-1294)
ДАЗПО-П14-1-1301,fs-ref,1,ДАЗпО-(П-14-1-1301+++П-14-1-1301+++П-14-1-1301)
ДАЗПО-П14-1-1302,fs-ref,1,ДАЗпО-(П-14-1-1302+++П-14-1-1302+++П-14-1-1302)
ДАЗПО-П14-1-1303,fs-ref,1,ДАЗпО-(П-14-1-1303+++П-14-1-1303+++П-14-1-1303)
ДАЗПО-П14-1-1304,fs-ref,1,ДАЗпО-(П-14-1-1304+++П-14-1-1304+++П-14-1-1304)
ДАЗПО-П14-1-1305,fs-ref,1,ДАЗпО-(П-14-1-1305+++П-14-1-1305+++П-14-1-1305)
ДАЗПО-П14-1-1306,fs-ref,1,ДАЗпО-(П-14-1-1306+++П-14-1-1306+++П-14-1-1306)
ДАЗПО-П14-1-1307,fs-ref,1,ДАЗпО-(П-14-1-1307+++П-14-1-1307+++П-14-1-1307)
ДАЗПО-П14-1-1308,fs-ref,1,ДАЗпО-(П-14-1-1308+++П-14-1-1308+++П-14-1-1308)
ДАЗПО-П14-1-1309,fs-ref,1,ДАЗпО-(П-14-1-1309+++П-14-1-1309+++П-14-1-1309)
ДАЗПО-П14-1-1310,fs-ref,1,ДАЗпО-(П-14-1-1310+++П-14-1-1310+++П-14-1-1310)
ДАЗПО-П14-1-1311,fs-ref,1,ДАЗпО-(П-14-1-1311+++П-14-1-1311+++П-14-1-1311)
ДАЗПО-П14-1-1312,fs-ref,1,ДАЗпО-(П-14-1-1312+++П-14-1-1312+++П-14-1-1312)
ДАЗПО-П14-1-1313,fs-ref,1,ДАЗпО-(П-14-1-1313+++П-14-1-1313+++П-14-1-1313)
ДАЗПО-П14-1-1314,fs-ref,1,ДАЗпО-(П-14-1-1314+++П-14-1-1314+++П-14-1-1314)
