new_inventory,new_files,copies,sample_parsed
ДАВІО-Р197-2,2,2,ДАВіО-Р197-2-170
ДАВІО-Р197-3,4,4,ДАВіО-Р197-3-11
ДАВІО-Р197-4,1,1,ДАВіО-Р197-4-5
ДАДНО-93-3,1,6,ДАДнО-93-3-806
ДАК-16-327,1,1,ДАК-16-327-23
ДАК-202-1,66,66,ДАК-202-1-1
ДАК-208-1,14,14,ДАК-208-1-10
ДАК-208-2,4,4,ДАК-208-2-1
ДАК-238-1,3,3,ДАК-238-1-1
ДАК-238-2,5,5,ДАК-238-2-1
ДАК-245-1,2,2,ДАК-245-1-1
ДАК-253-1,11,11,ДАК-253-1-1
ДАК-263-1,1,1,ДАК-263-1-1
ДАК-297-1,101,101,ДАК-297-1-1
ДАКО-П197-1,2,2,ДАКО-П197-1-122
ДАКО-П5-2,2,2,ДАКО-П5-2-21
ДАКО-П792-1,1,1,ДАКО-П792-1-35
ДАСО-7720-1,265,829,"ДАСО-(7720-1-100+++7720-1-100+++Ф. 7720, о. 1, д. 100 Рождения 1922-1923)"
ДАСО-7720-10,167,304,"ДАСО-(7720-10-100+++7720-10-100+++Ф. 7720, о. 10, д. 100 Рождения 1926-1927)"
ДАСО-7720-11,94,451,"ДАСО-(7720-11-100+++7720-11-100+++Ф. 7720, о. 11, д. 100 Смерти 1924-1925)"
ДАСО-7720-15,330,1524,"ДАСО-(7720-15-100+++7720-15-100+++Ф. 7720, о. 15, д. 100 Рождения 1923-1924)"
ДАСО-7720-16,126,239,"ДАСО-(7720-16-100+++7720-16-100+++Ф. 7720, о. 16, д. 100 Рождения 1924)"
ДАСО-7720-2,40,79,"ДАСО-(7720-2-1+++7720-2-1+++Ф. 7720, о. 2, д. 1 Бракосочетания 1918-1920 (в беспорядке; включает записи других сел))"
ДАСО-7720-20,11,12,"ДАСО-(7720-20-10+++7720-20-10+++Ф. 7720, о. 20, д. 10 Смерти 1926)"
ДАСО-7720-23,93,100,"ДАСО-(7720-23-10+++7720-23-10+++Ф. 7720, о. 23, д. 10 Бракосочетания 1921)"
ДАСО-7720-24,127,160,"ДАСО-(7720-24-100+++7720-24-100+++Ф. 7720, о. 24, д. 100 Смерти 1928 (включает записи других сел))"
ДАСО-7720-26,29,61,"ДАСО-(7720-26-10+++7720-26-10+++Ф. 7720, о. 26, д. 10 Рождения 1923)"
ДАСО-7720-27,21,88,"ДАСО-(7720-27-10+++7720-27-10+++Ф. 7720, о. 27, д. 10 Рождения 1927 (стр. 104-173))"
ДАСО-7720-3,136,547,"ДАСО-(7720-3-100+++7720-3-100+++Ф. 7720, о. 3, д. 100 Смерти 1927)"
ДАСО-7720-4,42,139,"ДАСО-(7720-4-13+++7720-4-13+++Ф. 7720, о. 4, д. 13 (продолжение) Рождения 1923)"
ДАСО-7720-5,160,347,"ДАСО-(7720-5-105+++7720-5-105+++Ф. 7720, о. 5, д. 105 (продолжение) Рождения 1924)"
ДАСО-7720-6,146,372,"ДАСО-(7720-6-107+++7720-6-107+++Ф. 7720, о. 6, д. 107 Смерти 1923)"
ДАСО-7720-7,59,132,"ДАСО-(7720-7-10+++7720-7-10+++Ф. 7720, о. 7, д. 10 Рождения 1922 (стр. 1-75))"
ДАСО-7720-8,202,760,"ДАСО-(7720-8-100+++7720-8-100+++Ф. 7720, о. 8, д. 100 Рождения 1925 (стр. 1-12))"
ДАХМО-747-2,12,12,ДАХмО-747-2-1
ДАЧГО-137-3,1,1,ДАЧгО-137-3-58
ДАЧГО-164-2,2,2,ДАЧгО-164-2-2
ДАЧГО-165-2,12,12,ДАЧгО-165-2-228
ДАЧГО-172-1,2,2,ДАЧгО-172-1-1194
ДАЧГО-182-1,14,14,ДАЧгО-182-1-1144
ДАЧГО-191-1,1,1,ДАЧгО-191-1-6
ДАЧГО-194-1,4,4,ДАЧгО-194-1-10
ДАЧГО-257-1,3,3,ДАЧгО-257-1-14
ДАЧГО-270-1,5,5,ДАЧгО-270-1-2
ДАЧГО-75-1,1,1,ДАЧгО-75-1-3
