new_full_code,src,copies,sample_parsed
ДАВІО-Р197-2-170,plain,1,ДАВіО-Р197-2-170
ДАВІО-Р197-2-74,plain,1,ДАВіО-Р197-2-74
ДАВІО-Р197-3-11,plain,1,ДАВіО-Р197-3-11
ДАВІО-Р197-3-13,plain,1,ДАВіО-Р197-3-13
ДАВІО-Р197-3-14,plain,1,ДАВіО-Р197-3-14
ДАВІО-Р197-3-16,plain,1,ДАВіО-Р197-3-16
ДАВІО-Р197-4-5,plain,1,ДАВіО-Р197-4-5
ДАДНО-93-3-806,plain,6,ДАДнО-93-3-806
ДАК-16-327-23,plain,1,ДАК-16-327-23
ДАК-202-1-1,plain,1,ДАК-202-1-1
ДАК-202-1-10,plain,1,ДАК-202-1-10
ДАК-202-1-11,plain,1,ДАК-202-1-11
ДАК-202-1-12,plain,1,ДАК-202-1-12
ДАК-202-1-13,plain,1,ДАК-202-1-13
ДАК-202-1-14,plain,1,ДАК-202-1-14
ДАК-202-1-16,plain,1,ДАК-202-1-16
ДАК-202-1-17,plain,1,ДАК-202-1-17
ДАК-202-1-18,plain,1,ДАК-202-1-18
ДАК-202-1-19,plain,1,ДАК-202-1-19
ДАК-202-1-2,plain,1,ДАК-202-1-2
ДАК-202-1-20,plain,1,ДАК-202-1-20
ДАК-202-1-21,plain,1,ДАК-202-1-21
ДАК-202-1-22,plain,1,ДАК-202-1-22
ДАК-202-1-23,plain,1,ДАК-202-1-23
ДАК-202-1-24,plain,1,ДАК-202-1-24
ДАК-202-1-25,plain,1,ДАК-202-1-25
ДАК-202-1-26,plain,1,ДАК-202-1-26
ДАК-202-1-27,plain,1,ДАК-202-1-27
ДАК-202-1-28,plain,1,ДАК-202-1-28
ДАК-202-1-29,plain,1,ДАК-202-1-29
ДАК-202-1-3,plain,1,ДАК-202-1-3
ДАК-202-1-30,plain,1,ДАК-202-1-30
ДАК-202-1-31,plain,1,ДАК-202-1-31
ДАК-202-1-32,plain,1,ДАК-202-1-32
ДАК-202-1-33,plain,1,ДАК-202-1-33
ДАК-202-1-34,plain,1,ДАК-202-1-34
ДАК-202-1-35,plain,1,ДАК-202-1-35
ДАК-202-1-39,plain,1,ДАК-202-1-39
ДАК-202-1-4,plain,1,ДАК-202-1-4
ДАК-202-1-40,plain,1,ДАК-202-1-40
ДАК-202-1-41,plain,1,ДАК-202-1-41
ДАК-202-1-42,plain,1,ДАК-202-1-42
ДАК-202-1-43,plain,1,ДАК-202-1-43
ДАК-202-1-44,plain,1,ДАК-202-1-44
ДАК-202-1-45,plain,1,ДАК-202-1-45
ДАК-202-1-46,plain,1,ДАК-202-1-46
ДАК-202-1-47,plain,1,ДАК-202-1-47
ДАК-202-1-48,plain,1,ДАК-202-1-48
ДАК-202-1-49,plain,1,ДАК-202-1-49
ДАК-202-1-5,plain,1,ДАК-202-1-5
ДАК-202-1-50,plain,1,ДАК-202-1-50
ДАК-202-1-51,plain,1,ДАК-202-1-51
ДАК-202-1-52,plain,1,ДАК-202-1-52
ДАК-202-1-53,plain,1,ДАК-202-1-53
ДАК-202-1-54,plain,1,ДАК-202-1-54
ДАК-202-1-55,plain,1,ДАК-202-1-55
ДАК-202-1-56,plain,1,ДАК-202-1-56
ДАК-202-1-57,plain,1,ДАК-202-1-57
ДАК-202-1-58,plain,1,ДАК-202-1-58
ДАК-202-1-59,plain,1,ДАК-202-1-59
ДАК-202-1-6,plain,1,ДАК-202-1-6
ДАК-202-1-60,plain,1,ДАК-202-1-60
ДАК-202-1-61,plain,1,ДАК-202-1-61
ДАК-202-1-62,plain,1,ДАК-202-1-62
ДАК-202-1-63,plain,1,ДАК-202-1-63
ДАК-202-1-64,plain,1,ДАК-202-1-64
ДАК-202-1-65,plain,1,ДАК-202-1-65
ДАК-202-1-66,plain,1,ДАК-202-1-66
ДАК-202-1-67,plain,1,ДАК-202-1-67
ДАК-202-1-68,plain,1,ДАК-202-1-68
ДАК-202-1-69,plain,1,ДАК-202-1-69
ДАК-202-1-7,plain,1,ДАК-202-1-7
ДАК-202-1-70,plain,1,ДАК-202-1-70
ДАК-202-1-8,plain,1,ДАК-202-1-8
ДАК-202-1-9,plain,1,ДАК-202-1-9
ДАК-208-1-10,plain,1,ДАК-208-1-10
ДАК-208-1-11,plain,1,ДАК-208-1-11
ДАК-208-1-12,plain,1,ДАК-208-1-12
ДАК-208-1-13,plain,1,ДАК-208-1-13
ДАК-208-1-14,plain,1,ДАК-208-1-14
