oc_id,parsed,target
7102a733-2717-4ad4-956e-106429941bdc,"ДААРК-(++++++ Volume 142-1/127 Births, marriages, deaths 1876, 1882-1887)",ДААРК-142-1-127
353a2f97-c55c-4c50-9084-dea1e49120d6,"ДААРК-(++++++ Volume 142-1/129 Births, marriages, deaths, divorces 1882 (includes some household lists))",ДААРК-142-1-129
bd41bc85-021b-4996-b642-19072383e09a,"ДААРК-(++++++ Volume 142-1/143 (cont.) Births, marriages, divorces, deaths 1883-1889)",ДААРК-142-1-143
88ea880f-0348-44be-a9ee-b27aec284fa6,"ДААРК-(++++++ Volume 142-1/162 Births, marriages, divorces, deaths 1884)",ДААРК-142-1-162
505545b0-cf5c-4b5b-8694-008adfa9c71b,"ДААРК-(++++++ Volume 142-1/196 Births, marriages, divorces, deaths 1885-1886)",ДААРК-142-1-196
7cff1fdd-a68f-49c7-9454-46a3cb6facd9,"ДААРК-(++++++ Volume 142-1/198 Births, marriages, deaths 1885-1892)",ДААРК-142-1-198
7374a9e2-9f7b-41fa-b78f-bfd04af6ac47,ДААРК-(++++++ Volume 142-1/213 Births 1886-1891),ДААРК-142-1-213
29ee437e-a27f-4316-944f-34689bf4ced9,"ДААРК-(++++++ Volume 142-1/261 Births, marriages 1889)",ДААРК-142-1-261
1d6555a5-504b-4883-a0d5-dcf8e0f815e8,"ДААРК-(++++++ Volume 142-1/263 Births, marriages 1890)",ДААРК-142-1-263
074d56d1-c42c-44db-bdb3-d8f2a5535cff,ДААРК-(++++++ Volume 142-1/27a Births 1847-1865),ДААРК-142-1-27А
a72d4230-d675-4ff1-89a3-cf5cd70b8058,"ДААРК-(++++++ Volume 142-1/281 Births, marriages, deaths 1890-1893)",ДААРК-142-1-281
5d27165b-7525-43f8-8165-679a3e900ec7,"ДААРК-(++++++ Volume 142-1/282 Births, marriages, deaths 1891-1900)",ДААРК-142-1-282
0f507bfb-58fd-4d98-81c4-72a257acb83f,"ДААРК-(++++++ Volume 142-1/393 Births, marriages, deaths 1896-1898)",ДААРК-142-1-393
d8911dd6-a296-4470-bc73-ea1ebb1109d3,"ДААРК-(++++++ Volume 142-1/443 Births, marriages, deaths 1899-1900)",ДААРК-142-1-443
dabdc5c7-bf67-458f-a4c6-7b512f14e28a,"ДААРК-(++++++ Volume 142-1/492 Births, marriages, deaths 1901-1902)",ДААРК-142-1-492
