oc_id,parsed,pat,target
e1fc9bd3-20a9-498b-97fb-ded4b5d8d4e3,"ДАСО-(++++++Ф. 1189, o. 1, д. 13 Рождения, бракосочетания, смерти 1881-1882 -- Рождения, бракосочетания, смерти 1884 -- Рождения, бракосочетания, смерти 1886 -- Рождения, бракосочетания, смерти 1889)","p1 Ф,о,д",ДАСО-1189-1-13
c2efdfc4-293e-4e03-98c4-813e47694089,"ДАСО-(++++++Ф. 1189, o. 1, д. 2 Рождения, бракосочетания, смерти 1875-1877)","p1 Ф,о,д",ДАСО-1189-1-2
3276b9d6-7d9d-44c4-af4a-d1613dc40666,"ДАСО-(++++++Ф. 1189, o. 1, д. 33 (продолжение) Рождения, бракосочетания, смерти 1893-1894 -- Рождения, бракосочетания, смерти 1899)","p1 Ф,о,д",ДАСО-1189-1-33
2dcb0d23-8315-47b9-8b7f-50b198c8fc20,"ДАСО-(++++++Ф. 1189, o. 1, д. 33 Рождения, бракосочетания, смерти 1890)","p1 Ф,о,д",ДАСО-1189-1-33
e06fb1d7-8c45-4632-9e50-6ce49b5999ca,"ДАСО-(++++++Ф. 1189, o. 1, д. 34 Рождения, бракосочетания, смерти 1885)","p1 Ф,о,д",ДАСО-1189-1-34
7fbebaea-e04c-49b2-be7d-f6be5e7a40c0,"ДАСО-(++++++Ф. 1189, o. 1, д. 37 Рождения, бракосочетания, смерти 1892)","p1 Ф,о,д",ДАСО-1189-1-37
7bf8a948-860a-44a1-8f79-b2e82e09d19c,"ДАСО-(++++++Ф. 1189, o. 1, д. 42 Рождения, бракосочетания, смерти 1887)","p1 Ф,о,д",ДАСО-1189-1-42
3e435c92-a4da-4254-a47b-ed38fdbd75a7,"ДАСО-(++++++Ф. 1189, o. 1, д. 47 Рождения, бракосочетания, смерти 1895 -- Смерти 1895 (ошибочно записано как Карабутово))","p1 Ф,о,д",ДАСО-1189-1-47
d0bbbe65-7312-4ef1-bf6d-ffea073a8303,"ДАСО-(++++++Ф. 1189, o. 1, д. 49 Рождения, бракосочетания, смерти 1896)","p1 Ф,о,д",ДАСО-1189-1-49
cf952707-679e-4a00-a0be-209d2ffd4bec,"ДАСО-(++++++Ф. 1189, o. 1, д. 56 Рождения, бракосочетания, смерти 1898)","p1 Ф,о,д",ДАСО-1189-1-56
12d7b76b-97ef-4b37-a657-cff707ef0602,"ДАСО-(++++++Ф. 1189, o. 1, д. 7 Рождения 1879 -- Рождения, бракосочетания, смерти 1878 -- Рождения, бракосочетания, смерти 1879 (страницы в беспорядке) -- Рождения, бракосочетания, смерти 1897)","p1 Ф,о,д",ДАСО-1189-1-7
d7a0a921-1494-4fd6-bf7d-a9bfcea34ddf,"ДАСО-(++++++Ф. 1189, o. 1, д. 9 Рождения, бракосочетания, смерти 1880)","p1 Ф,о,д",ДАСО-1189-1-9
26549b91-6a02-471d-a4a6-d2ef13922a63,"ДАСО-(++++++Ф. 1189, o. 3, д. 19 (продолжение) Рождения 1889-1891 (дополнительное микрофильмирование))","p1 Ф,о,д",ДАСО-1189-3-19
