oc_id,parsed,target
ba5adbdc-c9ad-4448-99f2-0f4b9bc7c30f,ДАЛО-27-5 том 1-1000,ДАЛО-27-5-1000
f63f7e8d-772c-4471-889a-d20e6bd99b1f,ДАЛО-27-5 том 1-351,ДАЛО-27-5-351
7c409f96-e194-4ac5-b947-efda987fee95,ДАЛО-27-5 том 1-352,ДАЛО-27-5-352
2be38a3b-03db-487c-b079-ab2cdd5215ab,ДАЛО-27-5 том 1-353,ДАЛО-27-5-353
a37ae11d-8cb3-4614-b84b-75c9a2892bd2,ДАЛО-27-5 том 1-354,ДАЛО-27-5-354
4e5ceb79-ed52-4495-b32c-3765fa89deda,ДАЛО-27-5 том 1-356,ДАЛО-27-5-356
7c9c51e1-97e9-4d38-a1dd-3235d8659ff4,ДАЛО-27-5 том 1-357,ДАЛО-27-5-357
3b6b1ce5-c33b-44ec-9ace-e7e2c3dca049,ДАЛО-27-5 том 1-358,ДАЛО-27-5-358
ddf314a0-73bd-4983-aae6-050844915a49,ДАЛО-27-5 том 1-359,ДАЛО-27-5-359
a3bb651d-85f6-4475-b70c-ac07e6a6cafb,ДАЛО-27-5 том 1-360,ДАЛО-27-5-360
822f7bef-96c7-4ed8-97a6-fa430cc17f5b,ДАЛО-27-5 том 1-361,ДАЛО-27-5-361
2be45905-429d-4d8f-a191-95acb54e257f,ДАЛО-27-5 том 1-362,ДАЛО-27-5-362
88c3cedc-fad1-477e-b77f-17839a7893cc,ДАЛО-27-5 том 1-363,ДАЛО-27-5-363
271009ef-ef21-44f7-bdac-82ef8a4bdd68,ДАЛО-27-5 том 1-364,ДАЛО-27-5-364
d6ca4e4b-321a-4a09-9b10-6d88f20221fd,ДАЛО-27-5 том 1-365,ДАЛО-27-5-365
35d88009-4234-4fb7-b650-171d8717af52,ДАЛО-27-5 том 1-366,ДАЛО-27-5-366
4aa8ee04-7935-43bb-a1e0-ba2c9fa73609,ДАЛО-27-5 том 1-367,ДАЛО-27-5-367
128e7b67-4fb5-4c14-bf1c-06df2105a777,ДАЛО-27-5 том 1-368,ДАЛО-27-5-368
ddcfbe99-2ea4-4c7d-95e2-fe01bf27ae8c,ДАЛО-27-5 том 1-369,ДАЛО-27-5-369
af83b5d8-8415-4a39-8b1f-a858a2ef7cda,ДАЛО-27-5 том 1-370,ДАЛО-27-5-370
b6f0408c-934a-43b2-a50e-4c6c92a2f97d,ДАЛО-27-5 том 1-388,ДАЛО-27-5-388
f2554dc1-4e4c-43d2-b408-1b860249b9b6,ДАЛО-27-5 том 1-389,ДАЛО-27-5-389
e88a557f-87f0-40f4-821f-afc48902d0b1,ДАЛО-27-5 том 1-390,ДАЛО-27-5-390
94301351-2017-4b97-9625-b52595249bd8,ДАЛО-27-5 том 1-391,ДАЛО-27-5-391
8c645f3d-0bc8-40c0-a58b-ea15d37de0cd,ДАЛО-27-5 том 1-392,ДАЛО-27-5-392
b559b9d2-d167-4be4-b3a4-644bf91f04d5,ДАЛО-27-5 том 1-393,ДАЛО-27-5-393
adfa3d20-c449-4b5c-942f-2e38ba398058,ДАЛО-27-5 том 1-394,ДАЛО-27-5-394
60ba7210-a3ee-466e-a69a-975ec8da1a18,ДАЛО-27-5 том 1-397,ДАЛО-27-5-397
3f34ec8e-66cd-482f-82c7-f51efdbf04ad,ДАЛО-27-5 том 1-398,ДАЛО-27-5-398
c7dc1b58-3379-4a6a-adce-aa67911158e9,ДАЛО-27-5 том 1-399,ДАЛО-27-5-399
ccdba91e-bfa3-43d7-a2b8-b7f30eed55f4,ДАЛО-27-5 том 1-400,ДАЛО-27-5-400
5ae2a4b1-7e2c-4253-866f-bd367f531d96,ДАЛО-27-5 том 1-401,ДАЛО-27-5-401
9190dce4-673f-4a92-8062-29eb14b0d082,ДАЛО-27-5 том 1-402,ДАЛО-27-5-402
2f38ae00-59e1-4fcd-bc47-4caa81565d71,ДАЛО-27-5 том 1-403,ДАЛО-27-5-403
b1176498-9cb1-48b3-859e-223ad4996b6f,ДАЛО-27-5 том 1-404,ДАЛО-27-5-404
7b86f108-f71b-4742-b849-f3740f12d489,ДАЛО-27-5 том 1-405,ДАЛО-27-5-405
c7fee75b-6f9c-46b0-982c-bba9cc39a57f,ДАЛО-27-5 том 1-406,ДАЛО-27-5-406
e3073c4c-8a45-4a90-b37c-bb91a2554e89,ДАЛО-27-5 том 1-407,ДАЛО-27-5-407
9f461ec8-1fc6-42ae-990d-3cb3794af534,ДАЛО-27-5 том 1-408,ДАЛО-27-5-408
76fbf990-7f3d-4916-9489-d79ca15fa82f,ДАЛО-27-5 том 1-408а,ДАЛО-27-5-408А
072c4ede-2c35-4169-80ee-ca99076f8407,ДАЛО-27-5 том 1-409,ДАЛО-27-5-409
925b7359-d5bd-4197-bb60-2ff2e978cd09,ДАЛО-27-5 том 1-410,ДАЛО-27-5-410
dd8f507a-006f-482a-8831-d43a543f268f,ДАЛО-27-5 том 1-411,ДАЛО-27-5-411
671c9590-8c5a-4757-a910-a44bce68afb1,ДАЛО-27-5 том 1-412,ДАЛО-27-5-412
902ec79f-96f3-4656-bc86-845f0563cf60,ДАЛО-27-5 том 1-413,ДАЛО-27-5-413
4fedacdc-34df-429e-be52-0ae657a4a709,ДАЛО-27-5 том 1-414,ДАЛО-27-5-414
00a66b72-8ff0-4248-9142-f4e7dab10e87,ДАЛО-27-5 том 1-415,ДАЛО-27-5-415
e3c712a4-495c-4605-ae11-a611bc4beab7,ДАЛО-27-5 том 1-416,ДАЛО-27-5-416
1618503b-6b21-4562-8af2-9cd8092143ba,ДАЛО-27-5 том 1-417,ДАЛО-27-5-417
fb8539a8-e8a3-428f-aee3-324c4828d984,ДАЛО-27-5 том 1-418,ДАЛО-27-5-418
3a1757fa-0767-4c37-a772-ec44b0b6e491,ДАЛО-27-5 том 1-419,ДАЛО-27-5-419
160904e8-6bc1-4ea8-9998-0c31f3b51b2b,ДАЛО-27-5 том 1-420,ДАЛО-27-5-420
537143fa-c580-4e7a-8038-d14cc3cd0b05,ДАЛО-27-5 том 1-421,ДАЛО-27-5-421
1b2a9774-c06f-4642-885f-ad693f68fdb1,ДАЛО-27-5 том 1-422,ДАЛО-27-5-422
ecfe5289-bc8c-4bcd-9705-47e7ed334a96,ДАЛО-27-5 том 1-424,ДАЛО-27-5-424
5d9fa6f0-f516-4d6a-9427-03783c08b9e2,ДАЛО-27-5 том 1-425,ДАЛО-27-5-425
fb6a6216-4118-41b9-a987-0e3f8e38699a,ДАЛО-27-5 том 1-426,ДАЛО-27-5-426
523d19a1-1dc2-4b68-b537-9da87e5692c8,ДАЛО-27-5 том 1-427,ДАЛО-27-5-427
47bad681-d5fb-4b86-82f6-2631ad0a0350,ДАЛО-27-5 том 1-428,ДАЛО-27-5-428
aeefcfdc-54a3-41f2-8735-7b7562c3e7b2,ДАЛО-27-5 том 1-429,ДАЛО-27-5-429
96c7df8a-932c-4815-8a2a-a7cb38008be3,ДАЛО-27-5 том 1-430,ДАЛО-27-5-430
d07ff994-6dce-43e8-aebd-a0873aad40b1,ДАЛО-27-5 том 1-431,ДАЛО-27-5-431
97b31daf-be12-4503-a05b-97bf2ff06a49,ДАЛО-27-5 том 1-432,ДАЛО-27-5-432
64be7ea6-d91f-4f9b-8f48-dca8d6db30c2,ДАЛО-27-5 том 1-433,ДАЛО-27-5-433
bd3ba6fd-717e-42ca-8221-4f9eaaa2bacb,ДАЛО-27-5 том 1-434,ДАЛО-27-5-434
7b8d3e1f-03ba-4751-9b91-4ff3783ccafd,ДАЛО-27-5 том 1-435,ДАЛО-27-5-435
3e926585-c466-417e-ba94-abf366aa524b,ДАЛО-27-5 том 1-436,ДАЛО-27-5-436
5b0b6d60-0d6c-468b-aec6-f216a75181ac,ДАЛО-27-5 том 1-437,ДАЛО-27-5-437
7e9c3015-f459-4184-9788-9970307823ac,ДАЛО-27-5 том 1-438,ДАЛО-27-5-438
25644fea-7b38-49f7-badd-b3b5294eeefa,ДАЛО-27-5 том 1-439,ДАЛО-27-5-439
b187c2ae-3237-4edf-9767-34f0fbd9cfb7,ДАЛО-27-5 том 1-440,ДАЛО-27-5-440
4945898e-1fa4-41b0-a33e-07ba1c9ee1e4,ДАЛО-27-5 том 1-441,ДАЛО-27-5-441
