target_full_code,inv,fs_sprava,spr_norm,action,oc_id,url
ЦДІАК-128-1-1273,1,1273,1273,create+link,1d6da46b-4b65-4164-bfd8-5bb6cdb949e7,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930218
ЦДІАК-128-1-1274,1,1274,1274,create+link,61071abd-31a5-4837-9c58-0b25d3b5660c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930217
ЦДІАК-128-1-1279,1,1279,1279,create+link,d688099b-e150-4c7e-aeaa-0b4aa7580184,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930216
ЦДІАК-128-1-1280,1,1280,1280,create+link,c792b9d2-c0e6-4dcf-9f00-fb09a00210d5,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930328
ЦДІАК-128-1-1281,1,1281,1281,create+link,ab9d35be-fe0c-4ecc-8770-b726d402d34f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930330
ЦДІАК-128-1-1282,1,1282,1282,create+link,ae1e9f75-5a23-4363-8819-c665ecb90546,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930338
ЦДІАК-128-1-1284,1,1284,1284,create+link,67b9f662-f6b2-4ba9-b25a-e527e899a9c3,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930339
ЦДІАК-128-1-1285,1,1285,1285,create+link,ca7e3445-4872-4e95-9df1-4c6047d5f991,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930340
ЦДІАК-128-1-1286,1,1286,1286,create+link,26f4a3de-2c00-45a2-9d6f-81b1016a2bb7,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930341
ЦДІАК-128-1-1287,1,1287,1287,create+link,23bd681c-f849-48e3-a6f5-3b9903086778,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930342
ЦДІАК-128-1-1288,1,1288,1288,create+link,fe7387ba-a5b0-4d70-84bc-eab149dae524,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930343
ЦДІАК-128-1-1289,1,1289,1289,create+link,d94ccd49-b58f-4fc0-a9e8-19337c7d9778,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930344
ЦДІАК-128-1-1290,1,1290,1290,create+link,ad00afda-e9d2-4e12-9e01-fd013fa86d10,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930345
ЦДІАК-128-1-1291,1,1291,1291,create+link,b7cc5d61-de85-4d74-9066-e88f9def4ec9,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930346
ЦДІАК-128-1-1292,1,1292,1292,create+link,c28d0a64-0c9b-4717-9e98-830253fdfd3b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930190
ЦДІАК-128-1-1293,1,1293,1293,create+link,96657d35-2dab-4cf2-b9e1-37f0f94dc05a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930192
ЦДІАК-128-1-1294,1,1294,1294,create+link,c58b8a31-6e7c-4c08-9de3-1374de0c87cf,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930203
ЦДІАК-128-1-1295,1,1295,1295,create+link,f4dd01bc-6014-4655-9c2e-90575769d488,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930204
