Архів,Шифр,Назва справи,Роки,Населений пункт / Деканат,Аркушів,Примітки
ЦДІАЛ,201-1-8,Список парафіян с. Балинець,1763,с. Балинець,2,обʼєдн. з №8 (201-1-8)
ЦДІАЛ,201-1-9,Список парафіян с. Байківці,1763,с. Байківці,2,
ЦДІАЛ,201-1-10,Список парафіян с. Барвінок,1763,с. Барвінок,2,
ЦДІАЛ,201-1-11,Список парафіян с. Березовичі,1763,с. Березовичі,1,
ЦДІАЛ,201-1-12,Список парафіян с. Бірки,1763,с. Бірки,2,
ЦДІАЛ,201-1-13,Список парафіян с. Бродки,1763,с. Бродки,2,
ЦДІАЛ,201-1-14,Список парафіян с. Брустури,1763,с. Брустури,2,
ЦДІАЛ,201-1-15,Список парафіян с. Бяла Береза,1763,с. Бяла Береза,2,
ЦДІАЛ,201-1-16,Список парафіян с. Білозуби,1763,с. Білозуби,1,
ЦДІАЛ,201-1-17,Список парафіян с. Вежбовець,1763,с. Вежбовець,2,обʼєдн. до №17 (201-1-17)
ЦДІАЛ,201-1-18,Список парафіян с. Глюбочко,1763,с. Глюбочко,3,
ЦДІАЛ,201-1-19,Список парафіян с. Горбачі (?),1763,с. Горбачі (?),3,
ЦДІАЛ,201-1-20,Список парафіян с. Горожанна Велика,1763,с. Горожанна Велика,5,
ЦДІАЛ,201-1-21,Список парафіян с. Гуменець,1763,с. Гуменець,3,
ЦДІАЛ,201-1-22,Список парафіян с. Делятин,1763,с. Делятин,3,
ЦДІАЛ,201-1-23,Список парафіян с. Дичківці,1763,с. Дичківці,1,
ЦДІАЛ,201-1-24,Список парафіян с. Довгополе,1763,с. Довгополе,2,
ЦДІАЛ,201-1-25,Список парафіян с. Дубовець,1763,с. Дубовець,3,
ЦДІАЛ,201-1-26,Список парафіян с. Жабʼє,1763,с. Жабʼє,10,
ЦДІАЛ,201-1-27,Список парафіян с. Жизнів,1763,с. Жизнів,2,
ЦДІАЛ,201-1-28,Список парафіян с. Зарудя,1763,с. Зарудя,1,
ЦДІАЛ,201-1-29,"Список парафіян с. Ігровиця, пов. Терн.",1763,"с. Ігровиця, пов. Терн.",6,
ЦДІАЛ,201-1-30,Список парафіян с. Колодня,1763,с. Колодня,2,Обʼєднано до №36 (30?)
ЦДІАЛ,201-1-31,Список парафіян с. Косів,1763,с. Косів,5,
ЦДІАЛ,201-1-32,Список парафіян с. Косів Старий,1763,с. Косів Старий,4,
ЦДІАЛ,201-1-33,Список парафіян с. Кобилянка,1763,с. Кобилянка,1,
ЦДІАЛ,201-1-34,Список парафіян с. Кожів,1763,с. Кожів,2,
ЦДІАЛ,201-1-35,Список парафіян с. Кабати (?),1763,с. Кабати (?),2,
ЦДІАЛ,201-1-36,Список парафіян с. Красівці,1763,с. Красівці,3,
ЦДІАЛ,201-1-37,Список парафіян с. Колодруби,1763,с. Колодруби,4,
ЦДІАЛ,201-1-38,Список парафіян с. Крулівці,1763,с. Крулівці,4,
ЦДІАЛ,201-1-39,Список парафіян с. Луки Великі,1763,с. Луки Великі,3,
ЦДІАЛ,201-1-40,Список парафіян с. Лешнів,1763,с. Лешнів,2,обʼєднано
ЦДІАЛ,201-1-41,Список парафіян с. Малини,1763,с. Малини,3,
ЦДІАЛ,201-1-42,Список парафіян с. Манастир-Косів,1763,с. Манастир-Косів,2,
ЦДІАЛ,201-1-43,Список парафіян с. Містки,1763,с. Містки,2,
ЦДІАЛ,201-1-44,Список парафіян с. Милошів,1763,с. Милошів,1,
ЦДІАЛ,201-1-45,Список парафіян с. Новосілки,1763,с. Новосілки,2,
ЦДІАЛ,201-1-46,Список парафіян с. Пістинь (Маріампіль?),1763,с. Пістинь (Маріампіль?),5,обʼєднано
ЦДІАЛ,201-1-47,Список парафіян с. Пронятин,1763,с. Пронятин,2,
ЦДІАЛ,201-1-48,Список парафіян м. Перемишль,1763,м. Перемишль,2,
ЦДІАЛ,201-1-49,Список парафіян с. Петриків,1763,с. Петриків,2,
ЦДІАЛ,201-1-50,Список парафіян с. Підзамче,1763,с. Підзамче,1,
ЦДІАЛ,201-1-51,Список парафіян с. Поріче,1763,с. Поріче,2,
ЦДІАЛ,201-1-52,Список парафіян с. Попеляни,1763,с. Попеляни,1,
ЦДІАЛ,201-1-53,Список парафіян с. Рожно (?),1763,с. Рожно (?),6,
ЦДІАЛ,201-1-54,Список парафіян с. Ростоки,1763,с. Ростоки,2,
ЦДІАЛ,201-1-55,Список парафіян с. Ричигів,1763,с. Ричигів,2,
ЦДІАЛ,201-1-56,Список парафіян с. Сороки,1763,с. Сороки,2,обʼєднано
ЦДІАЛ,201-1-57,Список парафіян с. Смиковець,1763,с. Смиковець,2,
ЦДІАЛ,201-1-58,Список парафіян с. Соколів,1763,с. Соколів,2,
ЦДІАЛ,201-1-59,Список парафіян с. Старокуци,1763,с. Старокуци,2,
ЦДІАЛ,201-1-60,Список парафіян с. Сроки,1763,с. Сроки,2,
ЦДІАЛ,201-1-61,Список парафіян м. Тернопіль,1763,м. Тернопіль,2,
ЦДІАЛ,201-1-62,Список парафіян с. Тумир,1763,с. Тумир,2,
ЦДІАЛ,201-1-63,Список парафіян с. Татаринів,1763,с. Татаринів,2,
ЦДІАЛ,201-1-64,Список парафіян с. Тюдів,1763,с. Тюдів,4,
ЦДІАЛ,201-1-65,Список парафіян м. Устє,1763,м. Устє,2,обʼєднано
ЦДІАЛ,201-1-66,Список парафіян с. Частилів,1763,с. Частилів,2,
ЦДІАЛ,201-1-67,Список парафіян с. Щирець,1763,с. Щирець,2,
ЦДІАЛ,201-1-68,Список парафіян с. Яворів,1763,с. Яворів,2,
ЦДІАЛ,201-1-82,Список парафіян с. Підвисоцьке Руське,1769,с. Підвисоцьке Руське,2,обʼєднано до №47 (201-1-47)
НМЛ,РКЛ-260,Реєстр парафіян,1818-1835,Цетуля к. Ярослава,,
НМЛ,РКЛ-1752,Облік душ гр.-кат. Обряду в усіх домах,1783,Баламотівка с.,,
НМЛ,РКЛ-1753,"Реєстр парафіян с.Баличі, с. Підгірні, с. Угольна.",1763,"с.Баличі, с. Підгірні, с. Угольна.",,
НМЛ,РКЛ-1754,Специфікація парафіян грецького обряду. с. Баличі Подорожні,1763,с. Баличі Подорожні,,
НМЛ,РКЛ-1755,Облік душ гр.-кат. обряду. с. Бахматівка,1763,Бахматівка с.,,
НМЛ,РКЛ-1756,Реєстр парафіян. с. Болехів,1763,Болехів с. ,,
НМЛ,РКЛ-1757,Реєстр с. Бернадівка,1763,Бернадівка с.,,
НМЛ,РКЛ-1758,Реєстр парафіян храму св. Великом. Параскеви. с. Білокерниця,1763,Білокерниця с.,,
НМЛ,РКЛ-1759,"Реєстр парафіян, які належать до храму св. Тройці. с. Білявинці",1763,Білявинці с.,,
НМЛ,РКЛ-1760,Облік душ гр.-кат. обряду. с. Більче,1784,Більче,,
НМЛ,РКЛ-1761,Реєстр людей грецького обряду. с. Бірки,1763,Бірки,,
НМЛ,РКЛ-1762,Реєстр парафіян. с. Бобулинці,1763,Бобулинці с.,,
НМЛ,РКЛ-1763,Облік душ гр.-кат. обряду. с. Богданівці,1783,Богданівці с.,,
НМЛ,РКЛ-1764,Реєстр парафіян с. Божинів,1763,Божинів с. ,,
НМЛ,РКЛ-1765,Реєстр парафіян м. Болехова,1763,Болехів,,
НМЛ,РКЛ-1766,Реєстр християн м-ка Борщів,1763,Борщів,,
НМЛ,РКЛ-1767,"Реєстр парафіян с. Брязк, с. Сукіль",1763,"Брязк с., Сукіль с.",,
НМЛ,РКЛ-1768,"Реєстр парафіян с. Брикуля, с. Винява, с. Слобода",1763,"Брикуля, Винява, Слобода",,
НМЛ,РКЛ-1769,Реєстр людей грецького обряду. м. Будзанів,1763,Будзанів,,
НМЛ,РКЛ-1770,Реєстр парафії с. Будилів,1763,Будилів,,
НМЛ,РКЛ-1771,Реєстр людей грецького обряду. с. Буцики,1763,Буцики,,
НМЛ,РКЛ-1772,Реєстр душ передмістя м. Бучача,1763,передмістя м. Бучач,,
НМЛ,РКЛ-1773,Реєстр душ м. Бучач,1763,Бучач,,
НМЛ,РКЛ-1774,Реєстр душ грецького обряду с. Варваринці,1763,Варваринці,,
НМЛ,РКЛ-1775,Реєстр парафіян с. Велдіж,1763,Велдіж,,
НМЛ,РКЛ-1776,Реєстр парафіян с. Великі Дідушиці,1763,Великі Дідушинці,,
НМЛ,РКЛ-1777,Реєстр парафіян с. Вербів,1763,Вербів,,
НМЛ,РКЛ-1778,Реєстр парафіян с. Вербів-Головяни,1763,Вербів-Головяни,,
НМЛ,РКЛ-1779,Реєстр людей грецького обряду с. Вербовець,1763,Вербовець,,
НМЛ,РКЛ-1780,Реєстр парафіян с. Витвиця,1763,Витвиця,,
НМЛ,РКЛ-1781,Реєстр парафіян м. Вишнівчик,1763,Вишнівчик,,
НМЛ,РКЛ-1782,Реєстр всіх душ с. Вишнівчик,1763,Вишнівчик,,
НМЛ,РКЛ-1783,Реєстр парафіян с. Вільшаниця,1763,Вільшаниця,,
НМЛ,РКЛ-1784,Реєстр душ гр. обряду с. Вісля,1763,Вісля,,
НМЛ,РКЛ-1785,Всі парафіяни українського обряду с. Волиця,1763,Волиця,,
НМЛ,РКЛ-1786,Реєстр парафіян с. Волиця,1763,Волиця,,
НМЛ,РКЛ-1787,Реєстр парафіян с. Вовків,1763,Вовків,,
НМЛ,РКЛ-1788,Реєстр парафіян с. Волосів,1763,Волосів,,
НМЛ,РКЛ-1789,Реєстр парафіян с. Волоща,1763,Волоща,,
НМЛ,РКЛ-1790,"Поляки, що знаходяться в парафії с. Волоща",1763,"Волоща с., передмістя Підгайці",,
НМЛ,РКЛ-1791,Реєстр парафіян с. Волощиха,1763,Волощиха,,
НМЛ,РКЛ-1792,Реєстр парафіян с. Ворона,1763,Ворона,,
НМЛ,РКЛ-1793,Довідка пароха про кількість парафіян с. Ганківці,1763,Ганківці,,
НМЛ,РКЛ-1794,Реєстр парафіян с. Гвоздець,1763,Гвоздець с.,,
НМЛ,РКЛ-1795,Реєстр душ с. Малий Гвоздець,1763,Малий Гвоздець с.,,
