old_full_code,new_full_code
ПЕРІОДИКА-1004-1924-73071,ПЕРІОДИКА-1004-1924-20
ПЕРІОДИКА-1004-1924-73072,ПЕРІОДИКА-1004-1924-18
ПЕРІОДИКА-1004-1924-73073,ПЕРІОДИКА-1004-1924-30
ПЕРІОДИКА-1004-1924-73074,ПЕРІОДИКА-1004-1924-21
ПЕРІОДИКА-1004-1924-73075,ПЕРІОДИКА-1004-1924-16
ПЕРІОДИКА-1004-1924-73076,ПЕРІОДИКА-1004-1924-26
ПЕРІОДИКА-1004-1924-73077,ПЕРІОДИКА-1004-1924-32
ПЕРІОДИКА-1004-1924-73078,ПЕРІОДИКА-1004-1924-24
ПЕРІОДИКА-1004-1924-73079,ПЕРІОДИКА-1004-1924-14
ПЕРІОДИКА-1004-1924-73080,ПЕРІОДИКА-1004-1924-15
ПЕРІОДИКА-1004-1924-73081,ПЕРІОДИКА-1004-1924-31
ПЕРІОДИКА-1004-1924-73082,ПЕРІОДИКА-1004-1924-35
ПЕРІОДИКА-1004-1924-73083,ПЕРІОДИКА-1004-1924-34
ПЕРІОДИКА-1004-1924-73084,ПЕРІОДИКА-1004-1924-29
ПЕРІОДИКА-1004-1924-73085,ПЕРІОДИКА-1004-1924-37
ПЕРІОДИКА-1004-1924-73086,ПЕРІОДИКА-1004-1924-36
ПЕРІОДИКА-1004-1924-73087,ПЕРІОДИКА-1004-1924-33
ПЕРІОДИКА-1004-1924-73088,ПЕРІОДИКА-1004-1924-38
ПЕРІОДИКА-1004-1924-73089,ПЕРІОДИКА-1004-1924-41
ПЕРІОДИКА-1004-1924-73090,ПЕРІОДИКА-1004-1924-40
ПЕРІОДИКА-1004-1924-73091,ПЕРІОДИКА-1004-1924-43
ПЕРІОДИКА-1004-1924-73092,ПЕРІОДИКА-1004-1924-28
ПЕРІОДИКА-1004-1924-73093,ПЕРІОДИКА-1004-1924-23
ПЕРІОДИКА-1004-1924-73094,ПЕРІОДИКА-1004-1924-25
ПЕРІОДИКА-1004-1924-73095,ПЕРІОДИКА-1004-1924-19
ПЕРІОДИКА-1004-1924-73096,ПЕРІОДИКА-1004-1924-42
ПЕРІОДИКА-1004-1924-73097,ПЕРІОДИКА-1004-1924-17
ПЕРІОДИКА-1004-1924-73098,ПЕРІОДИКА-1004-1924-27
ПЕРІОДИКА-1004-1924-73099,ПЕРІОДИКА-1004-1924-39
ПЕРІОДИКА-1004-1924-73100,ПЕРІОДИКА-1004-1924-22
ПЕРІОДИКА-1005-1923-73101,ПЕРІОДИКА-1005-1923-7
ПЕРІОДИКА-1005-1923-73102,ПЕРІОДИКА-1005-1923-122
ПЕРІОДИКА-1005-1923-73103,ПЕРІОДИКА-1005-1923-177
ПЕРІОДИКА-1005-1923-73104,ПЕРІОДИКА-1005-1923-174
ПЕРІОДИКА-1005-1923-73105,ПЕРІОДИКА-1005-1923-116
ПЕРІОДИКА-1005-1923-73106,ПЕРІОДИКА-1005-1923-197
ПЕРІОДИКА-1005-1923-73107,ПЕРІОДИКА-1005-1923-86
ПЕРІОДИКА-1005-1923-73108,ПЕРІОДИКА-1005-1923-48
ПЕРІОДИКА-1005-1923-73109,ПЕРІОДИКА-1005-1923-138
ПЕРІОДИКА-1005-1923-73110,ПЕРІОДИКА-1005-1923-100
ПЕРІОДИКА-1005-1923-73111,ПЕРІОДИКА-1005-1923-39
ПЕРІОДИКА-1005-1923-73112,ПЕРІОДИКА-1005-1923-85
ПЕРІОДИКА-1005-1923-73113,ПЕРІОДИКА-1005-1923-32
ПЕРІОДИКА-1005-1923-73114,ПЕРІОДИКА-1005-1923-79
ПЕРІОДИКА-1005-1923-73115,ПЕРІОДИКА-1005-1923-89
ПЕРІОДИКА-1005-1923-73116,ПЕРІОДИКА-1005-1923-131
ПЕРІОДИКА-1005-1923-73117,ПЕРІОДИКА-1005-1923-187
ПЕРІОДИКА-1005-1923-73118,ПЕРІОДИКА-1005-1923-103
ПЕРІОДИКА-1005-1923-73119,ПЕРІОДИКА-1005-1923-51
ПЕРІОДИКА-1005-1923-73120,ПЕРІОДИКА-1005-1923-4
ПЕРІОДИКА-1005-1923-73121,ПЕРІОДИКА-1005-1923-151
ПЕРІОДИКА-1005-1923-73122,ПЕРІОДИКА-1005-1923-172
ПЕРІОДИКА-1005-1923-73123,ПЕРІОДИКА-1005-1923-110
ПЕРІОДИКА-1005-1923-73124,ПЕРІОДИКА-1005-1923-212
ПЕРІОДИКА-1005-1923-73125,ПЕРІОДИКА-1005-1923-146
ПЕРІОДИКА-1005-1923-73126,ПЕРІОДИКА-1005-1923-128
ПЕРІОДИКА-1005-1923-73127,ПЕРІОДИКА-1005-1923-23
ПЕРІОДИКА-1005-1923-73128,ПЕРІОДИКА-1005-1923-25
ПЕРІОДИКА-1005-1923-73129,ПЕРІОДИКА-1005-1923-33
ПЕРІОДИКА-1005-1923-73130,ПЕРІОДИКА-1005-1923-90
ПЕРІОДИКА-1005-1923-73131,ПЕРІОДИКА-1005-1923-37
ПЕРІОДИКА-1005-1923-73132,ПЕРІОДИКА-1005-1923-215
ПЕРІОДИКА-1005-1923-73133,ПЕРІОДИКА-1005-1923-208
