would_link_to,existing_link,parsed,url,online_copy_id,action_id
ДАЧкО-931-1-2990,ДАЧкО-9310-1-2990,ДАЧкО-(931-1-2990+++931-1-2990+++931-1-2990),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808020_001_M9MK-7V5,81a61a83-6641-478e-9355-13a20bcb1ba4,ad3de45a-866f-4774-ba1b-e64003bf4256
ДАЧкО-931-1-2991,ДАЧкО-9310-1-2991,ДАЧкО-(931-1-2991+++931-1-2991+++931-1-2991),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808020_002_M9MK-7VR,da756912-9e94-42e3-9aed-ebcb033b9d24,f9ce9116-1a99-496f-9a24-04fde61f392a
ДАЧкО-931-1-2992,ДАЧкО-9310-1-2992,ДАЧкО-(931-1-2992+++931-1-2992+++931-1-2992),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808020_003_M9MK-7VT,399de5a1-8030-4e52-84e6-d91e1f6841d3,de603a6f-94e1-4e6d-a6fa-28f265906a24
ДАЧкО-931-1-2993,ДАЧкО-9310-1-2993,ДАЧкО-(931-1-2993+++931-1-2993+++931-1-2993),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808020_004_M9MK-7VY,cc1bb037-51e6-4a79-b8e4-78e4112926aa,d748b61b-025f-407c-97c0-cf70be836446
ДАЧкО-931-1-2994,ДАЧкО-9310-1-2994,ДАЧкО-(931-1-2994+++931-1-2994+++931-1-2994),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808020_005_M9MK-7VB,f86ddeda-4f65-40b8-a489-174a1e6d6049,4a407f5d-7a17-441a-89c1-5e5ee4f0d4ce
ДАЧкО-931-1-2994,ДАЧкО-9310-1-2994,ДАЧкО-(931-1-2994+++931-1-2994+++931-1-2994),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808022_001_M9MK-3TQ,6e553d0d-bed4-415d-b531-6054a6e2b285,3f603b20-b4a2-4bc7-85d2-afbcea1281f0
ДАЧкО-931-1-2995,ДАЧкО-9310-1-2995,ДАЧкО-(931-1-2995+++931-1-2995+++931-1-2995),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808022_002_M9MK-3T7,6b46a747-1bfa-479a-9ee2-62813a0bb6ba,1efcbc0f-b5ae-469e-b087-c5858268b6dd
ДАЧкО-931-1-2996,ДАЧкО-9310-1-2996,ДАЧкО-(931-1-2996+++931-1-2996+++931-1-2996),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808022_003_M9MK-3TW,fd924ee3-c7ee-485a-a7be-7cfd92eda2a8,144c7c15-a6f6-4c39-88e2-cbecbb3b20f7
ДАЧкО-931-1-2997,ДАЧкО-9310-1-2997,ДАЧкО-(931-1-2997+++931-1-2997+++931-1-2997),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808022_004_M9MK-3T4,398b40a1-5209-4401-b1df-682336d021c8,02de410f-e7a6-4d81-beaf-2defca5a4ef6
ДАЧкО-931-1-2998,ДАЧкО-9310-1-2998,ДАЧкО-(931-1-2998+++931-1-2998+++931-1-2998),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808022_005_M9MK-3TH,31431f55-20d1-4052-9133-cf2fdd682b0e,1c8e69a9-3cf9-4d27-9d5d-dd7e37a2d441
