code,title,start_year,end_year
1,Волинські Єпархіальні Відомості (Волынскія Єпархіальныя Ведомости),1867,1917
2,Донські Єпархіальні Відомості (Донскія Єпархіальныя Ведомости),1869,1917
3,Катеринославські Єпархіальні Відомості (Екатеринославскія Єпархіальныя Ведомости),1872,1917
4,Київські Єпархіальні Відомості (Кіевскія Єпархіальныя Ведомости),1861,1917
5,Подільські Єпархіальні Відомості (Подольскія Єпархіальныя Ведомости),1862,1905
6,Полтавські Єпархіальні Відомості (Полтавскія Єпархіальныя Ведомости),1863,1917
7,Таврійські Єпархіальні Відомості (Таврическія Єпархіальныя Ведомости),1869,1917
8,Харківські Єпархіальні Відомості (Харьковскія Єпархіальныя Ведомости),1867,1915
9,Херсонські Єпархіальні Відомості (Херсонскія Єпархіальныя Ведомости),1860,1918
10,Чернігівські Єпархіальні Вісті (Черниговскія Єпархіальныя Извѣстія),1861,1911
