inv_code,url,parsed
1,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Волинські,ПЕРІОДИКА-2-1
2,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Донські,ПЕРІОДИКА-2-2
3,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Катеринославські,ПЕРІОДИКА-2-3
4,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Київські,ПЕРІОДИКА-2-4
5,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Подільські,ПЕРІОДИКА-2-5
6,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Полтавські,ПЕРІОДИКА-2-6
7,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Таврійські,ПЕРІОДИКА-2-7
8,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Харківські,ПЕРІОДИКА-2-8
9,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Херсонські,ПЕРІОДИКА-2-9
10,https://uk.wikisource.org/wiki/Архів:Єпархіальні_Відомості/Чернігівські,ПЕРІОДИКА-2-10
