1	Севастопольський міський словесний суд	1858-1858	2	1
КМФ7	Документи про життя та діяльність Леоніда Віталійовича Собінова	1918-1934	1	0
3	Церква Дунайської гребної флотилії	1827-1855	1	30
5	Митрофанівська церква боковий вівтар Севастопольського Адміралтейського собору	1854-1866	1	8
6	Церква Св. Митрофана Воронізького	1854-1882	1	0
7	Комісія музею Севастопольскої оборони	1887-1910	1	0
8	Управління Севастопольського трамвая та освітлення анонімного Бельгійського товариства	1886-1920	1	0
9	Балаклавська Миколаївська церква	1857-1860,1866-1875	1	6
10	Севастопольський міський шпиталь	1835-1835	1	0
11	Петропавлівська церква морського госпіталю	1820-1878	1	32
12	Севастопольська інспекція дрібного кредита при державному банку	1904-1916	1	0
13	Комісія по будівництву пристані в Північній бухті міста Севастополя при управленні Курсько-Харківсько-Севастопольскої залізниці	1878-1882	1	0
15	Канцелярія Севастопольського градоначальника	1878-1878,1879-1879,1882-1882,1884-1884,1888-1888,1891-1910,1918-1918	1	0
16	Управління кріпосного контролю військового часу в Севастопольскій фортеці (Департаменту військової та морської звітності державного контролю)	1914-1917	1	0
18	Севастопольський міський магістрат	1856-1866	1	0
19	Херсонеський чоловічий монастир	1853-1919	1	0
21	Комісія з будівництва в Севастополі храму святого Володимира	1845-1872	1	0
22	Севастопольське карантинне агентство	1852-1852,1867-1888	2	0
23	Севастопольський адміралтейський собор і Володимирська церква	1815-1899	1	73
24	Севастопольське міське відділення державного банку	1890-1917	2	0
25	Севастопольська міська управа	1904-1920	2	0
26	Севастопольське Костянтинівське реальне училище	1904-1920	1	0
27	Управління міського поліцмейстера Севастопольського градоначальства	1895-1909	2	0
30	Книги записів актів цивільного стану церков	1878-1919	3	159
31	Байдарське сільське поштово-телеграфне відділення Управління Одеського поштово-телеграфного округу	1906-1920	2	0
32	Дуванкійське сільське поштове відділення управління Одеського поштово-телеграфного округу	1917-1919	1	0
33	Церква Святих апостолів Петра та Павла по вул. Морскій	1858-1878	1	9
34	Церква Святих апостолів Петра та Павла на північній стороні	1858-1871	1	6
35	Церква Святих апостолів Петра та Павла на міському пагорбі	1820-1857	1	6
КМФ	Колекція мікрофотокопій		0	0
КМФ1	Документи з історії міста Севастополь	1781-1917	1	0
КМФ2	Документи з історії Кримської війни	1853-1856	1	0
КМФ3	Канцелярія Севастопольського градоначальника	1874-1915	1	0
КМФ4	Газети, що виходили у м. Севастополь	1889-1947	2	0
КМФ5	Документи з історії революційного руху та революційних подій в Севастополі	1877-1930	5	0
КМФ6	Севастопольске жандармське управління	1901-1917	1	0
КМФ10	Центральний виконавчий комітет Чорноморського флоту (Центрофлот)	1917-1918	1	0
КМФ11	Севастополь в роки Радянської влади	1921-1971	3	0
КМФ12	Севастополь в роки Радянської влади	1921-1971	1	0
П1	Севастопольський міський комітет Комуністичної партії України	1939-1953	1	0
П2	Корабельний районний в м. Севастополі комітет Комуністичної партії України	1940-1957	1	0
П3	Ленінський районний в м. Севастополі комітет Комуністичної партії України	1975-1975	1	0
П4	Севастопольська міська організація партії «Сильна Україна»	2010-2012	1	0
КМФ8	Севастопольська рада солдатських та робітничих депутатів	1918-1934	1	0
КМФ9	Комісія 10-и по демобілізації та прийому до флоту по вільному найму особого складу Чорноморського флоту	1917-1918	1	0
Р3	Управління промисловості виконавчого комітету Севастопольської міської ради дупетатів робітників	1957-1962	1	0
Р5	Будівельне управління №432 (СУ-432) теста "Кримморгідробуд"	1944-1982	2	0
Р6	Закрите акіонерне товариство "КримНІОпроект"	1945-2004	4	0
ВИДАННЯ	Видання архіву, покажчики, путівники, інші праці		0	0
20	Балаклавський Георгіївський монастир	1794-1920	1	0
2	Севастопольска скарбниця Таврійської губернської казенної палати	1914-1915	1	0
4	Благочинний церков Сеастопольського округу Таврійської єпархії, м. Севастополь	1864-1879	1	0
17	Севастопольська портова митниця	1803-1919	2	0
Р7	Севастопольська гуртово-розподільча база Кримської обласної контори "Головм'ясомолзбит"	1945-2004	1	0
Р9	Державне комунальне підприємство "Північміськканал" Управління комунального господарства	1929-1997	4	0
Р10	Севастопольський автобусно-таксомоторний парк	1944-1964	1	0
697			1	1
707			1	1
14			0	0
