1110	Жандармський пост с. Долиняни Хотинського повіту		0	0
567	Жандармський пост м. Єдинці Хотинського повіту		0	0
568	Жандармський пост с. Іспас Сторожинецького повіту		0	0
569	Жандармський пост с. Рашків Хотинського повіту		0	0
Н			1	2
57	Примарія комуни Валява Чернівецького повіту		0	0
757	Чернівецька повітова торговельна комісія		0	0
800	Військово-польовий суд 8-ї піхотної дивізії		0	0
573	Жандармський пост с. Станівці Сторожинецького повіту		0	0
801	Двадцять другий піхотний полк, м. Чернівці		0	0
574	Секція жандармерії в комуні Чудей Сторожинецького повіту		0	0
576	Жандармський пост с. Валява Чернівецького повіту		0	0
577	Секція жандармерії в комуні Путила Сторожинецького повіту		0	0
12СЧ			1	4
605	Кишинівська духовна консисторія у справах Хотинського повіту	1784-1929	9	313
1245	Книги актів громадянського стану (метричні книги) нинішньої Чернівецької області		22	5088
328	Примарія комуни Сокиряни Чернівецького повіту	1918-1944	3	1
102	Примарія комуни Ржавинці Хотинського повіту.		3	0
Р2913			1	12
90	Примарія комуни Мигучани		2	137
33	Примарія комуни Малятинці Чернівецького повіту		2	38
406	Документи примарії міста Садгора Чернівецького повіту		1	204
30	Чернівецький обласний інспекторат поліції м.Чернівці		1	200
988	Ністор Іон Янку (04.08.1876 — 11.11.1962) — політичний діяч, румунський історик		1	268
1023	Колекція документів, зібраних Чернівецьким окружним архівом		1	159
1024	Вікенгаузер Франц Адольф (1809-06.04.1891) - буковинський історик		1	126
101	Примарія Комуни Коболчин Хотинського повіту.		1	0
Р2838	Управління Служби безпеки України в Чернівецькій області		2	2
325	Чернівецька міська єврейська релігійна громада м. Чернівці		4	2671
578	Жандармський пост с. Непоротове Хотинського повіту		0	0
579	Жандармський пост с. Чортория Чернівецького повіту		0	0
Р72			8	1830
58	Примарія комуни Ревне Чернівецького повіту		0	0
583	Взвод жандармерії в м. Кіцмань Чернівецького повіту		0	0
584	Жандармський пост с. Чокенешть Чернівецького повіту		0	0
585	Жандармський пост с. Коритне Сторожинецького повіту		0	0
586	Секція жандармерії в комуні Лужани Чернівецького повіту		0	0
637	Примарія комуни Зелений Гай Чернівецького повіту		0	0
638	Примарія комуни Щербинці Хотинського повіту		0	0
639	Примарія комуни Чубриу Хотинського повіту		0	0
64	Примарія комуни Верхні Петрівці Сторожинецького повіту		0	0
1111	Жандармський пост с. Хряцька Герцаївської волості Дорохойського повіту		0	0
640	Примарія комуни Зеленів Чернівецького повіту		0	0
1112	Жандармський пост с. Кельменці Хотинського повіту		0	0
641	Примарія комуни Залуче Хотинського повіту		0	0
1113	Жандармський пост с. Чорний Потік Чернівецького повіту		0	0
1114	Жандармський пост с. Дубівці Чернівецького повіту		0	0
1115	Чернівецька повітова земельна палата, м. Чернівці		0	0
1154	Жандармський пост с. Комарів Хотинського повіту		0	0
642	Примарія комуни Зарожани Хотинського повіту		0	0
1155	Жандармський пост с. Мариничі Сторожинецького повіту		0	0
1156	Жандармський пост с. Білоусівка Хотинського повіту		0	0
1157	Жандармський пост с. Путила Радівецького повіту		0	0
120	Вашківецький повітовий суд, м. Вашківці		0	0
1200	Нотаріус Драгомирецький Ніколаус, м. Чернівці		0	0
1201	Нотаріус Зайонц Антон, м. Чернівці		0	0
1202	Управління копалень м. Львів		0	0
1203	Нотаріус Купаренко Тітус, м. Сторожинець		0	0
1204	Нотаріус Купаренко Тітус, с. Селятин		0	0
1205	Нотаріус Коморошан Євген, м. Вашківці		0	0
1206	Нотаріус Інгвер Адольф, м. Чернівці		0	0
1207	Нотаріус Інгвер Адольф, м.Садгора		0	0
1208	Нотаріус Зауерквель Йозеф, м. Вижниця		0	0
1209	Нотаріус Мортвіцер Юліус, м. Чернівці		0	0
121	Жандармський пост с. Митків Чернівецького повіту		0	0
1210	Нотаріус Руппрехт Адам, м. Заставна		0	0
1211	Нотаріус Мацілінський Карл, м. Заставна		0	0
1212	Нотаріус Міллер Максиміліан, м. Чернівці		0	0
1213	Нотаріус Німентовський Тадеуш, м. Кіцмань		0	0
1214	Нотаріус Попович Деметр, с. Станівці		0	0
1215	Нотаріус Стрийський Євген, м. Кіцмань		0	0
143	Лопатницьке однокласне народне училище Хотинського повіту		0	0
144	Романковецький сільський суд		0	0
145	Путильський сільський суд		0	0
146	Селятинський сільський суд		0	0
147	Чернівецький змішаний суд		0	0
148	Сторожинецький змішаний суд		0	0
15	Префектура Чернівецького повіту		0	0
150	Новоселицький сільський суд		0	0
151	Рота жандармерії в м. Сторожинець Сторожинецького повіту		0	0
152	Заставнівський змішаний суд		0	0
153	Вашківецький змішаний суд		0	0
154	Кіцманський змішаний суд		0	0
155	Хотинське вище початкове училище Бессарабської губернії		0	0
156	Станівецький волосний змішаний суд		0	0
157	Боянівський волосний змішаний суд		0	0
158	Чудейський змішаний суд		0	0
159	Чернівецька повітова тюрма		0	0
16	Префектура Кіцманського повіту		0	0
218	Сторожинецький повітовий шкільний ревізорат		0	0
219	Інспектор народних училищ Хотинського повіту Бессарабської губернії		0	0
22	Зарожанське двокласне народне училище Хотинського повіту		0	0
220	Чернівецький міський шкільний субінспекторат		0	0
221	Жандармський батальйон "Молдова" м. Чернівці		0	0
223	Головна окружна школа, м. Чернівці		0	0
224	Дирекція курсів по вивченню філософських наук, м. Чернівці		0	0
225	Чернівецький реальний ліцей № 2, м. Чернівці		0	0
643	Примарія комуни Мосорівка Чернівецького повіту		0	0
644	Примарія комуни Мега Сторожинецького повіту		0	0
268	Чернівецька державна спеціальна школа-інтернат для сліпих та глухонімих дітей		0	0
645	Примарія комуни Молниця Дорохойського повіту		0	0
647	Примарія комуни Мамалига Хотинського повіту		0	0
648	Примарія комуни Малинці Хотинського повіту		0	0
649	Примарія комуни Верхні Станівці Сторожинецького повіту		0	0
65	Примарія комуни Маморниця Чернівецького повіту		0	0
650	Примарія комуни Нижні Станівці Сторожинецького повіту		0	0
651	Примарія міста Хотин Хотинського повіту		0	0
391	Хотинський повітовий поселянський стряпчий Бессарабської губернії		0	0
392	Кишинівська окружна лісна дирекція, м. Кишинів		0	0
394	Чернівецька окружна лісна дирекція		0	0
395	Початкова змішана державна школа в комуні Бабин		0	0
396	Початкова змішана школа с. Тирнова		0	0
397	Дорохойський повітовий трибунал		0	0
398	Примарія комуни Ленківці Хотинського повіту		0	0
399	Примарія комуни Неполоківці Чернівецького повіту		0	0
40	Хотинський міський магістрат		0	0
400	Примарія комуни Зелена Хотинського повіту		0	0
401	Примарія комуни Магала Чернівецького повіту		0	0
402	Примарія комуни Кут Баїнські (нині Кут) Чернівецького повіту		0	0
403	Примарія комуни Пригородок Хотинського повіту		0	0
405	Примарія комуни Кут Остриця (нині Остриця) Чернівецького повіту		0	0
407	Примарія комуни Звенячин Чернівецького повіту		0	0
408	Примарія комуни Ставчани Чернівецького повіту		0	0
409	Примарія комуни Шишківці Чернівецького повіту		0	0
41	Примарія комуни Гвіздівці Хотинського повіту		0	0
453	Жандармський пост с. Борівці Чернівецького повіту		0	0
454	Жандармський пост с. Старі Бросківці Сторожинецького повіту		0	0
455	Жандармський пост с. Буда Герцаївської волості Дорохойського повіту		0	0
497	Консульство Чехословацької Республіки в м. Чернівці		0	0
547	Жандармський пост с. Стара Жучка Чернівецького повіту		0	0
549	Жандармський пост с. Ропча Сторожинецького повіту		0	0
55	Примарія комуни Великий Кучурів Чернівецького повіту		0	0
550	Жандармський пост с. Дорошівці Чернівецького повіту		0	0
551	Жандармський пост с. Глиниця Сторожинецького повіту		0	0
552	Жандармський пост с. Ленківці Чернівецького повіту		0	0
553	Жандармський пост с. Динівці Хотинського повіту		0	0
571			1	1
570			1	1
555	Жандармський пост с. Василів Чернівецького повіту		0	0
556	Жандармський пост с. Коржеуци Хотинського повіту		0	0
559	Жандармський пост с. Кадубівці Чернівецького повіту		0	0
56	Примарія комуни Бояни Чернівецького повіту		0	0
560	Жандармський пост с. Ошихліби Чернівецького повіту		0	0
561	Жандармський пост м. Вижниця Сторожинецького повіту		0	0
562	Жандармський пост с. Сучевень Сторожинецького повіту		0	0
563	Жандармський пост с. Романківці Хотинського повіту		0	0
564	Жандармський пост с. Пашківці Хотинського повіту		0	0
655	Примарія міста Вашківці Сторожинецького повіту		0	0
