Н	307		2
12СЧ	1		4
605	1	Волинська духовна консисторія, м. Луцьк Луцького повіту Волинської губернії	305
605	605		1
605	573		1
605	577		1
605	19		1
605	556		1
605	603		1
605	121		1
605	610		1
1245	17		19
1245	16		101
1245	15	Метричні книги(м. Чернівці)	98
1245	1	Метричні книги районів Чернівецької області	1031
1245	2	Метричні книги (Кіцманський район)	364
1245	3	Метричні книги (м. Чернівці)	322
1245	4	Метричні книги (Вижницький район)	222
1245	5	Метричні книги (Герцаївський район)	238
1245	6	Метричні книги (Глибоцький район)	377
1245	7	Метричні книги (Заставнівський район)	337
1245	8	Метричні книги (Кельменецький район)	229
1245	9	Метричні книги (Новоселицький район)	397
1245	10	Метричні книги (Путильський район)	171
1245	11	Метричні книги (Сокирянський район)	325
1245	12	Метричні книги (Сторожинецький район)	279
1245	13	Метричні книги (Хотинський район)	530
1245	14	Метричні книги (м. Чернівці)	43
1245	712		1
1245	739		1
1245	9236		1
1245	9189		1
1245	7118		1
328	1	Примарія комуни Сокиряни Чернівецького повіту	1
328	2	Примарія комуни Сокиряни Чернівецького повіту	0
328	3	Примарія комуни Сокиряни Чернівецького повіту	0
102	1	Примарія комуни Ржавинці Хотинського повіту	0
102	2		0
102	3		0
Р2913	1		12
90	1		132
90	3		5
33	1		24
33	2		14
406	1		204
30	1	Опис 1	200
988	1	Опис 1	268
1023	1	Опис 1	159
1024	1	Опис 1	126
101	1	Примарія Комуни Коболчин Хотинського повіту.	0
Р2838	2	Управління Служби безпеки України в Чернівецькій області	2
Р2838	1		0
325	4	Переписні листи євреїв. Особові аркуші членів єврейської громади. Списки членів громади. Табеля успішності учнів єврейської початкової школи та чоловічого ліцею.	0
325	2	Протоколи засідань правління громади. Статути благодійних товариств. Звіти про діяльність громади. Справи про надання матеріальної допомоги членам громади.	11
325	3	Актові записи про народження, одруження та смерть членів єврейської релігійної громади. Статути громади	7
325	1	Копії грамот імператора Йосифа II про зрівняння у правах євреїв з іншими підданими Австрії (1780,1790). Статути єврейських релігійних громад та сіоністських товариств (1873,1896,1914,1921,1929,1934). Вказівки Міністерства віровизнань та освіти Австрії про порядок організації єврейської громади. Обіжники правління громади з адміністративних та господарських питань. Протоколи засідань конгресу релігійних громад про створення союзу єврейських релігійних громад на Буковині (1936). Матеріали про вибори до правління єврейської релігійної громади. Справи про діяльність сіоністських товариств та установ, що знаходилися на утриманні єврейської релігійної громади. Листування з Міністерством віровизнань та єврейською громадою про складання статуту для об’єднання всіх єврейських громад Румунії (1929).	2653
Р72	1		18
Р72	2		20
Р72	3		164
Р72	4		1139
Р72	5		275
Р72	5С		19
Р72	6		169
Р72	8		26
571	1		1
570	1		1
1	3	Книги реєстрації вхідної документації; списки мешканців комун, що отримали закордонні паспорти	0
1	1	Укази імператорів Австрії та Австро-Угорщини; документи Галицького намісництва; органів влади, шкільної справи, прав власності, будівництва, призначень на посади	9583
1	2	Вказівки Галицького губернаторства; документи про органи влади, прав власності, будівництво, школи, призначення на посади	3264
1	4	Укази імператорів Австрії та Австро-Угорщини; документи Галицького намісництва, органи влади, права власності, будівництво, школи, призначення	892
1	5	Укази імператорів Австрії та Австро-Угорщини; документи Галицького намісництва, органи влади, права власності, будівництво, школи, призначення	440
2	1		1129
2	2		15
2	3		100
3	4		6154
3	8		301
3	7		31
3	6		252
3	5		402
3	3		40
3	1		13227
3	2		33136
4	2		75
4	1		2492
12	1		6559
12	2		494
12	3		235
39	1		6392
39	2		251
39	3		457
39	4		6
39	5		1
93	3		1
216	1		3122
216	2		516
216	3		600
216	4		53
216	5		1047
216	6		74
216	7		13
217	3		1
240	5		1
245	1		1
321	1		1
326	1		242
554	1		1
558	1		1
591	1		1
987	1		2
1242	9		1
