5899			2	139
990			1	2
2004			1	1
153			1	1
8	Черкаська міська дума		6	2132
765	Пристав 1-го стану Черкаського повіту		1	2
769	Пристав 1-го стану Звенигородського повіту		1	5
9310			1	112
837	Уманський словесний суд, м. Умань Київської губернії		1	60
Р209	Черкаська єврейська професійно-технічна, механічна школа Народного комісаріату освіти УСРР, м. Черкаси Шевченківського (Черкаського) округу		1	25
Р279	Відділення радянської робітничо-селянської міліції і карного розшуку Шевченківського (Корсунського) окружного виконкому Рад робітничих, селянських і червоноармійських депутатів, м. Корсунь Шевченк		3	156
Р529	Чигиринський повітовий виконавчий комітет Рад робітничих, селянських і червоноармійських депутатів, м. Чигирин Київської губернії		2	5
Р53	Земельний відділ Черкаської райуправи (періоду нацистської окупації), м. Черкаси	1941-1943	1	2
Р5899	Книги реєстрації актів цивільного стану Черкаської області		26	4492
931Н			1	12
145	Канівська міська управа, м. Канів Канівського повіту Київської губернії		1	9
417	Черкаський окружний суд, м. Черкаси Київської губернії		1	5
711	Уманська міська управа, м. Умань Уманського повіту Київської губернії		1	25
763	Звенигородська міська поліція, м. Звенигородка Київської губернії		1	4
838	Чигиринський земський суд, м. Чигирин Київської губернії		1	17
835	Чигиринський повітовий земський суд, м. Чигирин Київської губернії		2	89
662			1	1
786	Черкаський повітовий земський суд, м. Черкаси Київської губернії		1	9
844	Черкаський повітовий земський суд, м. Черкаси Черкаського повіту Київської губернії		2	62
1	Черкаське повітове поліцейське управління, м. Черкаси Черкаського повіту Київської губернії		2	63
932			1	1
6	Черкаська повітова земська управа, м. Черкаси, Черкаського повіту Київської губернії		1	192
90	Черкаський міський магістрат, м. Черкаси Черкаського повіту Київської губернії		3	66
193			0	0
715	Звенигородський повітовий земський суд, м. Звенигородка Звенигородського повіту Київської губернії		1	78
472	Золотоніська жіноча гімназія Київського учбового округу, м. Золотоноша Полтавської губернії		2	125
723	Канівська поштово-телеграфна контора, м. Канів Канівського повіту Київської губернії		1	18
754	Черкаська повітова землевпорядна комісія, м. Черкаси Черкаського повіту Київської губернії		13	567
398	Черкаська єврейська чоловіча гімназія М. Б. Гукайла (приватна), м. Черкаси Київської губернії		1	2
873	Звенигородське повітове поліцейське управління, м. Звенигородка Київської губернії		1	10
415	Чигиринське духовне правління, м. Чигирин Київської губернії		1	40
112	Звенигородське комерційне училище Міністерства торгівлі і промисловості, м. Звенигородка Київської губернії		1	2
Р50	Черкаська біржа праці (періоду тимчасової німецько-фашистської окупації), м. Черкаси Київської області		1	6
Р51	Видавництво газети “Українська думка” – орган Черкаської районної управи (періоду тимчасової німецько–фашистської окупації), м. Черкаси Київської області		1	6
Р52	Черкаська районна управа (періоду тимчасової німецько-фашистської окупації), м. Черкаси Київської області		1	1
Р188	Відділ управління Черкаського повітового виконавчого комітету Рад робітничих, селянських і червоноармійських депутатів, м. Черкаси Київської губернії		1	1
Р358	Звенигородське повітове політичне бюро по боротьбі з контрреволюцією, спекуляцією і злочинами по посаді, м. Звенигородка Київської губернії		1	5
Р1591	Виконавчий комітет Тальнівської районної Ради народних депутатів, м. Тальне Черкаської області		2	4
Р3990	Комарницький Микола Федорович – журналіст, краєзнавець		1	1
4	Звенигородська повітова земська управа, м. Звенигородка Звенигородського повіту Київської губернії		1	136
9	Черкаська міщанська управа	1878-1914	2	20
10	Шендерівська міщанська управа Канівського повіту		1	26
18	Корсунське волосне правління, м-ко Корсунь Канівського повіту Київської губернії		1	839
66	Стеблівська сільська управа, с. Стеблів Канівського повіту Київської губернії		1	27
86	Черкаська міська квартирна комісія, м. Черкаси Черкаського повіту Київської губернії		1	66
91	Черкаський міський сирітський суд, м. Черкаси Черкаського повіту Київської губернії		1	698
93	Городищенська жіноча гімназія Київського учбового округу Міністерства народної освіти, м-ко Городище Черкаського повіту Київської губернії	1913-1920	1	9
95	Сунківське двокласне земське ремісниче училище Міністерства землеробства	1910-1920	1	5
124	Буртянська однокласна церковно-приходська школа, с. Бурти Черкаського повіту Київської губернії	1898-1902	1	3
128	Мліївська церковно-приходська школа, с. Мліїв Черкаського повіту Київської губернії	1911-1914	1	4
390	Єврейське товариство м-ка Бурти Черкаського повіту Київської губернії		1	27
391	Єврейське товариство м-ка Матусів Черкаського повіту Київської губернії		1	27
392	Єврейське товариство м-ка Мошни Черкаського повіту Київської губернії		1	29
393	Єврейське товариство м-ка Городище Черкаського повіту Київської губернії		1	19
645	Михайлівська церква, с. Костянтинівка Черкаського повіту Київської губернії		1	2
650	Єврейська община м. Чигирина Київської губернії		1	17
655	Кам'янська міщанська управа	1883-1916	2	39
660	Чигиринське духовне правління, м. Чигирин Київської губернії		3	1473
661	Звенигородський повітовий суд, м. Звенигородка Звенигородського повіту Київської губернії		2	2007
667	Кам'янський нотаріус А. Н. Доленго-Семеновський, м. Кам'янка Чигиринського повіту Київської губернії	1901-1907	1	26
668	Канівський нотаріус З. І. Краковецький, м. Канів Канівського повіту Київської губернії	1888-1888	1	3
669	Канівський нотаріус І. Д. Йошковський, м. Канів Канівського повіту Київської губернії	1882-1887	1	14
670	Канівський нотаріус В. Н. Брусенцов, м. Канів Канівського повіту Київської губернії	1888-1889	1	5
671	Канівський нотаріус Ф. А. Цвєтковський, м. Канів Канівського повіту Київської губернії	1892-1911	1	63
672	Канівський нотаріус К. В. Роговський, м. Канів Канівського повіту Київської губернії	1891-1892	1	6
674	Корсунський нотаріус К. Ф. Григорьєв, м. Корсунь Канівського повіту Київської губернії	1892-1895	1	11
675	Корсунський нотаріус А. Н. Доленго-Семеновський, м. Корсунь Канівського повіту Київської губернії	1896-1901	1	17
676	Корсунський нотаріус Н. Н. Ольховський, м. Корсунь Канівського повіту Київської губернії	1902-1910	1	34
677	Смілянський нотаріус В. П. Павлушенко, м. Сміла Черкаського повіту Київської губернії	1880-1911	1	97
678	Чигиринський нотаріус К. К. Ільгевич, м. Чигирин Чигиринського повіту Київської губернії	1881-1897	1	48
679	Чигиринський нотаріус В. А. Вдзеконський, м. Чигирин Чигиринського повіту Київської губернії	1897-1901	2	43
680	Черкаський нотаріус І. А. Вікторов, м. Черкаси Черкаського повіту Київської губернії	1880-1890	1	36
681	Черкаський нотаріус П. М. Дашкевич, м. Черкаси Черкаського повіту Київської губернії	1891-1892	1	6
682	Черкаський нотаріус В. М. Попов, м. Черкаси Черкаського повіту Київської губернії	1890-1891	1	4
683	Черкаський нотаріус П. С. Гуляніцький, м. Черкаси Черкаського повіту Київської губернії	1892-1908	1	70
684	Черкаський нотаріус Н. П. Братков, м. Черкаси Черкаського повіту Київської губернії	1901-1909	1	35
685	Кам'янський нотаріус М. М. Редчіц, м. Кам'янка Чигиринського повіту Київської губернії	1907-1910	1	20
687	Звенигородська повітова у справах про вибори у 3-ю Державну думу комісія, м. Звенигородка Київської губернії		2	22
688	Чигиринська повітова у справах про вибори у Державну Думу комісія, м. Чигирин Київської губернії		1	3
689	Черкаська повітова у справах про вибори у Державну Думу комісія, м. Черкаси Київської губернії		1	3
690	Звенигородська повітова у справах про вибори у Державну Думу комісія, м. Звенигородка Київської губернії		1	3
691	Товариш прокурора Київського окружного суду по Чигиринській дільниці, м. Чигирин Київської губернії	1877-1910	1	19
692	Товариш прокурора Київського окружного суду по Черкаській дільниці, м. Черкаси Київської губернії		1	24
693	Товариш прокурора Київського окружного суду по Канівській дільниці, м. Канів Канівського повіту Київської губернії		1	27
698	Черкаська повітова у справах про вибори в 2-у Державну Думу комісія, м. Черкаси Київської губернії		1	2
700	Черкаська повітова у справах про вибори в 4-у Державну Думу комісія, м. Черкаси Київської губернії		1	46
702	Черкаське повітове рекрутське присутствіє, м. Черкаси Київської губернії		1	9
703	Звенигородське повітове рекрутське присутствіє, м. Звенигородка Київської губернії		1	13
708	Уманські повітові у справах про вибори в 2-у і 4-у Державні Думи комісії, м. Умань Київської губернії		1	3
712	Черкаський повітовий землемір, м. Черкаси Черкаського повіту Київської губернії		1	251
717	Мировий посередник 1-ї дільниці Черкаського повіту, м. Черкаси Київської губернії		2	1509
718	Мировий посередник 2-ї дільниці Черкаського повіту, м-ко Городище Черкаського повіту Київської губернії		3	538
722	Мировий посередник 1-ї дільниці Звенигородського повіту, м. Звенигородка Звенигородського повіту Київської губернії	1895-1896	1	3
726	Катеринопільська міщанська управа, м. Катеринопіль Звенигородського повіту Київської губернії	1909-1911	1	22
727	Звенигородська міщанська управа	1909-1915	1	10
728	Стеблівська міщанська управа, м-ко Стеблів Канівського повіту Київської	1909-1914	1	16
729	Таганчанська міщанська управа, м-ко Таганча Канівського повіту Київської губернії	1908-1914	1	23
730	Смілянська міщанська управа, м. Сміла Київської губернії		1	1
731	Уманська міщанська управа, м. Умань Київської губернії		1	10
732	Тальнівська міщанська управа, м-ко Тальне Уманського повіту Київської губернії	1908-1915	1	18
733	Вільшанська міщанська управа, м-ко Вільшана Звенигородського повіту Київської губернії		1	24
734	Худяківська міщанська управа, м-ко Худяки Черкаського повіту Київської губернії		1	20
735	Канівська міщанська управа		1	8
736	Орловецька міщанська управа, с. Орловець Черкаського повіту Київської губернії	1903-1910	1	34
737	Жаботинська міщанська управа, м-ко Жаботин Черкаського повіту Київської губернії		1	11
738	Матусівська міщанська управа, м-ко Матусів Черкаського повіту Київської	1909-1915	1	13
739	В'язівська міщанська управа, м-ко В'язівок Черкаського повіту Київської губернії	1908-1911	1	16
740	Межиріцька міщанська управа, м-ко Межиріч Черкаського повіту Київської губернії		1	10
741	Мошенська міщанська управа, м-ко Мошни Черкаського повіту Київської губернії	1909-1909	1	5
743	Канівська повітова у справах про вибори в 2-у Державну Думу комісія, м. Канів Київської губернії		1	12
744	Канівська повітова у справах про вибори в 1-у Державну Думу комісія, м. Канів Київської губернії		1	31
745	Канівська повітова у справах про вибори в 3-ю Державну Думу комісія, м. Канів Київської губернії		1	26
747	Чигиринська повітова у справах про вибори в 1-у Державну Думу комісія, м. Чигирин Київської губернії		1	40
748	Чигиринська повітова у справах про вибори в 2-у Державну Думу комісія, м. Чигирин Київської губернії		1	23
749	Чигиринська повітова у справах про вибори у 3-ю Державну Думу комісія, м. Чигирин Київської губернії		1	20
750	Чигиринська повітова у справах про вибори у 4-у Державну Думу комісія, м. Чигирин Київської губернії		1	14
751	Звенигородська повітова у справах про вибори до 1-ої Державної Думи комісія, м. Звенигородка Київської губернії		1	10
767	Черкаський міський нотаріус, м. Черкаси Київської губернії	1891-1891	1	1
771	Черкаський земський суд	1795-1859	1	12
773	Уманський земський суд, м. Умань Київської губернії	1795-1836	1	6
774	Канівський земський (повітовий) суд, м. Канів Київської губернії		1	13
777	Уманський повітовий земський суд, м. Умань Київської губернії		4	58
793	Кропивнянська сільська розправа, с. Кропивна Золотоніського повіту Полтавської губернії	1846-1848	1	3
795	Телепинське міщанське управління, м-ко Телепине Чигиринського повіту Київської губернії		1	12
796	Криловська міщанська управа, м-ко Крилов Чигиринського повіту Київської губернії	1904-1909	1	8
798	Чигиринська міщанська управа		1	12
801	Медведівська міщанська управа, м-ко Медведівка Чигиринського повіту Київської губернії	1908-1911	1	16
Р2262	Народний суд 11-ої дільниці Золотоніського округу Полтавської губернії		1	1
803	Мельниківська сільська розправа, с. Мельники Золотоніського повіту Полтавської губернії	1845-1860	1	19
804	Вереміївська сільська розправа, с. Вереміївка Золотоніського повіту Полтавської губернії	1841-1860	1	17
809	Черкаська міська гімназія	1911-1911	1	3
810	Черкаська повітова землевпорядна комісія, м. Черкаси Черкаського повіту Київської губернії	1911-1915	1	4
817	Чигиринська дворянська опіка, м. Чигирин Чигиринського повіту Київської губернії		3	367
820	Буртянська міщанська управа, м-ко Бурти Черкаського повіту Київської губернії		1	7
829	Колекція. Плани земель Суботівського фільварку і Кудрявцева Івана Панасовича	1817-1912	1	1
832	Черкаський повітовий суд, м. Черкаси Черкаського повіту Київської губернії		2	819
833	Уманський повітовий суд, м. Умань Уманського повіту Київської губернії		3	1821
834	Звенигородський городовий магістрат, м. Звенигородка Звенигородського повіту Київської губернії		1	282
841	Чигиринський городовий магістрат, м. Чигирин Київської губернії		3	19
842	Мокрокалигірська міщанська управа, м-ко Мокра Калигірка Звенигородського повіту Київської губернії		1	22
843	Городищенська міщанська управа, м-ко Городище Черкаського повіту Київської губернії		1	22
845	Лисянська міщанська управа		1	17
846	Жашківська міщанська управа		1	14
847	Уманська повітова харчова управа Уманського повітового продовольчого комітету, м. Умань Уманського повіту Київської губернії		1	67
848	Монастирищенська міщанська управа, м-ко Монастирище Липовецького повіту Київської губернії		1	11
849	Корсунська міщанська управа, м-ко Корсунь Канівського повіту Київської губернії		1	16
850	Ротмистрівська міщанська управа, м-ко Ротмистрівка Черкаського повіту Київської губернії		1	20
851	Іваньківська міщанська управа, м-ко Іваньки Уманського повіту Київської губернії		1	22
852	Рижанівська міщанська управа Звенигородського повіту		1	13
854	Шполянська міщанська управа, м-ко Шпола Звенигородського повіту Київської губернії	1909-1914	1	9
858	Звенигородське повітове в чиншових справах присутствіє, м. Звенигородка Звенигородського повіту Київської губернії		1	24
860	Кам'янський нотаріус Н. Н. Жмакін, м. Кам'янка Чигиринського повіту Київської губернії	1896-1901	1	19
861	Чигиринський нотаріус А. Ф. Школьний, м. Чигирин Київської губернії	1903-1909	1	23
862	Чигиринський нотаріус І. І. Пітч, м. Чигирин Київської губернії	1901-1902	1	5
870	Канівський міський магістрат, м. Канів Канівського повіту Київської губернії		2	356
874	Уманська чоловіча гімназія	1905-1905	1	30
877	Дубівська міщанська управа Уманського повіту		1	3
