262	Євпаторійська єврейська синагога, м. Євпаторія, Таврійської губернії	1855-1864	1	12
17	Сімферопольський повітовий суд, м. Сімферополь Таврійської губернії губернії		4	0
НЕВІДОМИЙ2	НЕВІДОМИЙ2		6	274
20	Перекопський повітовий суд, м. Перекоп Таврійської губернії		2	0
1	Керченська міська державна ощадна каса №427, м. Керч Таврійської губернії		1	0
2	Ялтинське повітове поліцейське управління, м. Ялта Таврійської губернії		2	0
4	Таврійська обласна верхня розправа, м. Сімферополь Таврійської області		2	0
5	Сімферопольська повітова нижня розправа, м. Сімферополь Таврійської області		8	8
6	Феодосійська повітова нижня розправа, м. Феодосія Таврійської області		2	0
7	Таврійський обласний верхній земський суд, м. Сімферополь Таврійської області		2	0
8	Сімферопольський повітовий земський суд, м. Сімферополь Таврійської губернії		2	0
9	Феодосійський повітовий земський суд, м. Феодосія Таврійської губернії		1	6
10	Таврійський губернський совісний суд, м. Сімферополь Таврійської губернії		1	0
11	Таврійський губернський стряпчий казенних справ, м. Сімферополь Таврійської губернії		1	37
12	Таврійський губернський стряпчий карних справ, м. Сімферополь Таврійської губернії		1	0
13	Таврійський губернський прокурор, м. Сімферополь Таврійської губернії		2	0
14	Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії		2	1
15	Таврійська губернська палата карного суду, м. Сімферополь Таврійської губернії		3	0
16	Таврійська губернська палата цивільного та карного суду, м. Сімферополь Таврійської губернії		1	0
18	Євпаторійський повітовий суд, м. Євпаторія Таврійської губернії		2	0
21	Ялтинський повітовий суд, м. Ялта Таврійської губернії		1	0
22	Керченський міський комерційний суд, м. Керч Таврійської губернії		2	0
23	Слідча комісія, що створена для скасування зловживань по Таврійській губернії, м. Сімферополь Таврійської губернії		1	75
24	Комісія для розгляду спорів по землях і для визначення повинностей на Кримському півострові, м. Сімферополь Таврійської губернії		1	0
25	Старший нотаріус Сімферопольського окружного суду, м. Сімферополь Таврійської губернії		2	0
26	Таврійське губернське правління, м. Сімферополь Таврійської губернії		10	0
27	Таврійське губернське правління, м. Сімферополь Таврійської губернії		24	0
28	Таврійський обласний магістрат, м. Сімферополь Таврійської області		3	0
29	Перекопський міський магістрат, м. Перекоп Таврійської губернії		2	1
30	Книга записи актов гражданского состояния церквей	1878-1919	2	134
31	Євпаторійський міський магістрат, м. Євпаторія Таврійської губернії		1	1
32	Сімферопольський міський магістрат, м. Сімферополь Таврійської губернії		4	0
34	Підгородньо-Петровське волосне правління, с. Підгородньо-Петровське Сімферопольського повіту Таврійської губернії		2	0
35	Святогірське волосне правління, с. Святогіря Феодосійського повіту Таврійської губернії		3	0
36	Таврійський губернський піклувальний про тюрми комітет, м. Сімферополь Таврійської губернії		1	1
37	Таврійська губернська тюремна інспекція, м. Сімферополь Таврійської губернії		1	0
38	Попечительство над Сімферопольською міською арештантською ротою Таврійського губернського попечительського комітету про тюрми, м. Сімферополь Таврійської губернії		1	0
39	Таврійський губернський статистичний комітет, м. Сімферополь Таврійської губернії		1	0
40	Сімферопольська повітова комісія по виборах в Державну Думу, м. Сімферополь Таврійської губернії		1	0
41	Таврійське губернське присутствіе, м. Сімферополь Таврійської губернії		5	0
42	Таврійське губернське присутствіе по земських та міських справах, м. Сімферополь Таврійської губернії		3	3
43	Відділ по військовій повинності Військового міністерства Кримського крайового уряду, м. Сімферополь, Крим		3	0
44	Таврійське губернське по селянських справах присутствіє, м. Сімферополь Таврійської губернії		3	0
45	Канцелярія Феодосійського градоначальника, м. Феодосія Таврійської губернії		1	0
47	Акмечетьський каймаканський суд, м. Сімферополь Таврійської губернії		1	0
48	Сімферопольський міський лікарсько-поліцейський комітет, м. Сімферополь Таврійської губернії		1	0
49	Таврійське дворянське депутатське зібрання, м. Сімферополь Таврійської губернії		1	165
50	Сімферопольський повітовий предводитель дворянства, м. Сімферополь Таврійської губернії		1	0
142	Колекція метричних книг соборів, церков, синагог і мечетей Таврійської губернії	1800-1920	5	1388
259	Сімферопольська єврейська синагога, м. Сімферополь Таврійської губернії	1853-1863	1	77
263	Феодосійська єврейська синагога, м. Феодосія Таврійської губернії	1854-1862	1	36
264	Керченська єврейська синагога, м. Керч Таврійської губернії	1854-1862	1	19
265	Карасубазарська єврейська синагога, м. Карасубазар Таврійської губернії	1841-1863	1	72
266	Бахчисарайська єврейська синагога, м. Бахчисарай Таврійської губернії	1854-1862	1	51
488	Перекопська єврейська синагога, м. Перекоп Таврійської губернії	1860-1875	1	8
294			3	6
300			3	9
684			1	2
835			1	1
313			2	10
324			2	787
309			1	37
323			1	180
306			2	5
33	Колекція сенатських справ по Криму, м. Сімферополь Таврійської губернії		1	0
3	Феодосійське повітове поліцейське управління, м. Феодосія Таврійської губернії		1	30
19	Феодосійський повітовий суд, м. Феодосія Таврійської губернії		2	0
Б1	Видання архіву, покажчики, путівники, інші праці		0	0
133			1	1
3191			1	1
3241			1	1
73			1	1
199			1	1
311			1	8
3161			1	1
60			1	1
72			1	1
304			2	5
3171			1	1
253			1	1
297			2	3
646			1	12
219			1	1
67			1	1
270			1	1
2991			5	5
146			1	1
188			1	1
298			1	1
88			1	1
303			1	7
187			1	1
3231			1	1
66			1	1
599			1	3
151			1	1
305			1	4
123			1	1
302			1	5
54			1	1
143			1	1
248			1	1
117			1	1
108			1	1
118			1	1
56			1	1
116			1	1
87			1	1
65			1	1
125			1	1
301			1	4
312			1	5
161			1	1
357	Карасубазарська єврейська школа		0	0
512	Іоанно-Предтеченська церква, с. Біясали Сімферопольського повіту Таврійської губернії		0	0
662	Духовне правління єврейського молитовного будинку Алуштинського повіту		0	0
372	Мечеті Айтуганської волості, Сімферопольській повіт Таврійської губернії		1	162
371	Мечеті Зуйської волості, Сімферопольській повіт Таврійської губернії		1	49
107	Сімферопольське єврейське початкове чоловіче училище		1	1
