Р1301С			1	9
Р1302С			1	7
Р308С			1	11
Р249С			2	40
Р294			1	1
972			1	33
249С			2	19
2252			2	148
1071			1	154
2246			2	315
1064			1	187
976			1	12
Р595			1	1
514	Цвітнянське волосне правління, с.Цвітне Чигиринського повіту Київської губернії	1862-1915	1	7
Р6773	Куцівська сільська рада та її виконавчий комітет, с.Куцівка Новгородківського району Кіровоградської області	1948-2019	0	0
184	Церква Преображення Господнього, с.Водяне Єлисаветградського повіту Херсонської губернії	1902-1919	1	4
185	Єлисаветградська синагога, м.Єлисаветград Єлисаветградського повіту Херсонської губернії	1853-1919	1	97
187	Рівнянський молитовний будинок, м-ко Рівне Єлисаветградського повіту Херсонської губернії	1917-1918	1	1
223	Завадовський І. І. – нотаріус, м.Єлисаветград Єлисаветградського повіту Херсонської губернії	1892-1909	1	76
Р6840	Відділ культури виконавчого комітету Підвисоцької районної ради депутатів трудящих, с.Підвисоке Підвисоцького району Кіровоградської області	1950-1959	0	0
583	Церква Святого Михаїла, с.Голикове Чигиринського повіту Кременчуцької губернії	1797-1920	1	13
705	Церква Святої Варвари, с.Новоархангельськ Єлисаветградського повіту Херсонської губернії	1876-1919	1	9
772	Церква Святого Михаїла, с.Куколівка Олександрійського повіту Кременчуцької губернії	1877-1922	1	17
7882	Регіональне відділення фонду державного майна України по Кіровоградській області, м.Кіровоград Кіровоградської області	1992-2019	0	0
7934	Служба у справах дітей Кіровоградської обласної державної адміністрації, м.Кіровоград Кіровоградської області	1999-2013	0	0
7962	Вільшанська районна державна адміністрація, смт Вільшанка Вільшанського району Кіровоградської області	1992-2020	0	0
7972	Бобринецька районна державна адміністрація, м.Бобринець Бобринецького району Кіровоградської області	1992-2020	0	0
663	Церква Святого Миколая, с.Косівка Олександрійського повіту Херсонської губернії	1876-1919	3	26
669	Церква Святого Михаїла, с. Новоархангельськ Первомайського повіту Одеської губернії	1876-1920	1	17
8039	Колективне сільськогосподарське підприємство "Полісся" Костянтинівської сільської ради, с.Бутівське Олександрійського району Кіровоградської області	1996-1998	0	0
692	Свято-Георгіївська церква, с.Велика Андрусівка Олександрійського повіту Кременчуцької губернії	1871-1920	3	25
Р4073	Колгосп "Більшовик" Староосотської сільської ради, с.Стара Осота Олександрівського району Кіровоградської області	1944-1950	1	0
284	Соловйов М. Т. – купець, м.Єлисаветград Єлисаветградського повіту Херсонської губернії	1910-1917	1	0
771	Свято-Георгіївська церква, с.Костянтинівка Олександрійського повіту Херсонської губернії	1881-1918	1	11
Р4074	Колгосп "Перше травня" Триліської сільської ради, с.Триліси Олександрівського району Кіровоградської області	1944-1949	1	0
439	Бобринецька державна поштово-телеграфна ощадна каса № 8, м.Бобринець Єлисаветградського повіту Херсонської губернії	1901-1920	1	4
8072	Олександрійська районна державна адміністрація, м.Олександрія Олександрійського району Кіровоградської області	1992-2016	0	0
8085	Компаніївська районна державна адміністрація, смт Компаніївка Компаніївського району Кіровоградської області	1992-2020	0	0
471	Робоча група Єлисаветградського військово-промислового комітету, м.Єлисаветград Єлисаветградського повіту Херсонської губернії	1916-1916	1	0
8111	Територіальні виборчі комісії по виборах до місцевих рад, селищних та сільських голів Новгородківського району, смт Новгородка Новгородківського району Кіровоградської області	2006-2017	0	0
