Р1301С	3		9
Р1302С	3		7
Р308С	5		11
Р249С	1		10
Р249С	2		30
Р294	1		1
972	1		33
249С	1		17
249С	2		2
2252	1		114
2252	2		34
1071	1		154
2246	1		216
2246	2		99
1064	1		187
976	1		12
Р595	1		1
514	1	Іменні списки селян волості.	7
184	1	Метричні книги реєстрації актів про народження, шлюб і смерть та сповідальні відомості.	4
185	1	Метричні книги реєстрації актів про народження, шлюб, розлучення та смерть по м. Єлисаветграду і Єлисаветградському повіту.	97
187	1	Опис 1	1
223	1	Реєстри нотаріальних дій. Документи про нотаріальні дії. Алфавітні реєстри справ.	76
583	1	1920 рр. Метричні книги реєстрації актів про народження, шлюб та смерть. Книги шлюбних обшуків. Річні відомості про обіг церковних коштів.	13
705	1	1902-1907, 1909-1910, 1914-1919 рр. Метричні книги реєстрації актів про народження, шлюб та смерть.	9
772	1	Метричні книги реєстрації актів про народження, шлюб та смерть.	17
663	ЛП1		1
663	Л1		1
663	1	Метричні книги реєстрації актів про народження, шлюб та смерть.	24
669	1	1918-1920 рр. Метричні книги реєстрації актів про народження, шлюб та смерть.	17
692	2	Опис 2	7
692	425		1
692	1	Метричні книги реєстрації актів про народження, шлюб та смерть.	17
Р4073	1	Розпорядження райвиконкому з питань виконання планів хлібозаготівлі та здачі державі сільськогосподарської продукції. Протоколи засідань правління колгоспу та загальних зборів колгоспників. Виробничі плани та звіти про роботу колгоспу. Бухгалтерські документи. Акт про збитки, нанесені господарству нацистськими окупантами.	0
284	1	Опис і характеристика коней кінного заводу М. Т. Соловйова. Листування з фінансово-господарських питань.	0
771	1	Метричні книги реєстрації актів про народження, шлюб та смерть.	11
Р4074	1	Розпорядження райвиконкому з питань проведення посівних кампаній, виконання планів хлібозаготівлі та здачі державі сільськогосподарської продукції. Протоколи засідань правління колгоспу та загальних зборів колгоспників. Виробничі плани та звіти про роботу колгоспу. Фінансово-бухгалтерські документи. Акт про збитки, нанесені господарству нацистськими окупантами.	0
439	1	Книги обліку особових рахунків вкладників.	4
471	1	Програма, резолюції ІІ Всеросійського з’їзду представників військово-промислових комітетів.	0
542	1	Покровська церква	0
Р48	1	Статут трудового колективу. Бухгалтерські документи. Документи з особового складу.	0
813	1	1906, 1908-1909 рр. Метричні книги реєстрації актів про народження, шлюб та смерть.	4
814	1	Метрична книга реєстрації актів про народження, шлюб та смерть.	2
1	1	Протоколи засідань заводського комітету та загальних зборів робітників заводу. Фінансово-бухгалтерські документи. Особові рахунки членів товариства та покупців. Списки робітників.	0
2	1	Фінансово-бухгалтерські документи заводу та складів товариства.	0
3	3	Опис 3	0
3	1	Балансова книга.	0
10	10	Опис 10	0
10	1	Фінансово-бухгалтерські документи.	0
11	1	Фінансово-бухгалтерські документи.	0
11	11	Опис 11	0
12	1	Розпорядження та циркуляри правління Московського об’єднаного банку. Фінансово-бухгалтерські документи. Облікові картки клієнтів. Списки службовців банку.	43
12	12	Опис 12	0
13	1	Протоколи засідань ради і загальних зборів товариства та правління ощадно-позичкової каси. Фінансово-бухгалтерські документи.	0
13	13	Опис 13	0
15	15	Опис 15	0
15	1	Протоколи загальних зборів службовців Єлисаветградського повітового земства (1917). Постанови зборів земських інструкторів (1917). Доповіді про роботу, фінансові звіти, баланси повітової земської каси. Звіти, баланси Єлисаветградського товариства споживачів. Програми обстежень основних установ дрібного кредиту (1905). Документи кредитних товариств повіту (статути, протоколи зборів, протоколи ревізій, звіти, баланси, акти, відомості, документи з особового складу, листування). Відомості про ціни на продаж землі (1909). Алфавітні списки вкладників (1912-1914).	0
16	16	Опис 16	0
16	1	Фінансово-бухгалтерські документи (книги обліку поточних рахунків, витрат та виданих позик).	0
17	17	Опис 17	0
17	1	Громадські вироки міщанського товариства. Бухгалтерські документи. Посімейні списки міщан. Книги реєстрації видачі паспортів і білетів.	8
18	18	Опис 18	0
18	1	Укази, накази та обіжники Імператора, Херсонського губернського правління. Розпорядження начальника штабу Новоросійських військових поселень (1847). Постанови та журнали засідань Єлисаветградської міської думи. Указ Імператора і листування зі штабом резервного кавалерійського корпусу про затвердження герба м. Єлисаветграда (18451846). Короткий історичний опис м. Єлисаветграда (1799). Справи із зарахування осіб до стану купців та міщан. Відомості про врожай, промислові підприємства і чисельність населення міста (1807), про ціни на продовольчі товари, про збори, які надійшли з міських ярмарок. Документи про виділення земельних ділянок під забудову. Окладні книги та книги обліку стягнення податків з купців, міщан, ремісників і робітників, записів зборів, відправлених до Херсонської казенної палати. Книги обліку надходження та витрат коштів міської думи, її військового відомства, а також обліку витрат церковних коштів. Книги видачі купцям і міщанам міста паспортів і свідоцтв (1841). Книги реєстрації осіб, бажаючих найнятися у рекрути, та гласних, які брали участь у засіданнях думи. Ревізькі казки купців, міщан, робітників, євреїв. Списки купців і міщан (1811), членів єврейського товариства (1841), євреїв-рекрутів, прийнятих на військову службу, почесних громадян міста. Алфавітні посімейні списки мешканців міста та відомості про їх громадський стан (1866). Алфавітні списки обліку рекрутів - членів єврейського товариства (1844) та міщан-християн (1849). Заяви громадян про виділення земельних ділянок і кредитів, про звільнення від рекрутського набору та заяви посадових осіб про звільнення з посад. Формулярні списки працівників поліції та сирітського суду (1807), відомості на видачу заробітної плати службовцям міської думи та працівникам поліції і сирітського суду (1815). Листування з питань відкриття міської лікарні (1823-1825), проведення рекрутських наборів, ремонту Преображенської церкви (1833), встановлення цін на продовольчі товари, підготовки відомостей про народонаселення міста (1846), виборів членів думи, розташування військових частин та з адміністративно-господарських питань.	576
19	19	Опис 19	0
19	1	Розпорядження начальника Департаменту військових поселень, штабу Новоросійських військових поселень, голови міської думи з питань будівництва і ремонту казенних і громадських будівель, доріг та облаштування вулиць міста. Журнал засідань будівельного комітету. Документи (кошториси, звіти, акти, заяви, рапорти) про проведення ремонтно-будівельних робіт. Відомості про оцінку казенних і громадських будівель та про продаж з публічних торгів казенних будівель фортеці м. Єлисаветграда. Креслення фасадів та схеми і плани розташування будівель. Списки жителів міста, яким було затверджено плани будівель та які отримали позику для будівництва. Листування з організаціями міста і приватними особами з питань виконання будівельно-ремонтних робіт.	0
20	20	Опис 20	0
