Р2064	****		0	0
Р2829	***		0	0
Р2926	****		0	0
Р2927	****		0	0
Р2928	****		0	0
1	Кам'янецький повітовий суд, м. Кам'янець-Подільський	1786-1872	1	2
2	Проскурівський повітовий суд, м. Проскурів Проскурівського повіту Подільської губернії	1796-1872	3	0
3	Ушицький повітовий суд, м. Нова Ушиця Ушицького повіту Подільської губернії	1796-1872	3	0
4	Летичівський повітовий суд, м. Летичів Летичівського повіту Подільської губернії	1796-1872	4	0
5	Мировий суддя 1-ї дільниці Кам'янецького судово-мирового округу, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1872-1910	1	1226
6	Мировий суддя 2-ї дільниці Кам'янецького судово-мирового округу, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1872-1918	1	1136
7	Мировий суддя 3-ї дільниці Кам'янецького судово-мирового округу, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1872-1918	2	706
8	Мировий суддя 4-ї дільниці Кам'янецького судово-мирового округу, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1872-1918	1	0
9	Мировий суддя 5-ї дільниці Кам'янецького судово-мирового округу, м-ко Маків Кам'янецького повіту Подільської губернії	1872-1920	1	0
10	Мировий суддя 6-ї дільниці Кам'янецького судово-мирового округу, м-ко Городок Кам'янецького повіту Подільської губернії	1872-1920	1	0
13	Мировий суддя 9-ї дільниці Кам'янецького судово-мирового округу, м-ко Городок Кам'янецького повіту Подільської губернії	1914-1917	1	0
17	Костьоли Подільської та Волинської губерній (колекція)	1739-1919	2	750
18	Церкви Подільської та Волинської губерній (колекція)	1769-1927	7	3174
20	Бережанський волосний суд, с. Бережанка Кам'янецького повіту Подільської губернії	1896-1916	1	0
21	Циківський волосний суд, с. Цикова Кам'янецького повіту Подільської губернії	1914-1917	2	0
25	Подільський губернський совісний суд,м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1796-1859	1	0
27	Ушицький міський магістрат, м. Нова Ушиця Ушицького повіту Подільської губернії	1796-1850	1	0
28	Летичівський міський магістрат, м. Летичів Летичівського повіту Подільської губернії	1796-1861	1	489
29	Проскурівський міський магістрат, м. Проскурів Проскурівського повіту Подільської губернії		1	296
30	Кам'янецький повітовий стряпчий, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1871-1872	1	0
31	Летичівський повітовий стряпчий, м. Летичів Летичівського повіту Подільської губернії	1824-1872	1	0
33	Подільська губернська шляхова та будівельна комісія, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1849-1861	1	0
34	Подільське губернське церковно-будівельне присутствіє, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1854-1894	1	0
35	Подільський губернський лісоохоронний комітет,м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1865-1918	1	1
36	Кам'янець-Подільське поховальне єврейське товариство, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії		1	64
37	Мировий посередник 2-ї дільниці Кам'янецького мирового округу, м-ко Лянцкорунь Кам'янецького повіту Подільської губернії	1873-1914	1	5
38	2-ге Кам'янецьке повітове в чиншових справах присутствіє, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1894-1895	1	0
39	Подільське губернське попечительство дитячих притулків, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1848-1907	1	0
40	Ушицька поштова контора, м. Нова Ушиця Ушицького повіту Подільської губернії	1860-1885	1	0
41	Кам'янець-Подільське залізничне поштове відділення, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1870-1915	1	0
44	Летичівський сирітський суд, м. Летичів Летичівського повіту Подільської губернії	1909-1912	1	0
45	Новоушицький сирітський суд, м. Нова Ушиця Ушицького повіту Подільської губернії	1878-1920	1	0
46	Подільська губернська землевпорядна комісія,м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1808-1916	1	4
47	Кам'янець-Подільське відділення Державного банку, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1861-1920	2	0
48	Проскурівський повітовий стряпчий, м. Проскурів Проскурівського повіту Подільської губернії	1814-1856	1	0
50	Мировий суддя 1-ї дільниці Ново-Ушицького судово-мирового округу, м. Нова Ушиця Ушицького повіту Подільської губернії	1895-1895	1	0
52	Проскурівська міська управа, м. Проскурів Проскурівського повіту Подільської губернії	1863-1917	1	78
54	Проскурівська міська дума, м. Проскурів Проскурівського повіту Подільської губернії	1849-1904	1	66
55	Летичівська чоловіча гімназія, м. Летичів Летичівського повіту Подільської губернії	1914-1919	1	0
56	Старокостянтинівське чоловіче вище початкове училище, м. Старокостянтинів Старокостянтинівського повіту Волинської губернії	1914-1919	1	3
57	Проскурівське Олексіївське реальне училище, м. Проскурів Проскурівського повіту Подільської губернії	1904-1920	1	37
58	Ушицьке лісництво, м. Нова Ушиця Ушицького повіту Подільської губернії	1902-1918	2	0
59	Подільське губернське відділення Московського комітету з надання благодійної допомоги родинам осіб, призваних на війну, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1914-1917	1	0
60	Подільський губернський прокурор, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1795-1880	2	38
61	Інспекція дрібного кредиту при Кам'янець-Подільському відділенні Державного банку, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1904-1917	1	0
62	Подільський губернський комітет у справах дрібного кредиту, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1904-1916	2	0
63	Кам'янець-Подільська художньо-реміснича навчальна майстерня, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1909-1918	1	29
64	Подільська духовна семінарія, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1817-1920	1	1
65	Кам'янець-Подільська Маріїнська жіноча гімназія, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1864-1919	1	539
66	Кам'янець-Подільське середнє 8-класне технічне училище, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1903-1920	1	1735
67	Дирекція народних училищ Подільської губернії, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1830-1917	1	716
68	Кам'янецьке повітове рекрутське присутствіє, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1869-1872	1	8
