Відділ запису актів громадянського стану (РАЦС) м. Луцьк Волинської області	Луцьк	-	Волинська
Амур-Нижньодніпровський РАЦС м. Дніпро	Дніпро	-	Дніпропетровська
Апостолівський РАЦС	Апостолове	-	Дніпропетровська
Васильківський РАЦС, Дніпропетровська обл.	Васильківка	-	Дніпропетровська
Верхньодніпровський РАЦС	Верхньодніпровськ	-	Дніпропетровська
Дніпровський районний РАЦС	Дніпро	-	Дніпропетровська
Заводський РАЦС м. Кам'янське	Кам'янське	-	Дніпропетровська
Криворізький районний РАЦС	Кривий Ріг	-	Дніпропетровська
Криничанський РАЦС	Кринички	-	Дніпропетровська
Магдалинівський РАЦС	Магдалинівка	-	Дніпропетровська
Марганецький РАЦС	Марганець	-	Дніпропетровська
Межівський РАЦС	Межова	-	Дніпропетровська
Металургійний (Дзержинський) РАЦС м. Кривий Ріг	Кривий Ріг	-	Дніпропетровська
Нікопольський міський РАЦС	Нікополь	-	Дніпропетровська
Нікопольський районний РАЦС	Нікополь	-	Дніпропетровська
Новокодацький (Ленінський) РАЦС м. Дніпро	Дніпро	-	Дніпропетровська
Павлоградський міський РАЦС	Павлоград	-	Дніпропетровська
Павлоградський районний РАЦС	Павлоград	-	Дніпропетровська
Петриківський РАЦС	Петриківка	-	Дніпропетровська
Петропавлівський РАЦС	Петропавлівка	-	Дніпропетровська
Покровський РАЦС	Покровське	-	Дніпропетровська
П'ятихатський РАЦС	П'ятихатки	-	Дніпропетровська
Саксаганський РАЦС	Кривий Ріг	-	Дніпропетровська
Самарівський (Новомосковський) районний РАЦС	Самар	Новомосковськ	Дніпропетровська
Синельниківський міський РАЦС	Синельникове	-	Дніпропетровська
Синельниківський районний РАЦС	Синельникове	-	Дніпропетровська
Солонянський РАЦС	Солоне	-	Дніпропетровська
Софіївський РАЦС	Софіївка	-	Дніпропетровська
Томаківський РАЦС	Томаківка	-	Дніпропетровська
Царичанський РАЦС	Царичанка	-	Дніпропетровська
Центральний (Кіровський) РАЦС м. Дніпро	Дніпро	-	Дніпропетровська
Юріївський РАЦС	Юр'ївка	-	Дніпропетровська
Білилівська сільська рада	Білилівка	-	Житомирська
Радомишльський РАЦС	Радомишль	-	Житомирська
Баришівський РАЦС	Баришівка	-	Київська
Березанський РАЦС	Березань	-	Київська
Білоцерківський РАЦС	Біла Церква	-	Київська
Богуславський РАЦС	Богуслав	-	Київська
Бориспільський РАЦС	Бориспіль	-	Київська
Бородянський РАЦС	Бородянка	-	Київська
Боярський РАЦС	Боярка	-	Київська
Броварський РАЦС	Бровари	-	Київська
Васильківський РАЦС, Київська обл.	Васильків	-	Київська
Вишгородський РАЦС	Вишгород	-	Київська
Володарський РАЦС	Володарка	-	Київська
Згурівський РАЦС	Згурівка	-	Київська
Іванківський РАЦС	Іванків	-	Київська
Ірпінський РАЦС	Ірпінь	-	Київська
Кагарлицький РАЦС	Кагарлик	-	Київська
Києво-Святошинський РАЦС	Київ	-	Київська
Макарівський РАЦС	Макарів	-	Київська
Миронівський РАЦС	Миронівка	-	Київська
Обухівський РАЦС	Обухів	-	Київська
Переяслав-Хмельницький РАЦС	Переяслав	-	Київська
Поліський РАЦС	Поліське	Красятичі	Київська
Рокитнянський РАЦС	Рокитне	-	Київська
Сквирський РАЦС	Сквира	-	Київська
Ставищенський РАЦС	Ставище	-	Київська
Таращанський РАЦС	Тараща	-	Київська
Тетіївський РАЦС	Тетіїв	-	Київська
Фастівський РАЦС	Фастів	-	Київська
Чорнобильський РАЦС	Чорнобиль	-	Київська
Яготинський РАЦС	Яготин	-	Київська
Новосілецька сільська рада	Новосілки Червоноградський район	-	Львівська
Мішково-Погорілівська сільська рада	Мішково-Погорілове	-	Миколаївська
РАЦС Балтського району	Балта	-	Одеська
Відділ записів актів громадянського стану (ЗАГС) при Полтавському бургомістраті, м. Полтава Полтавського гебіту (період німецько-фашистської окупації Полтавської обл.)	Полтава	-	Полтавська
Красилівський райвідділ ДРАЦС	Красилів	-	Хмельницька
Полонський райвідділ ДРАЦС	Полонне	-	Хмельницька
Хмельницький РАЦС	Хмельницький	-	Хмельницька
Безлюдівська селищна рада	Безлюдівка	-	Харківська
Борисівська сільська рада	Борисівка	-	Харківська
Будянська селищна рада	Буди	-	Харківська
Васищівська селищна рада	Васищеве	-	Харківська
Веселівська сільська рада	Веселе Харківський район	-	Харківська
Височанська селищна рада	Високий	-	Харківська
Коротичанська селищна рада	Коротич	-	Харківська
Лизогубівська селищна рада	Лизогубівка	-	Харківська
Липецька сільська рада	Липці	-	Харківська
Манченківська селищна рада	Манченки	-	Харківська
Нескучанська сільська рада	Нескучне Харківська	-	Харківська
Пісочинська селищна рада	Пісочин	-	Харківська
РАЦС Богодухівського району Харківської області	Богодухів	-	Харківська
РАЦС Кегичівського району Харківської області	Кегичівка	-	Харківська
РАЦС Краснокутського району Харківської області	Краснокутськ	-	Харківська
РАЦС Лозовського району Харківської області	Лозова	-	Харківська
РАЦС м. Харків	Харків	-	Харківська
РАЦС Сахновищенського району Харківської області	Сахновщина	-	Харківська
РАЦС с. Жихар Харківської області	Жихар	Жихор	Харківська
Р-Тишківська сільська рада	Руські Тишки	-	Харківська
Тернівська сільська рада	Тернова Харківський район	-	Харківська
Хорошівська селищна рада	Хорошеве	-	Харківська
Ч-Тишківська сільська рада	Черкаські Тишки	-	Харківська
Відділ РАЦС Козелецького РУЮ	Козелець	-	Чернігівська
Відділ реєстрації актів громадянського стану (РАГС) Прилуцького міського управління юстиції	Прилуки	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Бахмацького районного управління юстиції	Бахмач	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Бобровицького районного управління юстиції	Бобровиця	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Борзнянського районного управління юстиції	Борзна	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Варвинського районного управління юстиції	Варва	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Городнянського районного управління юстиції	Городня	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Ічнянського районного управління юстиції	Ічня	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Коропського районного управління юстиції Чернігівської області	Короп	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Куликівського районного управління юстиції	Куликівка	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Менського районного управління юстиції	Мена	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Ніжинського міського управління юстиції	Ніжин	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Ніжинського районного управління юстиції	Ніжин	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Новгород-Сіверського районного управління юстиції	Новгород-Сіверський	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Прилуцького районного управління юстиції	Прилуки	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Ріпкинського районного управління юстиції	Ріпки	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Семенівського районного управління юстиції	Семенівка Чернігівська	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Сосницького районного управління юстиції	Сосниця	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Срібнянського районного управління юстиції	Срібне	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Талалаївського районного управління юстиції	Талалаївка	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Чернігівського міського управління юстиції	Чернігів	-	Чернігівська
Відділ реєстрації актів цивільного стану (РАЦС) Чернігівського районного управління юстиції, м. Чернігів	Чернігів	-	Чернігівська
