Балаклавська Миколаївська церква	Балаклава
Балтське духовне правління	Балта
Брацлавська духовна консисторія	Брацлав
Брацлавське духовне правління	Брацлав
Вінницьке духовне правління	Вінниця
Волинська духовна консисторія	Житомир
Гайсинське духовне правління	Гайсин
Єврейська синагога Кременецького повіту	Кременець
Захарії-Єлизаветинська церква	Чорноморське
Іоано-Предтеченська церква удільного маєтку	Масандра
Києво-Подільська Воскресенська церква	Київ
Києво-Подільська Покровська церква	Київ
Київська Десятинна церква	Київ
Луцько-Житомирська римо-католицька духовна	Житомир
Мечеті Алуштинської волості	Алушта
Мечеті Байдарської волості	Орлине
Мечеті Зуйської волості	Зуя
Мечеті Перекопського повіту	Перекоп
Мечеті Феодосійського повіту	Феодосія
Митрофанівська церква боковий вівтар	Севастополь
Могилів-Подільське духовне правління	Могилів-Подільський
Ольгопільське духовне правління	Ольгопіль
Очаківська Свято-Миколаївська соборна церква	Очаків
Петропавлівська церква морського госпіталю	Севастополь
Подільська духовна консисторія	Кам'янець-Подільський
Подільська римо-католицька духовна консисторія	Кам'янець-Подільський
Полтавська духовна консисторія	Полтава
Путивльське духовне правління	Путивль
Роменське духовне правління	Ромни
Севастопольський адміралтейський собор	Севастополь
Херсонська духовна консисторія	Одеса
Херсонське духовне правління	Херсон
Церква Дунайської гребної флотилії	Ізмаїл
Церква Святих апостолів Петра та Павла	Севастополь
Черниговская духовная консистория	Чернігів
Ямпільське духовне правління	Ямпіль
