Бершадський	Бершадь
Брацлавський	Брацлав
Вінницький	Вінниця
Прокурор Вінницького	Вінниця
Старший нотаріус Вінницького	Вінниця
Гайсинський	Гайсин
Липовецький	Липовець
Мировий суддя 3-ї дільниці Липовецького	Липовець
Літинський	Літин
Судовий слідчий 2-ї дільниці Літинського	Літин
Махнівський повітовий земський суд	Махнівка
Мировий суддя 1-ї дільниці Вінницького	Браїлів
Мировий суддя 7-ї дільниці Гайсинського	Гайсин
Мировий суддя 9-ї дільниці Ямпільського	Ямпіль
Могилів-Подільський	Могилів-Подільський
Народний суд 3-ї дільниці Ольгопільського	Ольгопіль
Ольгопільський	Ольгопіль
Тульчинський	Тульчин
Ямпільський	Ямпіль
Горохівський	Горохів
Волинський губернський революційний трибунал	Житомир
Махнівський повітовий суд Брацлавського	Бердичів
Львівський	Львів
Польовий суд Львівського	Львів
Прокурор окружного суду у Львові	Львів
Спеціальний суд при Німецькому суді у Львові	Львів
Вознесенська	Вознесенськ
Вознесенський	Вознесенськ
Возсіятський	Возсіятське
Гур'ївський	Гур'ївка
Кисляківський	Кисляківка
Ландауський	Широколанівка
Миколаївський	Миколаїв
Новобузький	Новий Буг
Ольвіопольський	Первомайськ
Очаківський	Очаків
Балтський	Балта
Одеський	Одеса
Перший Одеський	Одеса
Прокурор Одеського	Одеса
Старший нотаріус Одеського	Одеса
Севастопольський	Севастополь
Бериславська	Берислав
Херсонський міський сирітський суд	Херсон
Народний суд 10-ї дільниці Шепетівського	Шепетівка
Народний суд 17-ї дільниці Шепетівського	Шепетівка
Народний суд 7-ї дільниці Шепетівського	Шепетівка
Народний суд 1-ї дільниці Ізяславського	Ізяслав
Народний суд 2-ї дільниці Ізяславського	Ізяслав
Народний суд 7-ї дільниці Ізяславського	Ізяслав
Народний суд 9-ї дільниці Ізяславського	Ізяслав
Народний суд Ізяславського району	Ізяслав
Чернігівська палата кримінального суду	Чернігів
Чернігівський генеральний суд	Чернігів
Народний суд 11-ої дільниці Золотоніського	Золотоноша
Судовий слідчий 3-ої дільниці Черкаського	Черкаси
Судовий слідчий Київського окружного суду 1-ої дільниці Черкаського	Черкаси
Судовий слідчий Київського окружного суду 2-ої дільниці Черкаського	Черкаси
Судовий слідчий Київського окружного суду 5-ої дільниці Черкаського	Черкаси
Черкаський земський суд	Черкаси
