Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії	Сімферополь	-
Феодосійський повітовий земський суд, м. Феодосія Таврійської губернії	Феодосія	-
Гайсинсько-Ольгопільський межовий апеляційний суд, м.Гайсин Гайсинськгого повіту Поділської губернії	Гайсин Гайсинськгого	Вінницька
Гайсинсько-Ольгопільський повітовий земський суд, м. Гайсин Гайсинського повіту Подільської губернії	Гайсин	Вінницька
Гайсинсько-Ольгопільський повітовий підкоморський суд, м. Гайсин Гайснського повіту Подільської губернії	Гайсин	Вінницька
Володимир-Волинський повітовий суд, м. Володимир-Волинськ Володимир-Волинського повіту Волинської губернії	Володимир-Волинськ Володимир-	Волинська
Горохівський гродський суд, м. Горохів Волинського воєводства	Горохів	Волинська
Луцький гродський суд, м. Луцьк Волинського воєводства	Луцьк	Волинська
Луцький окружний суд, м. Луцьк Волинського воєводства	Луцьк	Волинська
Сікорський Юзеф, окружний суддя, в. о. нотаріуса, м. Луцьк Волинського воєводства	Луцьк	Волинська
Скібіньський Станіслав, суддя, в. о. нотаріуса, м. Луцьк Волинського воєводства	Луцьк	Волинська
Судовий виконавець Луцького гродського суду 2-ої дільниці, м. Луцьк Волинського воєводства	Луцьк	Волинська
Бердичівський торгово-словесний суд. м. Бердичів Київської губернії	Бердичів	Житомирська
Волинська об'єднана палата кримінального і цивільного суду. м. Житомир Волинської губернії	Житомир	Житомирська
Волинська палата цивільного суду. м. Житомир Волинської губернії	Житомир	Житомирська
Волинський головний суд. м. Житомир Волинської губернії	Житомир	Житомирська
Волинський совісний суд. м. Житомир Волинської губернії	Житомир	Житомирська
Житомирський з'їздовий конкурсний суд. м. Житомир Волинської губернії	Житомир	Житомирська
Житомирський повітовий суд. м. Житомир Волинської губернії	Житомир	Житомирська
Краснопільський волосний суд с. Краснопіль Краснопільської волості Житомирського повіту Волинської губернії	Краснопіль	Житомирська
Мировий суддя 6-ї дільниці Житомирського судово-мирового округу. м-ко Чуднів Житомирського повіту	Чуднів	Житомирська
Мировий суддя 7-ї дільниці Житомирського судово-мирового округу. м-ко Черняхів Житомирського повіту	Черняхів	Житомирська
Мировий суддя 8-ї дільниці Житомирського судово-мирового округу. м-ко Янушпіль Житомирського повіту	Янушпіль	Житомирська
Народний суд 3-ї дільниці Овруцького району, м. Овруч	Овруч	Житомирська
Народний суд 4-ї ділянки Волинського судового округу с. Краснопіль Краснопільської волості Житомирського повіту Волинської губернії	Краснопіль	Житомирська
Новоград-Волинський повітовий суд. м. Новоград-Волинський Волинської губернії	Новоград-Волинський	Житомирська
Овруцький повітовий суд. м. Овруч Волинської губернії	Овруч	Житомирська
Радомисльський підкоморський суд. м. Радомисль Київської губернії	Радомисль	Житомирська
Радомисльський повітовий суд. м. Радомисль Київської губернії	Радомисль	Житомирська
Прокуратура Станіславського окружного суду, м. Станіслав Станіславського повіту Станіславського воєводства	Станіслав	Івано-Франківська
Станіславський окружний суд, м. Станіслав Станіславського повіту	Станіслав	Івано-Франківська
Станіславський окружний суд, м. Станіслав Станіславського повіту Станіславського воєводства	Станіслав	Івано-Франківська
Народний суд Сталінського району м. Києва	Києва	-
Васильківський нижній земський суд, м. Васильків Васильківського повіту Київської губернії	Васильків	Київська
Васильківський повітовий земський суд, м. Васильків Васильківського повіту Київської губернії	Васильків	Київська
Васильківський повітовий суд, м. Васильків Васильківського повіту Київської губернії	Васильків	Київська
Київський губернський революційний трибунал, м. Київ	Київ	Київська
Київський нижній земський суд, м. Київ	Київ	Київська
Київський окружний суд, м. Київ	Київ	Київська
Київський повітовий суд, м. Київ	Київ	Київська
Київський совісний суд, м. Київ	Київ	Київська
Нотаріальний відділ Київського обласного суду і Київська обласна нотаріальна контора, м. Київ	Київ	Київська
Прокурор Київського окружного суду, м. Київ	Київ	Київська
П'ятигірський повітовий суд, м-ко П'ятигори Таращанського повіту Київської губернії	П'ятигори	Київська
Сквирський повітовий суд, м. Сквира Сквирського повіту Київської губернії	Сквира	Київська
Старший нотаріус Київського окружного суду, м. Київ	Київ	Київська
