full_code,kind,files,inv_copies,inv_title,fond_title,sibling_invs
ДААРК-285-106,multi-outlier,1,0,"","",1
ДААРК-299-249,multi-outlier,1,0,"","",1 6 1488
ДААРК-299-1488,multi-outlier,1,0,"","",1 6 249
ДААРК-306-114,multi-outlier,1,0,"","",1
ДААРК-324-177,multi-outlier,1,0,"","",1
ДАВіО-799-146,multi-outlier,1,0,"",Брацлавське духовне правління,1
ДАВоО-193-153,multi-outlier,1,0,"","Володимир-Волинський деканат, м. Володимир-Волинськ Володимир-Волинського повіту",1 242
ДАВоО-193-242,multi-outlier,1,0,"","Володимир-Волинський деканат, м. Володимир-Волинськ Володимир-Волинського повіту",1 153
ДАВоО-22-290,multi-outlier,1,0,"","Луцький римсько-католицький деканат, м. Луцьк Луцького повіту Волинської губерні",1 297
ДАВоО-22-297,multi-outlier,1,0,"","Луцький римсько-католицький деканат, м. Луцьк Луцького повіту Волинської губерні",1 290
ДАВоО-382-341,multi-outlier,1,0,"","Луцька уніатська генеральна духовна консисторія, м. Луцьк Луцького повіту Волинс",1 2 3
ДАДнО-193-502,multi-outlier,1,0,"",Метричні книги церков Катеринославської губернії. Колекція,1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 516 586 593 598 1303 9549
ДАДнО-193-516,multi-outlier,1,0,"",Метричні книги церков Катеринославської губернії. Колекція,1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 586 593 598 1303 9549
ДАДнО-193-586,multi-outlier,1,0,"",Метричні книги церков Катеринославської губернії. Колекція,1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 516 593 598 1303 9549
ДАДнО-193-593,multi-outlier,1,0,"",Метричні книги церков Катеринославської губернії. Колекція,1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 516 586 598 1303 9549
ДАДнО-193-598,multi-outlier,1,0,"",Метричні книги церков Катеринославської губернії. Колекція,1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 516 586 593 1303 9549
