full_code,status,true_fond,files,evidence_before,evidence_after
ДАХО-104-105,exact,40,"233","оп. 110, спр. 21; 1851: ф. 40, оп. 105, спр. 226; 1852: ф. 40, оп. 105, спр. 229; 1852: ф. 40, оп. 105, спр. 230; 1853: ","ф. 40, оп. 105, спр. 233; 1854: ф. 40, оп. 105, спр. 235; 1855: ф. 40, оп. 105, спр. 236; 1856: ф. 40, оп. 105, спр. 238"
ДАХО-105-105,exact,40,"243","п. 105, спр. 235; 1855: ф. 40, оп. 105, спр. 236; 1856: ф. 40, оп. 105, спр. 238; 1857: ф. 40, оп. 105, спр. 240; 1858: ","ф. 40, оп. 105, спр. 243; 1859: ф. 40, оп. 105, спр. 252; 1860: ф. 40, оп. 105, спр. 250; 1861: ф. 40, оп. 105, спр. 256"
ДАХО-106-105,exact,40,"229",", оп. 110, спр. 20; 1848: ф. 40, оп. 110, спр. 72; 1848: ф. 40, оп. 110, спр. 21; 1851: ф. 40, оп. 105, спр. 226; 1852: ","ф. 40, оп. 105, спр. 229; 1852: ф. 40, оп. 105, спр. 230; 1853: ф. 40, оп. 105, спр. 233; 1854: ф. 40, оп. 105, спр. 235"
ДАХО-110-110,exact,40,"65","0, оп. 110, спр. 60; 1837: ф. 40, оп. 110, спр. 13; 1837: ф. 40, оп. 110, спр. 61; 1838: ф. 40, оп. 110, спр. 14; 1841: ","ф. 40, оп. 110, спр. 65; 1843: ф. 40, оп. 110, спр. 18; 1845: ф. 40, оп. 110, спр. 19а; 1847: ф. 40, оп. 110, спр. 20; 1"
ДАХО-112-110,exact,40,"72",", оп. 110, спр. 18; 1845: ф. 40, оп. 110, спр. 19а; 1847: ф. 40, оп. 110, спр. 20; 1848: ф. 40, оп. 110, спр. 21; 1848: ","ф. 40, оп. 110, спр. 72; 1851: ф. 40, оп. 105, спр. 226; 1852: ф. 40, оп. 105, спр. 230; 1853: ф. 40, оп. 105, спр. 233;"
ДАХО-115-105,exact,40,"228"," оп. 110, спр. 72; 1849: ф. 40, оп. 110, спр. 74; 1850: ф. 40, оп. 105, спр. 224; 1851: ф. 40, оп. 105, спр. 225; 1852: ","ф. 40, оп. 105, спр. 228; 1853: ф. 40, оп. 105, спр. 231; 1854: ф. 40, оп. 105, спр. 234; 1855: ф. 40, оп. 105, спр. 237"
ДАХО-123-110,exact,40,"20",", оп. 110, спр. 61; 1838: ф. 40, оп. 110, спр. 14; 1843: ф. 40, оп. 110, спр. 18; 1845: ф. 40, оп. 110, спр. 19а; 1847: ","ф. 40, оп. 110, спр. 20; 1848: ф. 40, оп. 110, спр. 21; 1851: ф. 40, оп. 105, спр. 226; 1852: ф. 40, оп. 105, спр. 229; "
ДАХО-124-110,exact,40,"60","0, оп. 110, спр. 53; 1830: ф. 40, оп. 110, спр. 54; 1834: ф. 40, оп. 110, спр. 17; 1835: ф. 40, оп. 110, спр. 12; 1836: ","ф. 40, оп. 110, спр. 60; 1837: ф. 40, оп. 110, спр. 13; 1837: ф. 40, оп. 110, спр. 61; 1838: ф. 40, оп. 110, спр. 62; 18"
ДАХО-127-105,exact,40,"279","п. 105, спр. 261; 1863: ф. 40, оп. 105, спр. 262; 1864: ф. 40, оп. 105, спр. 269; 1866: ф. 40, оп. 105, спр. 278; 1867: ","ф. 40, оп. 105, спр. 279; 1868: ф. 40, оп. 105, спр. 286; 1869: ф. 40, оп. 105, спр. 288; 1870: ф. 40, оп. 105, спр. 293"
ДАХО-129-105,exact,40,"274","п. 105, спр. 256; 1862: ф. 40, оп. 105, спр. 257; 1864: ф. 40, оп. 105, спр. 267; 1865: ф. 40, оп. 105, спр. 272; 1866: ","ф. 40, оп. 105, спр. 274; 1869: ф. 40, оп. 105, спр. 287; 1870: ф. 40, оп. 105, спр. 290; 1871: ф. 40, оп. 105, спр. 270"
