full_code,kind,files,title,sibling_codes
ГДАСБУ-2-261,outlier,0,Оперативні донесення та переписка з УНКВ Станіславської області,1 262 445
ГДАСБУ-2-262,outlier,0,Оперативні донесення та переписка з УНКВ Станіславської області,1 261 445
ГДАСБУ-2-445,outlier,0,Доповідні записки по Станіславській області,1 261 262
ДААРК-285-106,outlier,1,"",1
ДААРК-299-249,outlier,1,"",1 6 1488
ДААРК-299-1488,outlier,1,"",1 6 249
ДААРК-306-114,outlier,1,"",1
ДААРК-324-177,outlier,1,"",1
ДАВіО-799-146,outlier,1,"",1
ДАВоО-193-153,outlier,1,"",1 242
ДАВоО-193-242,outlier,1,"",1 153
ДАВоО-22-290,outlier,1,"",1 297
ДАВоО-22-297,outlier,1,"",1 290
ДАВоО-382-341,outlier,1,"",1 2 3
ДАДнО-193-502,outlier,1,"",1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 516 586 593 598 1303 9549
ДАДнО-193-516,outlier,1,"",1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 586 593 598 1303 9549
ДАДнО-193-586,outlier,1,"",1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 516 593 598 1303 9549
ДАДнО-193-593,outlier,1,"",1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 516 586 598 1303 9549
ДАДнО-193-598,outlier,1,"",1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 516 586 593 1303 9549
ДАДнО-193-1303,outlier,1,"",1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 516 586 593 598 9549
ДАДнО-193-9549,outlier,1,"",1 2 3 4 4ДОД 4Д 5 5Д 5ДОД 6 8 9 9ДОД 9Д 21 502 516 586 593 598 1303
ДАДоО-191-178,outlier,1,"",1
ДАДоО-193-180,outlier,1,"",1 5
ДАДоО-238-187,outlier,1,"",1
ДАДоО-260-156,outlier,1,"",1
ДАДоО-285-107,outlier,1,"",1
ДАДоО-307-110,outlier,1,"",1
