full_code,files,title,fond_title
ГДАСЗРУ-1-12617,1,"",""
ДААРК-3191-261,1,"",""
ДААРК-3231-148,1,"",""
ДААРК-3241-416,1,"",""
ДАДнО-1934-583,1,"",""
ДАДнО-34-726,1,"","Катеринославська повітова комісія народного продовольства, м. Катеринослав"
ДАЖО-1045-1049,1,"",""
ДАЖО-1090-1091,1,"",""
ДАЖО-157-158,1,"",""
ДАЖО-1595-1603,1,"",""
ДАЖО-1720-1727,1,"",""
ДАЖО-17851-334,1,"",""
ДАЖО-287-289,1,"",""
ДАЖО-7-1860,1,"",""
ДАЖО-768-1000,1,"",""
ДАЖО-87-1019,1,"",""
ДАКО-1172-373,0,"","Редакція журналу ""Военно-исторический вестник"" при Київському відділі Російськог"
ДАКО-Н2026-1941,0,Опис 1941,"Набоківська школа відділу освіти Городищенської районної управи, с. Набоків Горо"
ДАКО-П0-13584,0,"",Первинна організація Компартії України виконкому Клавдієвської селищної Ради нар
ДАКО-П10002-13304,0,"",Первинна організація Компартії України Українського науково-дослідного інституту
ДАКО-П10003-13305,0,"","Первинна організація Компартії України Київського міського молокозаводу № 2, Дар"
ДАКО-П10004-13306,0,"","Первинна організація Компартії України тресту «Київпідземшляхбуд» № 2, Дарницьки"
ДАКО-П10005-13307,0,Опис 13307,Первинна організація Компартії України Всесоюзного інституту виробництва хімічни
ДАКО-П10008-13308,0,"",Первинна організація Компартії України міського професійно-технічного училища № 
ДАКО-П10011-13309,0,"",Первинна організація Компартії України Київського механіко-металургійного технік
ДАКО-П10012-13310,0,"","Первинна організація Компартії України Київського медичного училища № 4, Дарниць"
ДАКО-П10013-13311,0,"","Первинна організація Компартії України тресту радгоспів, Дарницький район м. Киї"
ДАКО-П10019-13312,0,"","Первинна організація Компартії України автотранспортного підприємства № 09122, Д"
ДАКО-П10021-13313,0,"","Первинна організація Компартії України Київського радіомеханічного технікуму, Да"
ДАКО-П10025-13314,0,"",Первинна організація Компартії України інституту хімії високомолекулярних з'єдна
ДАКО-П10026-13315,0,"",Первинна організація Компартії України заводу вимірювальної апаратури «Буревісни
ДАКО-П10030-13319,0,"",Первинна організація Компартії України Українського республіканського тресту ліс
ДАКО-П10031-13320,0,"",Первинна організація КП України спеціалізованого будівельного управління № 19 «К
ДАКО-П10032-13321,0,Опис 13321,Первинна організація Компартії України Київського автотранспортного підприємства
ДАКО-П10034-13322,0,"","Первинна організація Компартії України тресту «Буддеталь», печерський район м. К"
ДАКО-П10035-13323,0,"",Первинна організація Компартії України проектно-дослідного і конструкторського-т
