level,group,archive,fond,inventory,file_code,codes_range,files_n,copies_n,title,counterpart,counterpart_title,note
inventory,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,,1–15,15,15,"Колекція актів реєстрації цивільного стану відділу державної реєстрації актів цивільного стану Покровського району, Дніпропетровської області",10ДОД,,"all 15 files duplicate base 10ДОД by code AND title, each carries 1 copy; merge_to was REJECTED in /editor 2026-07-26 — confirm keep, or merge (re-point copies, delete)"
inventory,D2-genuine-chastyna,ДАСО,Р7720,18ЧАСТ2,,1–503,503,503,Алфавітні журнали,18,Алфавітні журнали РАЦС…,numbering restarts at 1; only 13/503 titles match base-18 same-code rows; own 503 FS copies; wiki twin 18Ч2 deleted 2026-07-31; folding by code would corrupt — keep as separate опис or map manually
inventory,D3-continuation,ДАХеО,Р471,1ЧАСТ,,2385–2820,217,0,,1 (codes 3–2384),,exact continuation of опис 1: zero code overlap — can merge collision-free into base 1 (like ДАЛО томи) if desired
inventory,D4-blank-shell,ДАОО,Р16,124ЧАСТ2,,17548–17563,2,0,,124 (absent),,"2 blank-title files, 0 copies, base опис 124 does not exist — likely junk shells; delete or investigate origin"
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,1,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-1,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,2,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-2,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,3,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-3,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,4,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-4,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,5,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-5,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,6,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-6,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,7,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-7,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,8,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-8,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,9,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-9,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,10,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-10,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,11,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-11,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,12,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-12,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
