kind,level,ref,detail
sequence-gap,fund,ДАІФО,"2494 missing in 2..2521: 3-5,10-11,13-25,28-225,227-228,232-238,240-248,250-259,261-294,296-512,514-564,566-593,595-630,632-776,778-1417,1419-1517,1519-1558,1560-2156,2158-2520"
sequence-gap,description,ДАІФО-2,"11 missing in 1..14: 2-10,12-13"
sequence-gap,case,ДАІФО-27-1,"237 missing in 209..806: 295-395,397-422,424-440,442-481,483-533,544,589"
sequence-gap,case,ДАІФО-631-6,1 missing in 1..24: 4
sequence-gap,case,ДАІФО-631-7,1 missing in 1..113: 63
sequence-gap,case,ДАІФО-631-8,1 missing in 1..246: 64
sequence-gap,case,ДАІФО-631-9,101 missing in 1..171: 70-170
sequence-gap,case,ДАІФО-631-10,"29 missing in 1..62: 32-36,38-61"
sequence-gap,case,ДАІФО-631-13,"252 missing in 1..269: 6-18,21-166,170-191,193-218,221-222,225-265,267-268"
sequence-gap,case,ДАІФО-631-12,"490 missing in 1..698: 49,170,210-697"
sequence-gap,case,ДАІФО-631-14,"372 missing in 1..485: 3-25,27-68,70-155,157-216,218-235,237-245,250-251,262-263,279,281,283,285,297-359,361,363,365-366,369,371-392,400-404,407-408,…"
sequence-gap,case,ДАІФО-6-2,"477 missing in 20..639: 23-34,46-67,73-106,108-133,144-163,178-205,217-239,249-282,291-327,334-358,366-391,397-415,420-422,424-440,442-450,457-481,483,490-504,511-524,535-545,…"
sequence-gap,case,ДАІФО-7-1,"224 missing in 54..287: 55-74,76-139,141-280"
sequence-gap,case,ДАІФО-9-1,"52 missing in 75..144: 76-95,97-104,107,109-121,125-134"
sequence-gap,case,ДАІФО-260-1,"113 missing in 20..154: 21-34,36-38,40-43,45-64,66-71,73-76,78-88,100-106,108-130,132-148,150-153"
sequence-gap,case,ДАІФО-Р2157-2,"51459 missing in 3767..58380: 3768,3770-3774,3777-3788,3790-3796,3798-3800,3802-3809,3811-3814,3826-3827,3837,3842,3845-3847,3852,3854,3856,3865,3868,3877,3880,3888,3891-3895,…"
sequence-gap,case,ДАІФО-229-1,"48 missing in 29..496: 58,105-131,133,146-153,155,159,162,181-182,193,199,201,264,314-315"
sequence-gap,case,ДАІФО-239-1,"239 missing in 1..315: 29-57,59-104,132,134-145,154,156-158,160-161,163-180,183-192,194-198,200,202-263,265-313"
sequence-gap,case,ДАІФО-230-2,"154 missing in 254..1638: 336,514-597,624-629,738-784,909,994-999,1105,1256,1319,1384,1511,1529,1540,1555,1593"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007789829,"parsed ""ДАІФО-(Volume 631-1/348 (cont; Volume 631-1/349; Volume 631-1/350; Volume 631-1/351; Volume 631-1/352; Volume 631-1/353; Volume 631-1/354; Volume 631-1/355; Volume 631-1/356+++Volume 631-1/348 (cont+++)"" does not single out one of 9 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007802656,"parsed ""ДАІФО-(Volume 513-1/27 (cont; Volume 513-1/54; Volume 513-1/55; Volume 513-1/68; Volume 513-1/70; Volume 513-1/71+++Volume 513-1/27 (cont+++)"" does not single out one of 6 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007802648,"parsed ""ДАІФО-(Volume 631-2/93; Volume 631-2/94; Volume 631-2/95; Volume 631-2/96; Volume 631-2/97; Volume 631-2/98; Volume 631-2/99+++Volume 631-2/93+++)"" does not single out one of 7 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803698,"parsed ""ДАІФО-(Volume 631-2/18; Volume 631-2/19; Volume 631-2/20; Volume 631-2/21; Volume 631-2/22+++Volume 631-2/18+++)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803696,"parsed ""ДАІФО-(Volume 631-3/7 (cont; Volume 631-3/8; Volume 631-3/9+++Volume 631-3/7 (cont+++)"" does not single out one of 3 candidate files"
