kind,level,ref,detail
junk-code,fund,ДААРК/НЕВІДОМИЙ,"irregular shape, migrated as ""НЕВІДОМИЙ"""
junk-code,fund,ДААРК/НЕВІДОМИЙ2,"irregular shape, migrated as ""НЕВІДОМИЙ2"""
junk-code,fund,ДААРК/ВИДАННЯ,"irregular shape, migrated as ""ВИДАННЯ"""
junk-code,fund,ДААРК/НН,"irregular shape, migrated as ""НН"""
sequence-gap,fund,ДААРК,"1321 missing in 1..1420: 46,51-141,143-258,260-261,267,269-270,272-275,278-283,285-292,295,297-298,301-305,307-308,310-312,314-315,322,325-369,373-413,415-487,489-560,…"
sequence-gap,description,ДААРК-НН2,1 missing in 1..4: 2
sequence-gap,case,ДААРК-НЕВІДОМИЙ2-1,"2807 missing in 1..2931: 4-9,17-18,20-22,24-27,29-33,36-45,47,49-141,148-294,313,328,384-1021,1023-2137,2150-2930"
sequence-gap,case,ДААРК-НЕВІДОМИЙ2-3,"2388 missing in 170..2604: 171,173,175,181-1125,1127-2565,2585"
sequence-gap,case,ДААРК-НЕВІДОМИЙ2-4,"2836 missing in 63..2932: 64-113,115-180,190-2905,2907-2910"
sequence-gap,case,ДААРК-НЕВІДОМИЙ2-2,"1722 missing in 24..1769: 25-158,168,170-1139,1141-1757"
sequence-gap,case,ДААРК-НЕВІДОМИЙ2-5,"13 missing in 98..139: 99-106,108,111-113,115"
sequence-gap,case,ДААРК-НЕВІДОМИЙ2-6,"7 missing in 2..18: 3,6-8,10,16-17"
sequence-gap,case,ДААРК-30-1,1 missing in 1..133: 55
sequence-gap,case,ДААРК-49-1,"6538 missing in 1..6697: 134-6589,6592-6595,6598-6604,6606-6614,6616-6618,6620-6624,6626-6631,6633-6636,6638-6640,6642-6643,6645,6647-6650,6652-6653,6655-6657,6659-6660,6662-6665,6667-6668,6670-6671,6673-6678,6680-6681,…"
sequence-gap,case,ДААРК-142-1,"1280 missing in 1..2145: 5,11,35,37,71,110,157,213,237,242,333,389,467,469,728,739,770,807,821,849,…"
sequence-gap,case,ДААРК-142-3,"2537 missing in 1..2578: 38-2573,2576"
sequence-gap,case,ДААРК-142-4,845 missing in 109..961: 115-959
sequence-gap,case,ДААРК-264-1,12 missing in 1..31: 19-30
sequence-gap,case,ДААРК-266-1,1 missing in 1..51: 8
sequence-gap,case,ДААРК-1420-1,"453 missing in 329..792: 330-333,339-769,771-787,791"
sequence-gap,case,ДААРК-414-1,1 missing in 1..83: 17
sequence-gap,case,ДААРК-669-1,2 missing in 1..104: 81-82
sequence-gap,case,ДААРК-319-1,1 missing in 1..253: 13
sequence-gap,case,ДААРК-370-1,11 missing in 3..332: 13-23
sequence-gap,case,ДААРК-293-1,"15 missing in 40..315: 87-96,194,206,224-226"
sequence-gap,case,ДААРК-372-1,1 missing in 1..163: 138
sequence-gap,case,ДААРК-299-1,"36 missing in 1..870: 326-359,576,597"
sequence-gap,case,ДААРК-316-1,5 missing in 1..60: 36-40
sequence-gap,case,ДААРК-321-1,1 missing in 108..1224: 225
sequence-gap,case,ДААРК-323-1,1 missing in 1..179: 144
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801212,"parsed ""ДААРК-(Volume 324-1/71-186 Duvankoy volost, Simferopol district+++Volume 324-1/71-186 Duvankoy volost, Simferopol district+++)"" does not single out one of 116 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801168,"parsed ""ДААРК-(Volume 299-1/141-359 Alushta volost, Yalta district+++Volume 299-1/141-359 Alushta volost, Yalta district+++)"" does not single out one of 191 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801242,"parsed ""ДААРК-(Volume 264-1; Volume 264-1/17; Volume 264-1/5; Volume 265-1/1-31+++Volume 264-1+++)"" does not single out one of 59 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801171,"parsed ""ДААРК-(Volume 299-1/827-870 Alushta volost, Yalta district+++Volume 299-1/827-870 Alushta volost, Yalta district+++)"" does not single out one of 49 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801199,"parsed ""ДААРК-(Volume 321-1/108-201 Bakchisaray city+++Volume 321-1/108-201 Bakchisaray city+++)"" does not single out one of 117 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007802603,"parsed ""ДААРК-(Volume 49-1/20-133 (lacunae) Papers+++Volume 49-1/20-133 (lacunae) Papers+++)"" does not single out one of 71 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801267,"parsed ""ДААРК-(Volume 669-1/85-104 Alushta city; Volume 670-1/1-57 Autka city; Volume 684-1/1 Korbek city+++Volume 669-1/85-104 Alushta city+++)"" does not single out one of 78 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801004,"parsed ""ДААРК-(1420-1-386; 1420-1-387; 1420-1-388+++1420-1-386+++1420-1-386_1906-1907 
1420-1-387_1896 
1420-1-388_1896)"" does not single out one of 3 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801218,"parsed ""ДААРК-(Volume 324-1/520-656 Duvankoy volost, Simferopol district+++Volume 324-1/520-656 Duvankoy volost, Simferopol district+++)"" does not single out one of 137 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801237,"parsed ""ДААРК-(Volume 371-1/44-49 Zuya volost, Simferopol district; Volume 372-1/1-104 Aytugan volost, Simferopol district+++Volume 371-1/44-49 Zuya volost, Simferopol district+++)"" does not single out one of 116 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801161,"parsed ""ДААРК-(Volume 293-1/224-315 Uzen-Bash volost, Yalta district+++Volume 293-1/224-315 Uzen-Bash volost, Yalta district+++)"" does not single out one of 89 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007800911,"parsed ""ДААРК-(Volume 142-1/60 (cont; Volume 142-1/62; Volume 142-1/63+++Volume 142-1/60 (cont+++)"" does not single out one of 6 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801217,"parsed ""ДААРК-(Volume 324-1/405-520 Duvankoy volost, Simferopol district+++Volume 324-1/405-520 Duvankoy volost, Simferopol district+++)"" does not single out one of 116 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801246,"parsed ""ДААРК-(vol.), 1866+++vol.), 1866+++)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801169,"parsed ""ДААРК-(Volume 299-1/360-617 Alushta volost, Yalta district+++Volume 299-1/360-617 Alushta volost, Yalta district+++)"" does not single out one of 256 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801236,"parsed ""ДААРК-(Volume 370-1/264-332 Mangush volost, Simferopol district; Volume 371-1/1-43 Zuya volost, Simferopol district+++Volume 370-1/264-332 Mangush volost, Simferopol district+++)"" does not single out one of 112 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801262,"parsed ""ДААРК-(Volume 608-1/1-37 Tavrida province+++Volume 608-1/1-37 Tavrida province+++)"" does not single out one of 47 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801210,"parsed ""ДААРК-(Volume 323-1/145-179 Karasubazar city+++Volume 323-1/145-179 Karasubazar city+++)"" does not single out one of 35 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801195,"parsed ""ДААРК-(Volume 319-1/142-253 Feodosiya district+++Volume 319-1/142-253 Feodosiya district+++)"" does not single out one of 111 candidate files"
