kind,level,ref,detail
sequence-gap,fund,ДАВоО,"4240 missing in 1..4666: 5,9-11,23,28,32,50,53,61,64,80,97-110,113-114,116-117,119,121-122,124,127-128,131,133,135-136,…"
sequence-gap,description,ДАВоО-20,"13 missing in 1..16: 2-9,11-15"
sequence-gap,case,ДАВоО-297-1,"4 missing in 1..200: 30-31,132,197"
sequence-gap,case,ДАВоО-3-1,"12 missing in 1..896: 2,83,551,764,768-769,779,793,843,845,849,851"
sequence-gap,case,ДАВоО-21-1,1 missing in 1..100: 42
sequence-gap,case,ДАВоО-22-1,"240 missing in 1..317: 3-46,48-84,86-119,121,123-126,128-136,138-140,142,144-149,152-158,162,167-181,183-187,190-193,195-196,198-199,202-205,209-213,215,217-228,…"
sequence-gap,case,ДАВоО-33-1,"1273 missing in 1..1298: 2-82,84-143,145-541,543-584,587-612,615-659,662-706,708,710-714,716,719-759,765-767,770-823,825,827-1297"
sequence-gap,case,ДАВоО-35-1,"11482 missing in 1..11935: 14,20,28,51,63,86,88,103,317,319-322,345-346,371,381,389,456,467,469-472,476-11930,11932-11934"
sequence-gap,case,ДАВоО-35-10,"64194 missing in 1..64370: 2-3,33,37,44,47-48,50,69,85,120,122,127,132,137,140-141,143,146,150-152,159-161,163-166,170,…"
sequence-gap,case,ДАВоО-35-8,3 missing in 1..30: 21-23
sequence-gap,case,ДАВоО-35-2,"15418 missing in 1..16767: 179,1051,1109,1352-16766"
sequence-gap,case,ДАВоО-35-5,2 missing in 1..391: 389-390
sequence-gap,case,ДАВоО-35-9,"65527 missing in 1..70128: 172-173,2909,3266,3394-3401,3403-3406,3596,4090,4619-70127"
sequence-gap,case,ДАВоО-96-1,"3095 missing in 1..3654: 213,323,561-3653"
sequence-gap,case,ДАВоО-158-1,"974 missing in 2..1105: 3-6,14-19,21-22,25-26,30-31,33,38-41,43-46,49-51,55-67,72-95,97-100,102-104,106-111,115-116,118-126,128,130-132,135-142,144-145,…"
sequence-gap,case,ДАВоО-158-5,8 missing in 7..35: 27-34
sequence-gap,case,ДАВоО-193-1,"60031 missing in 2..60240: 5,9,22-29,39-41,43-46,57,64,66-68,78,131,222-268,270-6036,6038-6077,6079-31269,31271-55163,55165-55236,55238-60129,60131-60183,60185-60223,60225-60230,…"
sequence-gap,case,ДАВоО-195-1,"28129 missing in 2..28285: 19,24,47-49,99,107,112,114-117,133,168-28272,28274-28284"
sequence-gap,case,ДАВоО-286-1,"102 missing in 1..386: 23,35,39,42,47-48,55,59-60,66,80,82-83,87,89,107,124-125,127-128,146-148,155,165,174-176,180,…"
sequence-gap,case,ДАВоО-382-1,"120 missing in 12..164: 13,16-17,21-22,26-28,52-163"
sequence-gap,case,ДАВоО-382-2,"108 missing in 143..267: 144-162,168-181,183-189,191-192,194-198,201,205-221,223-234,236-266"
sequence-gap,case,ДАВоО-382-3,"32183 missing in 4..32319: 16,21,111,123-320,322,325,327,330-331,333-336,338-344,347-364,367-371,374-730,732-30348,30350-32318"
sequence-gap,case,ДАВоО-4666-1,5496 missing in 4219..9730: 4224-9719
sequence-gap,case,ДАВоО-4666-2,"14040 missing in 1..18242: 837,1191,1387,1592,1824,2785,3414,3977,4210-18241"
sequence-gap,case,ДАВоО-735-1,"12 missing in 177..208: 178,182-183,187,193,197-198,200,204-207"
