kind,level,ref,detail
sequence-gap,fund,ДАВіО,"5453 missing in 1..6129: 3,34,36,41-43,45-46,51-52,58,76,78,87,98,100,103,106,110-111,115,117-119,122,134-135,140,…"
sequence-gap,description,ДАВіО-П136,"54 missing in 1..61: 2,5-9,11-14,16-46,48-60"
sequence-gap,description,ДАВіО-Р2827,2 missing in 2..9: 3-4
sequence-gap,description,ДАВіО-Р196,1 missing in 1..5: 3
sequence-gap,description,ДАВіО-Р197,"7 missing in 1..10: 2-5,7-9"
sequence-gap,description,ДАВіО-Р687,"3 missing in 1..6: 2,4-5"
sequence-gap,description,ДАВіО-Р848,"23 missing in 1..26: 2,4-25"
sequence-gap,description,ДАВіО-Р2826,2 missing in 1..5: 2-3
sequence-gap,case,ДАВіО-29-1,"91 missing in 2..107: 4,7-20,22-30,32-43,45-61,63-66,68-73,77-80,82-101,103-106"
sequence-gap,case,ДАВіО-49-1,"377 missing in 13..430: 14-16,18,20-21,23-39,41-47,50-53,55-57,59-115,117-299,302,305-309,311-312,314-317,319,321-323,325,327-329,331-340,344-350,352-361,…"
sequence-gap,case,ДАВіО-80-1,"7914 missing in 28..7964: 40-5904,5906-5955,5957-5974,5976,5978-6017,6020-6038,6040-6099,6101-6235,6237-7780,7782-7963"
sequence-gap,case,ДАВіО-171-2,1 missing in 1..51: 29
sequence-gap,case,ДАВіО-172-9,"348 missing in 731..1088: 734-870,872-887,889-929,931,933-1066,1068-1078,1080-1087"
sequence-gap,case,ДАВіО-172-18,"1029 missing in 55..1093: 56-750,752-771,773-783,785-798,800-840,842-915,917-992,994-1023,1025-1092"
sequence-gap,case,ДАВіО-172-19,"1260 missing in 270..1540: 271-422,424-930,932-962,964-1008,1010-1260,1262-1290,1292-1296,1298-1518,1520-1525,1527-1539"
sequence-gap,case,ДАВіО-172-20,"1323 missing in 253..1587: 254-256,258-1066,1068-1115,1117-1232,1234-1246,1248-1259,1261-1431,1433-1492,1494-1517,1519-1569,1571-1586"
sequence-gap,case,ДАВіО-172-21,"1868 missing in 138..2020: 139-796,798-929,931-1280,1282-1285,1288-1421,1423-1435,1437-1514,1516-1634,1636-1672,1674,1676-1933,1935-1955,1957-2019"
sequence-gap,case,ДАВіО-172-22,"1533 missing in 257..1807: 258-657,659-665,667-1093,1095-1106,1108-1113,1115-1118,1120-1124,1126-1205,1207-1222,1225-1245,1247-1368,1370-1413,1415-1444,1446-1447,1449-1770,1772-1806"
sequence-gap,case,ДАВіО-174-1,"116 missing in 1..4056: 122,323-332,1842-1941,3314,3343,3387,3389,3791"
sequence-gap,case,ДАВіО-174-2,"115 missing in 1..1792: 390-399,479,552,717,829,1010-1109,1398"
sequence-gap,case,ДАВіО-174-3,"919 missing in 1..6560: 616,748,2844-2845,2856,2889,3200,3756,4021,4555,4606,4925,5046,5200-5999,6023,6200,6268,6324,6391,6454,6460-6559,…"
sequence-gap,case,ДАВіО-174-4,"2 missing in 1..1099: 1009,1058"
sequence-gap,case,ДАВіО-174-5,"214 missing in 1..1959: 255-258,921,1012-1111,1134,1537-1546,1562,1564,1573,1618-1712"
sequence-gap,case,ДАВіО-174-6,"3 missing in 1..1102: 164,310,950"
sequence-gap,case,ДАВіО-174-7,"22 missing in 1..2231: 131,148,294,426,675,961-969,1138-1139,1434,1475,1601,1898,2025,2156"
sequence-gap,case,ДАВіО-174-8,1 missing in 1..281: 267
sequence-gap,case,ДАВіО-174-10,5 missing in 12..58: 14-18
sequence-gap,case,ДАВіО-175-1,"127 missing in 24..168: 25-33,35-42,44-54,56,58-59,61-66,68-79,81-84,86-91,93-95,97-108,110-114,116-123,125-135,137-149,151-163,165-167"
sequence-gap,case,ДАВіО-177-1,"120410 missing in 1..120855: 2-51,53-79,81-82,84-116,120-125,127-135,137-206,208-214,216-260,262-326,328-334,336-345,352,355,383-768,771,773-774,776,778,780-790,…"
sequence-gap,case,ДАВіО-197-1,"30 missing in 9..56: 10-11,13-16,18,21,23,25,29-32,40-55"
sequence-gap,case,ДАВіО-198-1,"36 missing in 1..51: 2-5,12,14,16-21,27-50"
sequence-gap,case,ДАВіО-200-1,"870 missing in 2..904: 6-49,51-68,70-135,137-147,149-154,156-169,171-200,202-224,226-231,233-244,246-265,267-272,274-281,283-363,365-366,368-384,386-387,389-432,434-451,453-481,…"
sequence-gap,case,ДАВіО-229-1,"210 missing in 83..343: 84,86,88-89,91-97,99-101,103-107,109-113,115,117-118,120,122-129,131,133-138,140,142-147,149,151-158,161-170,172-173,175-180,…"
sequence-gap,case,ДАВіО-230-1,"2102 missing in 8..2226: 9,11-18,20-27,29-58,61-82,84-93,95-104,106-128,131-138,140-148,150-170,172-206,208-210,212-221,223-231,233-250,252,254-261,263-264,266-277,…"
sequence-gap,case,ДАВіО-286-1,"276 missing in 190..486: 191-201,203-233,235-242,244-279,281-285,287-289,291-292,294-296,298-299,301-308,310,312-315,317-318,320-321,323-326,328-431,433-439,441,443-484"
sequence-gap,case,ДАВіО-329-1,"13 missing in 2..29: 4,7,11,14-16,19,21-22,24-25,27-28"
sequence-gap,case,ДАВіО-364-1,"47 missing in 57..113: 58-62,64-78,84-91,93-103,105-112"
sequence-gap,case,ДАВіО-400-1,1 missing in 1..108: 3
sequence-gap,case,ДАВіО-402-1,14 missing in 1..47: 33-46
sequence-gap,case,ДАВіО-407-1,1 missing in 1..108: 80
sequence-gap,case,ДАВіО-474-1,"1161 missing in 80..1274: 81-83,85-88,90-98,100-102,104-107,109-112,114,116-118,120-121,123-124,126-130,132-146,148-153,155-157,159-164,166-172,175,177,179,181,…"
sequence-gap,case,ДАВіО-475-1,"273 missing in 10..309: 11-12,14,17-20,22-24,26-27,29,31-32,34-36,38,42,44-45,48,51-52,54-55,58-59,62,66-308"
sequence-gap,case,ДАВіО-477-1,"110 missing in 2..150: 7-8,11-12,15,21-101,103-104,107,109-111,113-114,117,119,121,123,125,128-131,136,142-147"
sequence-gap,case,ДАВіО-480-1,"4 missing in 1..50: 19,29,43,49"
sequence-gap,case,ДАВіО-506-1,"192 missing in 1..211: 2-9,11-16,18-19,21-23,25-46,48-79,81-124,126,129-131,133-158,160-161,163-166,168-186,188-189,191-193,195-208,210"
sequence-gap,case,ДАВіО-586-1,1 missing in 1..22: 7
sequence-gap,case,ДАВіО-726-1,"12 missing in 5..27: 6,8,11-14,20-25"
sequence-gap,case,ДАВіО-731-1,1 missing in 1..25: 15
