kind,level,ref,detail
sequence-gap,fund,ДАДнО,"2730 missing in 1..6638: 2-10,12-19,21-22,24-32,35-39,44-46,48-50,52-53,55-58,63-66,69,71,73-74,76-77,79,81-97,99-103,105,107-112,114-119,…"
sequence-gap,description,ДАДнО-193,1 missing in 1..9: 7
code-diff,description,ДАДнО-Р6508/13ПОШ,"kept existing inventory code ""13пош"""
code-diff,description,ДАДнО-Р6508/15ПОШ,"kept existing inventory code ""15пош"""
code-diff,description,ДАДнО-Р6508/18ПОШ,"kept existing inventory code ""18пош"""
code-diff,description,ДАДнО-Р6508/25ПОШ,"kept existing inventory code ""25пош"""
code-diff,description,ДАДнО-Р6508/26ПОШ,"kept existing inventory code ""26пош"""
code-diff,description,ДАДнО-Р6508/7ПОШ,"kept existing inventory code ""7пош"""
code-diff,description,ДАДнО-Р6508/8ПОШ,"kept existing inventory code ""8пош"""
code-diff,description,ДАДнО-Р6508/19ПОШ,"kept existing inventory code ""19пош"""
code-diff,description,ДАДнО-Р6508/31ПОШ,"kept existing inventory code ""31пош"""
code-diff,description,ДАДнО-Р6508/28ПОШ,"kept existing inventory code ""28пош"""
code-diff,description,ДАДнО-Р6508/1ПОШ,"kept existing inventory code ""1пош"""
code-diff,description,ДАДнО-Р6508/9ПОШ,"kept existing inventory code ""9пош"""
code-diff,description,ДАДнО-Р6508/14ПОШ,"kept existing inventory code ""14пош"""
code-diff,description,ДАДнО-Р6508/30ПОШ,"kept existing inventory code ""30пош"""
code-diff,description,ДАДнО-Р6508/24ПОШ,"kept existing inventory code ""24пош"""
code-diff,description,ДАДнО-Р6508/42ПОШ,"kept existing inventory code ""42пош"""
code-diff,description,ДАДнО-Р6508/3ПОШ,"kept existing inventory code ""3пош"""
code-diff,description,ДАДнО-Р6508/6ПОШ,"kept existing inventory code ""6пош"""
code-diff,description,ДАДнО-Р6508/10ПОШ,"kept existing inventory code ""10пош"""
code-diff,description,ДАДнО-Р6508/11ПОШ,"kept existing inventory code ""11пош"""
code-diff,description,ДАДнО-Р6508/17ПОШ,"kept existing inventory code ""17пош"""
code-diff,description,ДАДнО-Р6508/21ПОШ,"kept existing inventory code ""21пош"""
code-diff,description,ДАДнО-Р6508/27ПОШ,"kept existing inventory code ""27пош"""
code-diff,description,ДАДнО-Р6508/29ПОШ,"kept existing inventory code ""29пош"""
code-diff,description,ДАДнО-Р6508/10ПОШ2,"kept existing inventory code ""10пош2"""
sequence-gap,description,ДАДнО-6547,1 missing in 1..21: 4
sequence-gap,description,ДАДнО-Р2493,195 missing in 1..231: 36-230
code-diff,description,ДАДнО-Р2493/231,"kept existing inventory code ""23/1"""
sequence-gap,description,ДАДнО-Р2652,"19 missing in 1..32: 2-14,16-17,19,21-22,25"
sequence-gap,description,ДАДнО-Р2656,"2 missing in 1..14: 3,8"
sequence-gap,description,ДАДнО-Р2951,1 missing in 1..8: 7
sequence-gap,description,ДАДнО-Р3553,1 missing in 1..18: 12
code-diff,description,ДАДнО-Р4283/1ОС,"kept existing inventory code ""1ос"""
sequence-gap,description,ДАДнО-Р4494,1 missing in 1..5: 2
code-diff,description,ДАДнО-Р4497/1ДОД,"kept existing inventory code ""1д"""
code-diff,description,ДАДнО-Р4497/1В,"kept existing inventory code ""1в"""
sequence-gap,description,ДАДнО-Р4530,1 missing in 1..30: 23
code-diff,description,ДАДнО-Р4530/2А,"kept existing inventory code ""2а"""
code-diff,description,ДАДнО-Р4530/9В,"kept existing inventory code ""9в"""
code-diff,description,ДАДнО-Р5648/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р5858/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р5858/2ОС,"kept existing inventory code ""2ос"""
sequence-gap,description,ДАДнО-Р6505,1 missing in 1..48: 5
code-diff,description,ДАДнО-Р6514/19ОС,"kept existing inventory code ""19ос"""
code-diff,description,ДАДнО-Р6514/21ОС,"kept existing inventory code ""21ос"""
code-diff,description,ДАДнО-Р6514/23ОС,"kept existing inventory code ""23ос"""
code-diff,description,ДАДнО-Р6514/20ОС,"kept existing inventory code ""20ос"""
code-diff,description,ДАДнО-Р6514/22ОС,"kept existing inventory code ""22ос"""
code-diff,description,ДАДнО-Р6514/24ОС,"kept existing inventory code ""24ос"""
sequence-gap,description,ДАДнО-Р4530СЧ,29 missing in 1..37: 2-30
code-diff,description,ДАДнО-Р6187/1ЛД,"kept existing inventory code ""1л-д"""
code-diff,description,ДАДнО-Р6532/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6537/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6538/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6543/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6534/1ОС,"kept existing inventory code ""1ос"""
sequence-gap,description,ДАДнО-Р4521СЧ,1 missing in 4..7: 5
code-diff,description,ДАДнО-Р6551/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6551/2ОС,"kept existing inventory code ""2ос"""
code-diff,description,ДАДнО-Р6551/3ОС,"kept existing inventory code ""3ос"""
code-diff,description,ДАДнО-Р6551/4ОС,"kept existing inventory code ""4ос"""
code-diff,description,ДАДнО-Р6553/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6553/2ОС,"kept existing inventory code ""2ос"""
code-diff,description,ДАДнО-Р6558/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6559/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6560/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6560/2ОС,"kept existing inventory code ""2ос"""
code-diff,description,ДАДнО-Р6562/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6567/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6572/1ОС,"kept existing inventory code ""1ос"""
code-diff,description,ДАДнО-Р6574/1ОС,"kept existing inventory code ""1ос"""
