kind,level,ref,detail
sequence-gap,fund,ДАДоО,"1725 missing in 26..2013: 27,29-53,55-68,70-75,77-101,103-187,207,218,227,231,239,248,252-259,275-276,282-283,286,290,301,305-306,313-314,…"
sequence-gap,case,ДАДоО-240-1,1 missing in 1..45: 3
sequence-gap,case,ДАДоО-226-1,165 missing in 1..202: 37-201
sequence-gap,case,ДАДоО-102-1,"5 missing in 15..32: 16-19,27"
sequence-gap,case,ДАДоО-191-1,1 missing in 1..51: 42
sequence-gap,case,ДАДоО-294-1,1 missing in 1..12: 11
sequence-gap,case,ДАДоО-363-1,3 missing in 1..15: 9-11
sequence-gap,case,ДАДоО-272-1,2 missing in 1..14: 9-10
sequence-gap,case,ДАДоО-196-1,9 missing in 1..21: 12-20
sequence-gap,case,ДАДоО-198-1,"2 missing in 1..16: 4,10"
sequence-gap,case,ДАДоО-271-1,4 missing in 1..22: 8-11
sequence-gap,case,ДАДоО-1069-1,"196 missing in 118..327: 119-140,142-155,158-163,165-192,194-200,202-203,205-209,211-223,225-242,244-290,292-297,299-326"
