kind,level,ref,detail
junk-code,fund,ДАЖО/ВИДАННЯ,"irregular shape, migrated as ""ВИДАННЯ"""
sequence-gap,fund,ДАЖО,"5056 missing in 1..5549: 5-8,11-12,15,20,41,44-47,51-52,55-56,59,68,78,81-83,86-89,95,97-99,101,105,110-111,114,116,…"
sequence-gap,description,ДАЖО-118,"191 missing in 1..214: 22-42,44-213"
sequence-gap,description,ДАЖО-Р5069,"141 missing in 1..181: 38-130,132-140,142-180"
sequence-gap,case,ДАЖО-3-1,"123 missing in 6..145: 7-29,31,33-41,43-47,50-64,66,69-72,74-75,77,80-93,95-101,103-136,138-144"
sequence-gap,case,ДАЖО-2-1,"1049 missing in 63..1164: 64-83,86-118,120-145,147-156,158-165,167-244,246-279,281-337,339-347,349-357,360-401,403-502,504-551,553-565,568-571,573-592,594-597,599-600,602-636,638-642,…"
sequence-gap,case,ДАЖО-9-1,"10 missing in 1..24: 6,8-10,12-14,17-19"
sequence-gap,case,ДАЖО-10-1,"862 missing in 52..955: 53-146,148-157,159-174,176-182,184-211,213-217,219-300,302-307,309-322,324-363,365,367-378,380-392,394,396-398,400-408,410-415,417-420,422-474,476-494,…"
sequence-gap,case,ДАЖО-27-1,"1918 missing in 1..1929: 10-57,59-1928"
sequence-gap,case,ДАЖО-58-1,"1527 missing in 71..1610: 72-145,147-179,181-216,218-219,221-246,248-291,293-462,464-632,634-910,912-1030,1032-1212,1214-1609"
sequence-gap,case,ДАЖО-67-2,"8 missing in 5..29: 11,13-14,18,25-28"
sequence-gap,case,ДАЖО-67-3,"1166 missing in 1..1856: 296,691-1855"
sequence-gap,case,ДАЖО-67-1,"343 missing in 1..753: 401-491,493-498,500-534,536-542,544-572,574-695,697-699,701-750"
sequence-gap,case,ДАЖО-67-8,"4705 missing in 1..4750: 4-7,9-11,13-14,17,19-20,22,24,26-28,36-37,43-45,58-410,412-1316,1318-1820,1822-1927,1929-2427,2429-2929,2931,2933-3441,3443-4344,4346-4749,…"
sequence-gap,case,ДАЖО-115-1,"6073 missing in 1..6159: 3-16,18-141,143-164,166-230,232-247,249-264,266-279,281-289,291-301,303-333,335-410,412-503,505-521,523-682,684-896,898-911,913-1559,1561-1576,1578-1579,1581-1637,…"
sequence-gap,case,ДАЖО-115-2,"4861 missing in 389..5277: 390-480,482-629,631-666,668-786,788-1067,1069-1070,1072-1197,1200-1225,1227-1773,1775-1832,1834-2180,2183-2219,2221-2317,2319-2457,2459-2477,2479-2758,2760-3445,3447-3857,3859,3861-4415,…"
sequence-gap,case,ДАЖО-126-2,"1188 missing in 5..1253: 7-152,157-161,163-179,181-183,185-186,188-198,201-209,211-216,222-288,290-309,311-356,360-426,429-741,743,746-747,751-755,758-759,761-830,841-843,847-849,…"
sequence-gap,case,ДАЖО-146-1,"2657 missing in 1..6700: 14-15,45,52,54,56-59,64,188,297,324,349,362,368,370,375-376,407,414-417,425,432,454-457,464,…"
sequence-gap,case,ДАЖО-178-49,"3 missing in 1..69: 11,22,25"
sequence-gap,case,ДАЖО-178-3,"98549 missing in 1..99101: 55,66,69-71,87-91,134-136,257,560-709,711-7576,7578-9496,9498-83536,83538-93100,93102-93111,93113-99100"
sequence-gap,case,ДАЖО-178-51,"10 missing in 1..1828: 10,13,15,33,67,104,205,252,259,262"
sequence-gap,case,ДАЖО-178-14,"1097 missing in 15..1179: 16,18-29,33-64,69,89,99-114,118,122,124-137,139-156,158-159,161-167,169-214,216-270,272,274-278,280-323,325-381,383-407,411-433,…"
sequence-gap,case,ДАЖО-178-53,"117 missing in 4..197: 5-7,9-11,13-18,21-22,25-29,31-35,39-45,48-60,62-67,69-87,89-124,126,128,133-134,138-139,145-146,169,177-178,184"
