kind,level,ref,detail
sequence-gap,fund,ДАЗкО,"2471 missing in 1..2558: 4-8,10-12,14,16,21,23-25,27,29-31,33-42,44-59,61-79,81-92,94,96-99,102-108,110-150,152-162,164-198,200-209,212-219,…"
sequence-gap,description,ДАЗкО-239,2 missing in 1..6: 4-5
sequence-gap,description,ДАЗкО-П1,"93 missing in 2..106: 5-7,9-25,28,30,33-34,36,38-105"
sequence-gap,description,ДАЗкО-П20,"17 missing in 19..48: 20-21,24-25,27-31,33,35,37,39,41,43,45,47"
sequence-gap,description,ДАЗкО-П15,"27 missing in 1..48: 3-15,24,26,28,30,32,34,36,38,40-42,44,46-47"
sequence-gap,description,ДАЗкО-П22,"15 missing in 17..43: 19,21,23-25,27-29,31,33,35,37,39,41-42"
sequence-gap,description,ДАЗкО-П18,"10 missing in 13..36: 16,21-23,25,28-29,31,33,35"
sequence-gap,description,ДАЗкО-95,1 missing in 5..8: 6
sequence-gap,description,ДАЗкО-1606,"51910 missing in 1..51929: 18-51894,51896-51928"
sequence-gap,description,ДАЗкО-П13,"24 missing in 2..51: 4,6,8,12-20,30,32,34,36,38-39,41,43,45,47,49-50"
sequence-gap,description,ДАЗкО-43,"6 missing in 1..11: 3-6,8-9"
sequence-gap,description,ДАЗкО-151,"12 missing in 1..24: 4,7,10,12-13,15-16,18-21,23"
sequence-gap,description,ДАЗкО-163,"2 missing in 4..8: 5,7"
sequence-gap,description,ДАЗкО-1588,"4 missing in 1..8: 2-3,5,7"
sequence-gap,description,ДАЗкО-339,"2 missing in 1..5: 2,4"
sequence-gap,description,ДАЗкО-П26,"20 missing in 4..48: 5-9,11,15,24,26,28,30,32,34,36,38,40,42,44,46-47"
sequence-gap,description,ДАЗкО-П28,"15 missing in 11..48: 22-23,25,27,29,31,33,35,37,39,41,43,45-47"
sequence-gap,description,ДАЗкО-П32,"30 missing in 5..53: 6-18,22-24,27,30-31,33,35,37,39-40,42,44,46,48,50,52"
sequence-gap,description,ДАЗкО-П454,"30 missing in 1..50: 2-17,19-20,28,30,32,34-35,37,39,41,43,45,47,49"
sequence-gap,description,ДАЗкО-П60,"22 missing in 16..49: 19-21,23-30,32,34,36-38,40,42,44,46-48"
sequence-gap,description,ДАЗкО-П9,"27 missing in 2..47: 3-11,13-15,22,24,26-28,30,32,34-36,38,40,42,44,46"
sequence-gap,case,ДАЗкО-239-2,2 missing in 1..54: 12-13
sequence-gap,case,ДАЗкО-239-1,"13 missing in 1..1253: 242,402,552-557,559,993-995,1215"
sequence-gap,case,ДАЗкО-244-2,"9 missing in 1..318: 21,75,81-82,177-181"
sequence-gap,case,ДАЗкО-244-4,"8 missing in 1..117: 9-12,18,51,53-54"
sequence-gap,case,ДАЗкО-244-3,"10 missing in 1..1255: 34,82,111,1136,1147,1248-1249,1252-1254"
sequence-gap,case,ДАЗкО-767-1,1 missing in 1..199: 191
sequence-gap,case,ДАЗкО-101-1,20 missing in 1..531: 206-225
