kind,level,ref,detail
sequence-gap,fund,ДАЗпО,"557419 missing in 1..559324: 38,120,125,130,138,144,155,159,164,205,217-218,287,292,294-297,299-302,306-314,319,335-338,341,345,…"
sequence-gap,description,ДАЗпО-Р5593,2 missing in 1..30: 28-29
sequence-gap,description,ДАЗпО-21,2 missing in 1..9: 2-3
sequence-gap,description,ДАЗпО-Р419,1 missing in 1..4: 3
sequence-gap,case,ДАЗпО-12-2,"99 missing in 25..300: 42-44,46-56,102-129,131-140,142-155,163-164,166,208,213,215-221,223-225,229,231,284-299"
sequence-gap,case,ДАЗпО-19-1,"160 missing in 1..236: 40-41,45,63-78,80-220"
sequence-gap,case,ДАЗпО-117-1,"3 missing in 1..21: 9,12-13"
sequence-gap,case,ДАЗпО-126-1,5 missing in 1..15: 3-7
sequence-gap,case,ДАЗпО-140-1,"25 missing in 2..51: 3-12,14-16,18-22,24,27,29-30,34,39,49"
sequence-gap,case,ДАЗпО-145-1,"21 missing in 1..39: 3-5,7,9-11,15,18,23-24,26,28,30,32-38"
sequence-gap,case,ДАЗпО-147-1,"29 missing in 2..57: 3,14,16-42"
merge,case,ДАЗпО-148-1/3,merged variants: 3 + 03
merge,case,ДАЗпО-148-1/4,merged variants: 4 + 04
sequence-gap,case,ДАЗпО-149-1,"12 missing in 2..53: 3-5,9-10,22,37,39,42-45"
sequence-gap,case,ДАЗпО-151-1,5 missing in 1..18: 13-17
sequence-gap,case,ДАЗпО-157-1,19 missing in 1..41: 11-29
sequence-gap,case,ДАЗпО-169-1,1 missing in 1..23: 15
sequence-gap,case,ДАЗпО-242-1,1 missing in 1..16: 5
sequence-gap,case,ДАЗпО-245-1,1 missing in 2..61: 49
sequence-gap,case,ДАЗпО-246-1,"1665 missing in 1..1859: 4,89,105,120,156,175,200-1858"
sequence-gap,case,ДАЗпО-255-1,"2 missing in 410..504: 459,464"
sequence-gap,case,ДАЗпО-Р5593-16,"4 missing in 1..213: 17-18,23,105"
sequence-gap,case,ДАЗпО-Р5593-17,1 missing in 1..239: 150
sequence-gap,case,ДАЗпО-Р5593-1,"255 missing in 1..419: 2-15,24-36,46-50,54,56-71,76,106-108,112-115,117-123,136,138-142,151-162,164,166-171,189-190,202,207-208,210-212,222,261-410,…"
sequence-gap,case,ДАЗпО-Р5593-2,"1285 missing in 1..2211: 2,4,19,26-30,32-33,35-36,38-40,43-45,52-53,55,61-65,72-75,81,86-90,93-95,99,109,114-116,133,136-138,…"
sequence-gap,case,ДАЗпО-Р5593-3,"2199 missing in 1..2918: 54,65,67-72,84-87,142,153,194-195,222,303-306,315-320,336-337,375,384,419,434,440-443,483,489-491,493-494,496-501,…"
sequence-gap,case,ДАЗпО-Р5593-4,"6 missing in 1..321: 20,31,51,63,71,79"
sequence-gap,case,ДАЗпО-Р5593-5,"47 missing in 1..259: 4,7-10,19-20,27-28,31,33-34,37,39-40,42,49,60,63,67,70-71,73,75,81,83,86,91,…"
sequence-gap,case,ДАЗпО-Р5593-6,"48 missing in 1..202: 2,7-12,15-19,21-23,27-33,37,39-40,43-44,46-52,54,57-61,63,66-67,69,76,80,84-85"
sequence-gap,case,ДАЗпО-Р5593-7,"67 missing in 2..243: 3-6,8,11,14-17,19,24-26,29-30,32,34,37-39,41-46,49-50,53-54,56,59,61,64-66,68-69,73-77,79,…"
sequence-gap,case,ДАЗпО-Р5593-8,"24 missing in 1..73: 6,8-11,13-14,16-17,19-20,23-25,27,30,32-34,36,44,46,49-50"
sequence-gap,case,ДАЗпО-Р5593-9,"44 missing in 1..246: 9,13,16,26,31,37,50,55-56,63-64,67,79,94,96,100,105-107,109-110,112,115-119,121-126,129,…"
sequence-gap,case,ДАЗпО-Р5593-10,"21 missing in 1..250: 25,27,33,48,59,62,67-69,72-75,80,86,91,93,96,98,115-116"
sequence-gap,case,ДАЗпО-Р5593-11,"44 missing in 1..239: 3-8,11,13-14,16-17,19,27,29,31-35,45-47,50,53,55-59,61-64,86,88,90,93,98,100-102,104,…"
sequence-gap,case,ДАЗпО-Р5593-12,"22 missing in 1..178: 3,5,8-9,11-12,14,22,28,30-33,38,40,42-48"
sequence-gap,case,ДАЗпО-Р5593-13,"49 missing in 1..1132: 15,30,142,213-227,232,237,340,375-376,402-403,441,472-473,504,531,553,560-561,568,606,613,624,626-628,…"
sequence-gap,case,ДАЗпО-Р5593-14,"60 missing in 1..70: 8-66,69"
sequence-gap,case,ДАЗпО-Р5593-15,"2 missing in 1..182: 42,58"
sequence-gap,case,ДАЗпО-Р5593-18,"16 missing in 1..141: 3-8,11-12,18,22,24,26-29,49"
sequence-gap,case,ДАЗпО-Р5593-20,"20 missing in 4..306: 9-16,18-19,21-22,25,32,38,47,59,72,163,294"
sequence-gap,case,ДАЗпО-Р5593-21,"4 missing in 1..357: 14,66,69,84"
