kind,level,ref,detail
sequence-gap,fund,ДАК,"1628 missing in 1..1654: 3-5,8-15,19-90,92-98,100-110,112-152,154-162,164-178,180-182,184-191,193-236,238-242,244-311,313-351,353-359,361-870,872-944,946-966,968-1264,1266-1445,…"
sequence-gap,description,ДАК-16,"461 missing in 1..465: 2-326,328-463"
sequence-gap,description,ДАК-17,1 missing in 2..5: 3
sequence-gap,description,ДАК-163,"40 missing in 4..47: 6,8-46"
sequence-gap,case,ДАК-Р1446-1,"14 missing in 2..25: 6-7,10-13,16-18,20-24"
sequence-gap,case,ДАК-312-1,"59 missing in 25..114: 26,28-30,32-34,37-38,44-45,52,58-64,66-85,87-88,91,93-95,97-99,101-109,112-113"
sequence-gap,case,ДАК-Р1654-1,85 missing in 1..938: 248-332
sequence-gap,case,ДАК-99-1,"597 missing in 27..647: 28-30,32-33,36-55,57-92,94-131,133-144,147,150-173,175-193,195-222,224-228,230-247,249-281,283-341,344-393,395-406,408-477,479-486,488-646"
sequence-gap,case,ДАК-99-2,"578 missing in 12..602: 13-16,18-41,43,46-95,97-106,108-164,166-441,443-560,562,565-601"
sequence-gap,case,ДАК-163-7,"1441 missing in 14..1536: 16,18-46,48-49,51-55,57-66,68-79,81-86,90-98,101-119,121-140,142-149,152-159,161-205,207-213,215-217,219-223,225,227-231,233-318,320-328,…"
sequence-gap,case,ДАК-179-1,"7 missing in 1..22: 2,5-8,18-19"
sequence-gap,case,ДАК-1-2,"1365 missing in 544..1922: 545-650,652-727,729-787,789-798,800-892,894-918,920-1268,1270-1385,1389-1559,1561-1566,1568-1921"
