kind,level,ref,detail
sequence-gap,fund,ДАКО,"5707 missing in 0..11277: 57,105,107,153,156,174,176-177,181,195-196,199-200,214,216,237,244,246,253,255-257,260-263,270,274-275,…"
sequence-gap,description,ДАКО-1,"15 missing in 1..404: 97,99,101,103,130,133,308-314,396,401"
sequence-gap,description,ДАКО-2,"5 missing in 1..235: 63,70-71,80,137"
sequence-gap,description,ДАКО-504,"8 missing in 1..43: 11-15,24,41-42"
sequence-gap,description,ДАКО-1239,"7 missing in 1..130: 57-59,70,120-122"
sequence-gap,description,ДАКО-Р4245,1 missing in 1..4: 3
sequence-gap,description,ДАКО-Р4351,"6 missing in 1..11: 2-6,8"
sequence-gap,description,ДАКО-Р5661,"2 missing in 1..5: 2,4"
sequence-gap,description,ДАКО-Р4196,"5 missing in 1..10: 2-5,9"
sequence-gap,description,ДАКО-20,1 missing in 1..42: 39
junk-code,description,ДАКО-Р1188СЧ/1ДАТКОВИЙ,"irregular shape, migrated as ""1ДАТКОВИЙ"""
sequence-gap,description,ДАКО-1636,1 missing in 1..15: 11
sequence-gap,description,ДАКО-Р5574,1 missing in 1..5: 3
sequence-gap,description,ДАКО-Р4778,1 missing in 1..6: 4
sequence-gap,description,ДАКО-5607,1 missing in 1..7: 6
sequence-gap,description,ДАКО-280,"7 missing in 1..215: 3-4,18-21,198"
sequence-gap,description,ДАКО-П6,"5 missing in 664..715: 670,672,674,677,684"
sequence-gap,description,ДАКО-П19,1 missing in 809..855: 814
sequence-gap,description,ДАКО-4,"9 missing in 1..165: 33-39,41,63"
sequence-gap,description,ДАКО-22,1 missing in 1..8: 3
sequence-gap,description,ДАКО-72,12 missing in 1..16: 2-13
sequence-gap,description,ДАКО-192,2 missing in 1..5: 3-4
sequence-gap,description,ДАКО-Р2356,"10 missing in 2..17: 3,7-8,10-16"
sequence-gap,description,ДАКО-Р4752,1 missing in 1..6: 2
sequence-gap,description,ДАКО-Р5597,"8 missing in 1..150: 115-118,128-131"
sequence-gap,description,ДАКО-Р880СЧ,"150 missing in 4..161: 8-11,13-15,17-120,122-160"
sequence-gap,description,ДАКО-Р4277СЧ,"2 missing in 1..17: 2,4"
sequence-gap,description,ДАКО-5621,1 missing in 1..5: 4
sequence-gap,description,ДАКО-П328,1 missing in 2781..2828: 2795
sequence-gap,description,ДАКО-Р136,2 missing in 1..5: 3-4
sequence-gap,description,ДАКО-Р4971,"3 missing in 1..8: 2,5,7"
sequence-gap,description,ДАКО-5624,1 missing in 1..4: 2
sequence-gap,description,ДАКО-П1971,466 missing in 6452..6924: 6458-6923
sequence-gap,description,ДАКО-Р5682,"5 missing in 1..8: 2-4,6-7"
sequence-gap,description,ДАКО-Р4822,1 missing in 1..8: 7
sequence-gap,description,ДАКО-П5,"5729 missing in 558..6388: 563,565,567-568,580,664-6387"
sequence-gap,description,ДАКО-Р109,1 missing in 1..6: 4
sequence-gap,description,ДАКО-Р5103,3 missing in 1..9: 3-5
sequence-gap,description,ДАКО-П1,"9098 missing in 459..9644: 460-463,496,540,552-9643"
sequence-gap,description,ДАКО-Р4353,"8 missing in 1..26: 4-7,21-24"
sequence-gap,description,ДАКО-П3375,1 missing in 8557..8582: 8574
sequence-gap,description,ДАКО-Р235,"7 missing in 1..32: 12-13,17-18,23-24,30"
sequence-gap,description,ДАКО-Р3970,4 missing in 1..13: 8-11
sequence-gap,description,ДАКО-Р4986,2 missing in 1..6: 3-4
sequence-gap,description,ДАКО-П4737,11 missing in 10792..10809: 10796-10806
sequence-gap,description,ДАКО-П1400,1 missing in 5110..5155: 5111
sequence-gap,description,ДАКО-Р910СЧ,"3 missing in 1..13: 4,7-8"
sequence-gap,description,ДАКО-5645,1 missing in 1..6: 4
sequence-gap,description,ДАКО-Р2362,"4 missing in 1..9: 3-5,7"
sequence-gap,description,ДАКО-Р4199,7 missing in 1..19: 12-18
sequence-gap,description,ДАКО-П7,"3 missing in 716..758: 717,719,731"
sequence-gap,description,ДАКО-Р2360,"7 missing in 3..15: 4,7-8,11-14"
sequence-gap,description,ДАКО-П114,1 missing in 1607..1654: 1627
sequence-gap,description,ДАКО-5681,"4 missing in 1..8: 2,4,6-7"
sequence-gap,description,ДАКО-5676,1 missing in 1..5: 3
sequence-gap,description,ДАКО-Р4169,1 missing in 1..7: 2
sequence-gap,description,ДАКО-Р5650,1 missing in 1..4: 2
sequence-gap,description,ДАКО-Р4190,1 missing in 1..10: 7
sequence-gap,description,ДАКО-Р1891,1 missing in 1..4: 3
sequence-gap,description,ДАКО-Р710,1 missing in 1..8: 7
sequence-gap,description,ДАКО-Н2361,1 missing in 1..6: 5
sequence-gap,case,ДАКО-13-1,1 missing in 1..3561: 1623
sequence-gap,case,ДАКО-Р2360-3,"19 missing in 1..46: 2-4,16-20,24,36-45"
sequence-gap,case,ДАКО-Р2357-1,"101 missing in 1..128: 2,11,21-23,31-123,125-127"
sequence-gap,case,ДАКО-Р2356-4,65 missing in 6..87: 7-71
sequence-gap,case,ДАКО-Р2356-2,"60 missing in 3..81: 4-40,42-51,62,67-70,73-80"
sequence-gap,case,ДАКО-Р2356-6,"224 missing in 5..268: 6-75,77-167,169-187,190-197,199-223,230-240"
sequence-gap,case,ДАКО-Р2793-1,242 missing in 63..315: 73-314
sequence-gap,case,ДАКО-Р880СЧ-6,2 missing in 1..28: 22-23
sequence-gap,case,ДАКО-Р880СЧ-5,"44 missing in 1..155: 105,107-108,112,115-154"
sequence-gap,case,ДАКО-280-174,"1935 missing in 4..2457: 5-18,21-27,29-30,32-40,42-64,66-75,77-80,82-98,100,103-123,125-126,128-131,133-134,147-149,151,153-155,157-165,167-183,185-186,188-194,…"
sequence-gap,case,ДАКО-280-184,"11263 missing in 143..11431: 144-344,346-1083,1085-2138,2140-2569,2571,2573-3445,3447-3449,3451-4375,4377-4406,4408-6085,6087-6277,6279-6305,6307-6310,6312-6781,6783-6996,6998-7165,7167-7177,7179-7859,7861-7887,7889-8187,…"
sequence-gap,case,ДАКО-280-215,"188 missing in 1..202: 2-181,183-185,192-196"
sequence-gap,case,ДАКО-280-54,"75 missing in 10..106: 11-13,15-23,25-29,31-32,34-44,46-53,58-59,61-74,77-78,80,84-87,89-90,94-105"
sequence-gap,case,ДАКО-280-167,"1460 missing in 17..1523: 19,21-41,43-65,67-356,358-366,368,374-421,423-505,507,509-510,513-516,519-520,524-529,532-738,740-747,749-916,918-1054,1056-1099,1101-1174,1176-1195,…"
