kind,level,ref,detail
junk-code,fund,ДАКрО/П,"irregular shape, migrated as ""П"""
merge,fund,ДАКрО/514,merged variants: 514  + 514
sequence-gap,fund,ДАКрО,"4295 missing in 1..11111: 6,55,70,108,140,169,261,265,274,289,291,346,416,466,510,513,555,584,602-603,611,…"
sequence-gap,description,ДАКрО-Р1048,"2187 missing in 1..2193: 4,7-2192"
sequence-gap,description,ДАКрО-Р5037,6013 missing in 1..6021: 8-6020
sequence-gap,description,ДАКрО-Р5379,"6229 missing in 1..6232: 2,4-6231"
sequence-gap,description,ДАКрО-П4,"1298 missing in 1..1320: 7,9-21,36-1319"
sequence-gap,description,ДАКрО-Р1178,2017 missing in 1..2020: 3-2019
sequence-gap,description,ДАКрО-Р1292,1981 missing in 1..1984: 3-1983
sequence-gap,description,ДАКрО-20,17 missing in 1..20: 3-19
sequence-gap,description,ДАКрО-21,18 missing in 1..21: 3-20
sequence-gap,description,ДАКрО-89,93 missing in 1..96: 3-95
sequence-gap,description,ДАКрО-99,89 missing in 1..92: 3-91
sequence-gap,description,ДАКрО-113,8 missing in 1..11: 3-10
sequence-gap,description,ДАКрО-216,"208 missing in 1..212: 3,5-211"
sequence-gap,description,ДАКрО-392,371 missing in 1..374: 3-373
sequence-gap,description,ДАКрО-250,242 missing in 1..246: 4-245
sequence-gap,description,ДАКрО-317,"307 missing in 1..313: 2-3,5-6,10-312"
sequence-gap,description,ДАКрО-377,358 missing in 1..361: 3-360
sequence-gap,description,ДАКрО-476,429 missing in 1..432: 3-431
merge,description,ДАКрО-514/1,merged variants: 1 + 1
sequence-gap,description,ДАКрО-688,537 missing in 1..540: 3-539
sequence-gap,description,ДАКрО-712,561 missing in 1..564: 3-563
sequence-gap,description,ДАКрО-П5907,13639 missing in 1..13678: 39-13677
sequence-gap,description,ДАКрО-Р285,"1233 missing in 2..1237: 3-21,23-1236"
sequence-gap,description,ДАКрО-Р273,1220 missing in 1..1223: 3-1222
sequence-gap,description,ДАКрО-Р1185,2026 missing in 1..2031: 5-2030
sequence-gap,description,ДАКрО-Р1308,1989 missing in 1..1993: 4-1992
sequence-gap,description,ДАКрО-Р391,934 missing in 1..937: 3-936
sequence-gap,description,ДАКрО-Р1291,1979 missing in 1..1983: 4-1982
sequence-gap,description,ДАКрО-7,4 missing in 1..7: 3-6
sequence-gap,description,ДАКрО-Р1341,2214 missing in 1..2217: 3-2216
sequence-gap,description,ДАКрО-Р1338,2210 missing in 1..2214: 4-2213
sequence-gap,description,ДАКрО-Р2175,3611 missing in 1..3614: 3-3613
sequence-gap,description,ДАКрО-78,44 missing in 1..59: 15-58
sequence-gap,description,ДАКрО-Р2012,3131 missing in 1..3134: 3-3133
sequence-gap,description,ДАКрО-Р2251,3914 missing in 1..3917: 3-3916
sequence-gap,description,ДАКрО-Р2856,3638 missing in 1..3641: 3-3640
sequence-gap,description,ДАКрО-Р3022,"3950 missing in 1..3953: 2,4-3952"
sequence-gap,description,ДАКрО-Р4079,5027 missing in 1..5030: 3-5029
sequence-gap,description,ДАКрО-Р5213,"5900 missing in 1..5903: 2,4-5902"
sequence-gap,description,ДАКрО-Р5204,6249 missing in 1..6252: 3-6251
sequence-gap,description,ДАКрО-Р4543,5356 missing in 1..5359: 3-5358
sequence-gap,description,ДАКрО-53,50 missing in 1..53: 3-52
sequence-gap,description,ДАКрО-П2,1312 missing in 1..1318: 6-1317
sequence-gap,description,ДАКрО-П1,1315 missing in 1..1317: 2-1316
sequence-gap,description,ДАКрО-П3,"1314 missing in 1..1319: 3,6-1318"
sequence-gap,description,ДАКрО-Р164,"826 missing in 1..832: 4-6,8-15,17-831"
sequence-gap,description,ДАКрО-Р210,874 missing in 1..879: 5-878
sequence-gap,description,ДАКрО-Р216,880 missing in 1..885: 5-884
sequence-gap,description,ДАКрО-Р218,884 missing in 1..887: 3-886
sequence-gap,description,ДАКрО-Р242,1178 missing in 1..1186: 8-1185
sequence-gap,description,ДАКрО-Р254,1197 missing in 1..1200: 3-1199
sequence-gap,description,ДАКрО-Р249,1191 missing in 1..1194: 3-1193
sequence-gap,description,ДАКрО-Р250,1191 missing in 1..1195: 4-1194
sequence-gap,description,ДАКрО-Р281,"1225 missing in 1..1232: 5,8-1231"
sequence-gap,description,ДАКрО-Р301,1253 missing in 1..1257: 4-1256
sequence-gap,description,ДАКрО-Р293,1240 missing in 1..1247: 7-1246
sequence-gap,description,ДАКрО-Р269,1215 missing in 1..1218: 3-1217
sequence-gap,description,ДАКрО-Р272,"1216 missing in 1..1221: 4,6-1220"
