kind,level,ref,detail
sequence-gap,fund,ДАЛО,"6220 missing in 1..10134: 214,307,321,325-327,334,337,348-349,351-355,379,411,421,448-450,452,455,457-459,480,483,487,504,517,…"
sequence-gap,description,ДАЛО-Р822,"10 missing in 1..27: 5,9,11,14-15,17,20-22,26"
sequence-gap,description,ДАЛО-Р3181,"39 missing in 1..1507: 34,124,242,269,691,787-788,792-801,804,807-809,881,899,932,946,951,955,986,988,1005,1026,1119,…"
sequence-gap,description,ДАЛО-Р3321,"5 missing in 1..36: 6-7,11,15,29"
sequence-gap,description,ДАЛО-Р6,1 missing in 1..4: 3
sequence-gap,description,ДАЛО-1,"3 missing in 1..59: 46-47,49"
sequence-gap,description,ДАЛО-3,"51 missing in 1..61: 3-13,15-24,26-34,36-45,49-58,60"
sequence-gap,description,ДАЛО-26,"3 missing in 1..22: 18-19,21"
sequence-gap,description,ДАЛО-Р283,"5 missing in 1..20: 3,5-7,14"
sequence-gap,description,ДАЛО-Р203,8 missing in 1..11: 3-10
sequence-gap,description,ДАЛО-Р315,"2 missing in 1..6: 2,5"
sequence-gap,description,ДАЛО-Р474,2 missing in 1..5: 3-4
sequence-gap,description,ДАЛО-634,1 missing in 1..7: 2
sequence-gap,description,ДАЛО-3235,"316 missing in 1..352: 24,36-350"
sequence-gap,description,ДАЛО-1262,"2 missing in 1..293: 150,236"
sequence-gap,description,ДАЛО-Р120,"3 missing in 1..40: 4,36-37"
sequence-gap,description,ДАЛО-П1,1 missing in 1..4: 3
sequence-gap,description,ДАЛО-3234,3 missing in 1..13: 8-10
sequence-gap,description,ДАЛО-П4,"18 missing in 1..30: 3-19,21"
sequence-gap,description,ДАЛО-3232,"3 missing in 1..66: 5-6,61"
sequence-gap,description,ДАЛО-Р163,1 missing in 1..10: 3
sequence-gap,description,ДАЛО-Р402,1 missing in 1..4: 2
sequence-gap,description,ДАЛО-Р801,1 missing in 1..3: 2
sequence-gap,description,ДАЛО-Р714,10 missing in 1..12: 2-11
sequence-gap,description,ДАЛО-Р834,1 missing in 1..5: 3
sequence-gap,description,ДАЛО-Р948,"14 missing in 1..19: 2-9,11-16"
sequence-gap,description,ДАЛО-Р715,1 missing in 1..12: 3
sequence-gap,description,ДАЛО-П5003,"37 missing in 1..56: 3-34,36-40"
sequence-gap,description,ДАЛО-П2324,1 missing in 1..13: 6
sequence-gap,description,ДАЛО-Р1073,1 missing in 1..4: 2
sequence-gap,description,ДАЛО-Р1211,"31 missing in 1..72: 7,41-70"
sequence-gap,description,ДАЛО-Р1213,"2 missing in 1..291: 13,192"
sequence-gap,description,ДАЛО-Р1030,1 missing in 10..14: 11
sequence-gap,description,ДАЛО-Р1044,"3 missing in 1..7: 2,5-6"
sequence-gap,description,ДАЛО-Р1072,1 missing in 1..4: 2
sequence-gap,description,ДАЛО-Р1400,1 missing in 1..18: 8
sequence-gap,description,ДАЛО-Р1458,"6 missing in 1..25: 15,17-19,21-22"
sequence-gap,description,ДАЛО-Р1477,"6 missing in 1..15: 3,7,9,11-13"
sequence-gap,description,ДАЛО-Р2053,8 missing in 1..11: 3-10
sequence-gap,description,ДАЛО-Р2081,3 missing in 1..6: 2-4
sequence-gap,description,ДАЛО-Р2158,1 missing in 1..4: 3
sequence-gap,description,ДАЛО-Р2037,"10 missing in 1..56: 11,30-31,43,45,47-50,54"
sequence-gap,description,ДАЛО-Р2236,2 missing in 1..5: 2-3
sequence-gap,description,ДАЛО-Р2346,1 missing in 1..4: 3
sequence-gap,description,ДАЛО-Р879,"15 missing in 1..45: 4,6,13-14,17,19,22,24,27,29,32-33,36,39-40"
sequence-gap,description,ДАЛО-2,"9 missing in 1..43: 5,22,24,32,34,37-40"
sequence-gap,case,ДАЛО-121-3,"2 missing in 1..1031: 373,770"
sequence-gap,case,ДАЛО-139-12,"2 missing in 1..845: 503,831"
sequence-gap,case,ДАЛО-139-13,1 missing in 1..1451: 424
sequence-gap,case,ДАЛО-220-1,"233 missing in 1..540: 30-42,46-53,55-79,81-94,98-154,278-285,297,299-300,306-310,312,328-334,339-343,345-347,349-351,353,355-374,376-378,380,395-396,399-404,…"
sequence-gap,case,ДАЛО-255-1,"2223 missing in 32..3208: 34-121,123-127,129-159,161-199,203-218,220-245,247-271,273-386,388-395,397-407,409,412-447,449,451-471,473-486,488-496,498,500-511,513-514,516-520,…"
sequence-gap,case,ДАЛО-271-1,"5 missing in 1..1643: 184,623,855,1329,1384"
sequence-gap,case,ДАЛО-1068-1,"21 missing in 1..35: 5,7-18,22-24,26-30"
sequence-gap,case,ДАЛО-1068-2,"55 missing in 1..157: 2-50,52-56,139"
sequence-gap,case,ДАЛО-1143-1,"2 missing in 1..2001: 1146,1510"
sequence-gap,case,ДАЛО-1189-1,1 missing in 1..4019: 2375
sequence-gap,case,ДАЛО-1189-2,"33 missing in 1..970: 54,339-356,358-371"
sequence-gap,case,ДАЛО-1189-4,1 missing in 1..4030: 2809
sequence-gap,case,ДАЛО-1262-63,1 missing in 1..161: 46
sequence-gap,case,ДАЛО-1262-58,1 missing in 1..680: 448
sequence-gap,case,ДАЛО-1262-65,1 missing in 1..26: 8
sequence-gap,case,ДАЛО-1262-148,9 missing in 1..158: 91-99
sequence-gap,case,ДАЛО-1262-142,1 missing in 1..38: 3
sequence-gap,case,ДАЛО-1262-184,"2 missing in 1..41: 22,29"
sequence-gap,case,ДАЛО-1262-2,1 missing in 1..30: 8
sequence-gap,case,ДАЛО-1262-222,1 missing in 1..47: 32
