kind,level,ref,detail
junk-code,fund,ДАЛуО/ДС,"irregular shape, migrated as ""ДС"""
sequence-gap,fund,ДАЛуО,"3726 missing in 2..3778: 4-19,23-26,28-49,51-53,55-56,58,60-61,63,65-67,69-125,127-148,150-163,165-188,190-199,201-210,213-216,218-220,222-225,227,229-231,…"
sequence-gap,description,ДАЛуО-Р303,"5 missing in 3..25: 5-6,9,21-22"
sequence-gap,description,ДАЛуО-Р164,"11 missing in 1..16: 4-6,8-15"
sequence-gap,case,ДАЛуО-Р303-18,1 missing in 1..60: 43
sequence-gap,case,ДАЛуО-Р303-20,"2 missing in 1..51: 35,42"
sequence-gap,case,ДАЛуО-Р303-15,"2 missing in 1..42: 30,41"
sequence-gap,case,ДАЛуО-Р303-16,"7 missing in 1..71: 19,38,48,63,67-69"
sequence-gap,case,ДАЛуО-Р303-7,"20 missing in 24..54: 25,27-31,33-39,41-42,44-45,48,51,53"
sequence-gap,case,ДАЛуО-Р303-8,"38 missing in 9..78: 10-32,37,43-54,65,77"
sequence-gap,case,ДАЛуО-Р303-12,1 missing in 4..51: 33
sequence-gap,case,ДАЛуО-Р303-3,"2 missing in 6..28: 21,26"
sequence-gap,case,ДАЛуО-Р303-4,"3 missing in 7..38: 16,28,31"
sequence-gap,case,ДАЛуО-Р303-11,1 missing in 1..26: 20
sequence-gap,case,ДАЛуО-Р303-14,1 missing in 1..82: 46
sequence-gap,case,ДАЛуО-Р303-17,"2 missing in 1..41: 16,35"
sequence-gap,case,ДАЛуО-Р238-3,"37 missing in 1..622: 158-192,221,262"
sequence-gap,case,ДАЛуО-Р264-1,"5 missing in 1..314: 120,123-126"
sequence-gap,case,ДАЛуО-Р233-1,"2 missing in 1..164: 66,120"
sequence-gap,case,ДАЛуО-Р358-1,"25 missing in 1..183: 36,46-50,52-69,80"
sequence-gap,case,ДАЛуО-Р336-1,1 missing in 1..120: 38
sequence-gap,case,ДАЛуО-Р317-1,"2 missing in 1..36: 5,24"
sequence-gap,case,ДАЛуО-Р22-1,1 missing in 1..22: 8
sequence-gap,case,ДАЛуО-Р59-2,"11 missing in 1..25: 7-14,22-24"
sequence-gap,case,ДАЛуО-Р64-1,"102 missing in 86..307: 117-140,170-247"
sequence-gap,case,ДАЛуО-Р149-1,26 missing in 240..278: 245-270
sequence-gap,case,ДАЛуО-Р226-1,21 missing in 1..229: 162-182
sequence-gap,case,ДАЛуО-Р221-1,1 missing in 1..245: 109
sequence-gap,case,ДАЛуО-Р263-1,1 missing in 1..333: 232
