kind,level,ref,detail
junk-code,fund,ДАМО/А,"irregular shape, migrated as ""А"""
sequence-gap,fund,ДАМО,"1660 missing in 1..6325: 59,104,106,108,147,164,170,174,177,187,192,196,244,254,263,274,286,288,299,312,…"
sequence-gap,description,ДАМО-П34,1 missing in 1..56: 20
sequence-gap,description,ДАМО-П60,"2 missing in 1..60: 12,24"
sequence-gap,description,ДАМО-П7,"11 missing in 1..93: 18,23,27,29,33,35,37-38,58,78,92"
sequence-gap,description,ДАМО-П92,1 missing in 1..62: 13
sequence-gap,description,ДАМО-Р1196,1 missing in 2..8: 6
sequence-gap,description,ДАМО-Р578,1 missing in 1..10: 4
sequence-gap,description,ДАМО-Р1351,1 missing in 1..21: 10
sequence-gap,description,ДАМО-Р1918,"7 missing in 1..319: 13,151-152,185,198,263,288"
sequence-gap,description,ДАМО-435,1 missing in 1..7: 2
sequence-gap,description,ДАМО-П11,1 missing in 1..58: 23
sequence-gap,description,ДАМО-П118,"4 missing in 1..57: 22,37,44,47"
sequence-gap,description,ДАМО-П12,16 missing in 1..21: 2-17
sequence-gap,description,ДАМО-П124,"3 missing in 1..57: 2-3,7"
sequence-gap,description,ДАМО-П129,1 missing in 1..60: 24
sequence-gap,description,ДАМО-П13,"4 missing in 1..65: 3,12,16,29"
sequence-gap,description,ДАМО-П130,1 missing in 1..38: 27
sequence-gap,description,ДАМО-П131,1 missing in 1..60: 24
sequence-gap,description,ДАМО-П135,1 missing in 1..43: 21
sequence-gap,description,ДАМО-П258,1 missing in 1..35: 10
sequence-gap,description,ДАМО-П278,1 missing in 1..39: 15
sequence-gap,description,ДАМО-П62,"3 missing in 1..64: 8-9,26"
sequence-gap,description,ДАМО-Р1028,1 missing in 1..6: 3
sequence-gap,description,ДАМО-Р1049,1 missing in 1..4: 3
sequence-gap,description,ДАМО-Р162,2 missing in 1..12: 2-3
sequence-gap,description,ДАМО-Р2203,1 missing in 1..4: 2
sequence-gap,description,ДАМО-Р2850,1 missing in 1..4: 3
sequence-gap,description,ДАМО-Р3252,1 missing in 1..8: 6
sequence-gap,description,ДАМО-Р980,"3 missing in 1..11: 3-4,9"
sequence-gap,description,ДАМО-Р939,1 missing in 1..5: 2
sequence-gap,description,ДАМО-Р992,"3 missing in 1..13: 6-7,11"
sequence-gap,description,ДАМО-Р5392,2 missing in 1..6: 3-4
sequence-gap,description,ДАМО-Р982,3 missing in 1..6: 2-4
sequence-gap,case,ДАМО-Р2418-1,1 missing in 1..137: 53
sequence-gap,case,ДАМО-Р5859-1,"86 missing in 1..1093: 797,915-999"
sequence-gap,case,ДАМО-280-1,"6 missing in 6..94: 17,79-80,83,89,92"
sequence-gap,case,ДАМО-Р2847-1,"2 missing in 1..898: 367,875"
sequence-gap,case,ДАМО-5-1,"9 missing in 1..33: 13,20,24-30"
sequence-gap,case,ДАМО-8-1,3 missing in 1..51: 48-50
sequence-gap,case,ДАМО-14-1,"209 missing in 1..370: 2,13,16-18,20,22-23,29,34,36,38,43,48-50,54-56,60-61,64,66-67,71-84,86,89-101,103-105,109,…"
sequence-gap,case,ДАМО-32-1,"3 missing in 1..15: 2,13-14"
sequence-gap,case,ДАМО-38-1,1 missing in 1..30: 4
sequence-gap,case,ДАМО-39-1,"119 missing in 1..156: 2-3,6-7,9,12,17,19-20,22-33,35-44,59,63-142,144,148-149,151-154"
sequence-gap,case,ДАМО-40-1,1 missing in 1..12: 11
sequence-gap,case,ДАМО-116-1,1 missing in 1..1266: 784
sequence-gap,case,ДАМО-122-1,"3661 missing in 1..4158: 111,498-4157"
sequence-gap,case,ДАМО-123-1,63 missing in 1..213: 150-212
sequence-gap,case,ДАМО-126-1,133 missing in 1..145: 12-144
sequence-gap,case,ДАМО-127-1,1 missing in 1..11: 6
sequence-gap,case,ДАМО-129-1,"4 missing in 1..432: 149,352-353,360"
sequence-gap,case,ДАМО-132-1,"3 missing in 1..667: 227,249,666"
sequence-gap,case,ДАМО-133-1,1631 missing in 1..2678: 1047-2677
sequence-gap,case,ДАМО-135-2,"6 missing in 3..19: 6,9,11,15,17-18"
sequence-gap,case,ДАМО-137-1,1 missing in 1..1111: 846
sequence-gap,case,ДАМО-140-1,"227 missing in 1..241: 2-159,170-238"
sequence-gap,case,ДАМО-143-1,3 missing in 1..1249: 205-207
sequence-gap,case,ДАМО-146-1,"1081 missing in 1..1707: 85,395,627-1077,1079-1706"
sequence-gap,case,ДАМО-148-1,"7 missing in 1..529: 418,510-515"
sequence-gap,case,ДАМО-148-2,"301 missing in 1..515: 28,209-277,279-509"
sequence-gap,case,ДАМО-151-1,"8 missing in 1..1231: 516-519,989-992"
sequence-gap,case,ДАМО-152-1,"7 missing in 1..1473: 200,207,245,628-629,697,772"
sequence-gap,case,ДАМО-168-1,"192 missing in 1..480: 2,4,9,11-13,16-18,23-26,29,31-32,36-38,40-58,60-67,84,119-120,125-127,130,132-135,143-144,151,153-157,160,…"
sequence-gap,case,ДАМО-169-1,287 missing in 1..334: 47-333
sequence-gap,case,ДАМО-216-1,"10 missing in 1..4184: 369,844,1436,2080,2094,2373,2553,3578,3819,4062"
sequence-gap,case,ДАМО-221-1,"108 missing in 1..414: 41,50,66-68,76,88-93,114,140-149,189-193,228-229,234,298-322,324-348,351-353,356-357,359,364,366-367,369,372,374,…"
sequence-gap,case,ДАМО-221-2,"188 missing in 6..496: 8,32-54,56,58,61-64,66,68,71,75,78,80-115,145,148,150,153,164,235,242,244-245,248-249,…"
sequence-gap,case,ДАМО-222-1,"5 missing in 1..1852: 928,1061,1237,1612,1830"
sequence-gap,case,ДАМО-222-2,1 missing in 1..31: 22
sequence-gap,case,ДАМО-229-1,1 missing in 1..2584: 1498
sequence-gap,case,ДАМО-229-3,1 missing in 1..52: 23
sequence-gap,case,ДАМО-229-4,"2 missing in 1..577: 252,576"
sequence-gap,case,ДАМО-230-1,"2765 missing in 1..14515: 26,33-49,83,172,175-185,188-190,192,216,218,220,222,671,679,985,1232,1265,1438,1561,1571-1575,1578,…"
sequence-gap,case,ДАМО-230-2,"82 missing in 1..129: 43-47,49,51-125,127"
sequence-gap,case,ДАМО-231-1,"6657 missing in 1..8913: 341-342,780,919,988,1219,1229,1762,1785-1802,1995,2089,2183,2200,2214-2215,2288-8912"
sequence-gap,case,ДАМО-231-2,"78 missing in 55..142: 56-65,67-89,91-93,95-113,115-131,133-134,136-139"
sequence-gap,case,ДАМО-236-1,"3 missing in 1..865: 551,624,814"
sequence-gap,case,ДАМО-236-2,"6 missing in 1..98: 86-89,91,95"
sequence-gap,case,ДАМО-250-1,1 missing in 1..141: 139
sequence-gap,case,ДАМО-250-2,330 missing in 3..352: 22-351
sequence-gap,case,ДАМО-250-4,1 missing in 1..370: 167
sequence-gap,case,ДАМО-279-1,"35 missing in 3..155: 6-7,12-13,15-19,22-24,35,37,39-43,45,47,53-54,58-68,82"
sequence-gap,case,ДАМО-292-1,"11 missing in 1..1429: 525,531-532,536,538,541,1240,1409,1411,1415,1417"
sequence-gap,case,ДАМО-324-1,1 missing in 1..200: 58
sequence-gap,case,ДАМО-335-1,"3 missing in 1..309: 68,122,256"
sequence-gap,case,ДАМО-382-1,1 missing in 1..26: 10
sequence-gap,case,ДАМО-383-1,"2 missing in 1..24: 7,9"
sequence-gap,case,ДАМО-410-1,"17 missing in 1..343: 22,111,160-169,239-241,287,320"
sequence-gap,case,ДАМО-426-2,1 missing in 1..13: 5
sequence-gap,case,ДАМО-427-2,1 missing in 1..22: 13
sequence-gap,case,ДАМО-479-1,"2 missing in 1..311: 287,292"
sequence-gap,case,ДАМО-484-1,"17060 missing in 1..19452: 1453-1459,2154,2267,2400-19000,19002-19451"
sequence-gap,case,ДАМО-Р1000-1,"13 missing in 1..782: 272,274,431,727,771-779"
sequence-gap,case,ДАМО-Р1588-5,1 missing in 1..53: 39
sequence-gap,case,ДАМО-Р1594-1,"134 missing in 1..234: 5-6,9,11,13,15,17-18,21,23,26,29,31,33-35,37,39,41-43,46,48-51,53,55,57,…"
sequence-gap,case,ДАМО-Р1594-3,"38 missing in 5..168: 15,27-28,39,42,53-56,60,67,100,109,111,113-114,127,129-138,153-162,166"
sequence-gap,case,ДАМО-Р184-1,"90 missing in 9..113: 10-15,17-44,46-54,58-59,61-62,65,67-74,76-83,85-97,99-102,104-112"
sequence-gap,case,ДАМО-Р2871-1,1 missing in 1..7339: 7193
sequence-gap,case,ДАМО-Р509-1,"4 missing in 1..28: 5-6,19,22"
sequence-gap,case,ДАМО-Р5950-11,"117 missing in 6..142: 7-11,13-17,19,21-25,27-28,30-35,37-44,46-47,50-53,55-77,80-104,106-117,119-123,125-129,131-133,135-137,139-141"
sequence-gap,case,ДАМО-112-1,"6 missing in 461..496: 471-472,474,489,494-495"
sequence-gap,case,ДАМО-149-1,"5 missing in 1..52: 11,14,25,30,36"
sequence-gap,case,ДАМО-Н2702-1,"18 missing in 1..51: 5,14,17-21,24,30-32,36,38-43"
sequence-gap,case,ДАМО-Н1594-1,"134 missing in 1..234: 5-6,9,11,13,15,17-18,21,23,26,29,31,33-35,37,39,41-43,46,48-51,53,55,57,…"
sequence-gap,case,ДАМО-Н1594-3,"38 missing in 5..168: 15,27-28,39,42,53-56,60,67,100,109,111,113-114,127,129-138,153-162,166"
sequence-gap,case,ДАМО-Н1591-2,"51 missing in 1..108: 12-16,19-20,22-26,29-31,37-38,40-43,46-47,50-51,56-57,59-61,63,65,68-69,71,73,76-78,82-83,85-88,91,100-101,…"
sequence-gap,case,ДАМО-Н1591-1,"49 missing in 1..121: 7,9,12-13,17,19,22,24,26,41,48,50,54,56-64,70-72,74-75,78-79,81,83-86,89,95-98,…"
sequence-gap,case,ДАМО-Н1591-3,"200 missing in 4..218: 6-33,35-73,75-77,79-80,83,86-195,197-204,207-208,210,212-217"
sequence-gap,case,ДАМО-Н1591-6,1 missing in 1..25: 20
sequence-gap,case,ДАМО-Н1591-4,1 missing in 11..41: 24
sequence-gap,case,ДАМО-Н2084-2,1 missing in 1..213: 107
sequence-gap,case,ДАМО-Н1016-3,"3 missing in 1..104: 59,91-92"
sequence-gap,case,ДАМО-Р398-1,"27 missing in 2..51: 3-4,6,9,14,17,20,22,25,28-29,35-50"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007799504,"parsed ""ДАМО-(484-1-2199; 484-1-2200; 484-1-2201; 484-1-2202; 484-1-2203+++484-1-2199+++484-1-2199_1919, 
484-1-2200_1919-1920,  
484-1-2201_1920-1921, 
484-1-2201_1920-1921, 
484-1-2202_1920-1921, 
484-1-2203_1920-1921)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007802688,"parsed ""ДАМО-(484-1-1174; 484-1-1175; 484-1-1176; 484-1-1177; 484-1-1178; 484-1-1179; 484-1-1180+++484-1-1174+++484-1-1174_1895 
484-1-1175_1896 
484-1-1175_1897 
484-1-1177_1898 
484-1-1178_1899-1900 
484-1-1179_1901-1902 
484-1-1180_1903)"" does not single out one of 7 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803697,"parsed ""ДАМО-(484-1-796; 484-1-797; 484-1-799+++484-1-796+++484-1-796_1875,1878 
484-1-797_1876,1890,1892 
484-1-799_1877)"" does not single out one of 3 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803689,"parsed ""ДАМО-(484-1-777; 484-1-778; 484-1-779; 484-1-781+++484-1-777+++484-1-777_1896 
484-1-778_1897 
484-1-779_1897 
484-1-779_1898,1902 
484-1-781_1897,1898)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007804106,"parsed ""ДАМО-(484-1-708; 484-1-709; 484-1-710; 484-1-711+++484-1-708+++484-1-708_1892,1899 
484-1-709_1895 
484-1-710_1895 
484-1-711_1896)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007806053,"parsed ""ДАМО-(484-1-810; 484-1-811+++484-1-810+++484-1-810_1885 
484-1-811_1886)"" does not single out one of 2 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007809390,"parsed ""ДАМО-(484-1-279; 484-1-280; 484-1-281; 484-1-282; 484-1-283+++484-1-279+++484-1-279_1874-1875 
484-1-280_1873 
484-1-281_1876 
484-1-282_1883,1888,1891,1900 
484-1-283_1882 
484-1-284_1881-1883)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007810043,"parsed ""ДАМО-(484-1-149; 484-1-151; 484-1-153+++484-1-149+++484-1-149_1881 
484-1-151_1881,1882,1885,1887 
484-1-153_1882-1883)"" does not single out one of 3 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007810457,"parsed ""ДАМО-(484-1-260; 484-1-261; 484-1-263+++484-1-260+++484-2-260_1891,1907 
484-1-261_1892 
484-1-263_1895,1898)"" does not single out one of 3 candidate files"
