kind,level,ref,detail
junk-code,fund,ДАОО/ВИДАННЯ,"irregular shape, migrated as ""ВИДАННЯ"""
sequence-gap,fund,ДАОО,"16984 missing in 1..17563: 15,19,26-28,57,69,73,77-79,81,84-86,90,92,94,102,107,112-113,124,131,133-134,166,174,…"
sequence-gap,description,ДАОО-1,"185 missing in 2..230: 4-59,64-72,74-123,125-148,155-165,175-189,199,201,204-205,207-213,216-217,220,222-227"
sequence-gap,description,ДАОО-2,5 missing in 2..10: 3-7
sequence-gap,description,ДАОО-6,1 missing in 1..3: 2
sequence-gap,description,ДАОО-39,10 missing in 1..17: 7-16
sequence-gap,description,ДАОО-42,"30 missing in 2..35: 4-7,9-34"
sequence-gap,description,ДАОО-45,"2 missing in 1..24: 6,16"
sequence-gap,description,ДАОО-Р8085,"2 missing in 1..26: 5,7"
sequence-gap,description,ДАОО-901,"3 missing in 1..6: 2,4-5"
sequence-gap,description,ДАОО-903,"2 missing in 1..5: 2,4"
sequence-gap,description,ДАОО-16,122 missing in 1..124: 2-123
sequence-gap,description,ДАОО-897,"2 missing in 1..5: 2,4"
sequence-gap,description,ДАОО-900,"2 missing in 1..5: 2,4"
sequence-gap,case,ДАОО-897-1,"98 missing in 27..176: 28-34,36-124,173-174"
sequence-gap,case,ДАОО-897-3,1 missing in 1..66: 64
sequence-gap,case,ДАОО-16-1,"5 missing in 221..407: 267,296,320,357,388"
sequence-gap,case,ДАОО-16-124,"8598 missing in 8873..17564: 8901,8911-8977,8981-8982,8989-8996,9007-15898,15900-17395,17397-17398,17400-17411,17416-17418,17421-17422,17425-17439,17443,17445-17446,17450-17452,17455,17459,17463-17466,17468,17471-17474,17477-17484,…"
sequence-gap,case,ДАОО-24-1,"20 missing in 129..294: 191-199,201,218-220,265-271"
sequence-gap,case,ДАОО-21-1,1 missing in 42..94: 85
sequence-gap,case,ДАОО-25-1,"7 missing in 6..22: 7-10,12-14"
sequence-gap,case,ДАОО-30-1,2 missing in 2..36: 23-24
sequence-gap,case,ДАОО-110-1,"1331 missing in 17..1837: 18-773,779-785,797-807,812-818,829-836,841,850-857,861,871-872,879,886-892,896,907,914,917,919,922,926,935,940-941,…"
sequence-gap,case,ДАОО-103-1,"5 missing in 300..332: 303-306,326"
sequence-gap,case,ДАОО-1-152,"69 missing in 1..106: 2-7,9-10,12,18-24,26-28,32,34-50,52-57,61-63,66-73,75,77,79,81-83,86-87,92-93,95-96,99,101,104,…"
sequence-gap,case,ДАОО-1-154,"81 missing in 1..116: 2-11,13-16,19-21,25-32,34-37,40-41,44-45,47-48,51-57,60-64,66-69,73,76,78-80,83,85-88,90-95,97,99-103,105-108,…"
sequence-gap,case,ДАОО-1-166,"94 missing in 1..123: 2-21,24,27,35,37-43,46-49,51-54,56-61,63-64,66,68-71,74-77,79-82,84,86-112,114,116-118,120-122"
sequence-gap,case,ДАОО-1-230А,"66 missing in 28..99: 29-43,45-59,61-72,75-98"
sequence-gap,case,ДАОО-1-60,"90 missing in 5..127: 8-13,15-27,29-31,33,36-39,42-44,46-47,49-62,65,68-69,72-78,80-89,91-93,97-98,102-103,107,109-118,120,122-126"
sequence-gap,case,ДАОО-1-61,"79 missing in 33..125: 34-40,42-57,59-77,79-80,82,84-87,89-98,100-108,111-117,119-120,123-124"
sequence-gap,case,ДАОО-1-62,"155 missing in 1..243: 2-4,7,9,11-13,16,18,20-21,23,31,39,41-43,46,48,52,54,56-57,62,65,67-68,72-73,…"
sequence-gap,case,ДАОО-1-63,"104 missing in 1..135: 2-3,6-10,12,17-24,26-35,37-51,53-58,60,62-69,72,74-77,79,82-84,86,92-93,95-97,99,101-119,121,123-134,…"
sequence-gap,case,ДАОО-1-149,"111 missing in 5..130: 6,10-66,68-69,72-80,84-88,90-92,94-105,107-127,129"
sequence-gap,case,ДАОО-1-151,"70 missing in 6..91: 9,11-12,15,17-62,64-70,72,74-76,78,80-81,83-84,87-90"
sequence-gap,case,ДАОО-1-153,"95 missing in 9..122: 10-12,14-18,20-22,24,27-59,61-98,100-102,111-117,119-120"
sequence-gap,case,ДАОО-1-2,"16 missing in 1..118: 9,11-12,61-70,115-117"
sequence-gap,case,ДАОО-1-150,"38 missing in 8..67: 10-13,16-20,22,24-31,33,35,37-40,43,45,47-50,54-57,59,61,64,66"
sequence-gap,case,ДАОО-1-167,"90 missing in 5..115: 6,8,10-57,60-61,63-64,67-69,73,76-95,97-99,101,105,107-110,112-114"
sequence-gap,case,ДАОО-1-168,"43 missing in 5..58: 6-7,10-12,14-17,20-52,57"
sequence-gap,case,ДАОО-1-170,"42 missing in 14..71: 16-21,24-35,38,40,42-53,55-56,59-60,62-67"
sequence-gap,case,ДАОО-1-171,"50 missing in 1..83: 11,13-16,20,22-27,29,33-35,38-39,41-42,44,47,49-50,52-54,56,61-82"
sequence-gap,case,ДАОО-1-172,"53 missing in 1..81: 6-11,15-19,23-29,31-32,35-48,50-55,57-64,69,73-74,79-80"
sequence-gap,case,ДАОО-1-173,"12 missing in 1..47: 5-6,9,20,22,33,36,38,41,43,45-46"
sequence-gap,case,ДАОО-1-174,"4 missing in 1..56: 32,50-51,53"
sequence-gap,case,ДАОО-1-190,"94 missing in 2..134: 3,5-9,11-13,15-25,37-39,41-48,50,53,58,63-68,73-76,78-79,82-113,115-122,126-133"
sequence-gap,case,ДАОО-1-192,"95 missing in 31..143: 32-33,38-65,68-74,78,81,84-100,102-114,116-129,131-142"
sequence-gap,case,ДАОО-1-198,"1502 missing in 37..1558: 38-130,132-207,209-523,525-559,561-955,957-975,977,979-999,1001-1016,1018-1036,1038-1044,1046-1085,1087-1113,1115-1238,1242-1258,1260-1460,1462-1557"
sequence-gap,case,ДАОО-1-200,"109 missing in 17..136: 18-24,27-40,42,44-46,48-51,53-58,60-64,66-87,89-135"
sequence-gap,case,ДАОО-1-203,"78 missing in 3..92: 4-6,8-10,13-18,23-24,26-29,31-44,46-91"
sequence-gap,case,ДАОО-2-8,"18 missing in 28..2600: 655,1012,1176-1178,1299,1632,1692-1700,1986,2006"
sequence-gap,case,ДАОО-2-8Н,"1781 missing in 388..2185: 389-614,616-2170"
sequence-gap,case,ДАОО-359-1,"105 missing in 1..306: 10,15,23-30,32,72-74,78,109-113,123,133-136,200,202-203,229-305"
sequence-gap,case,ДАОО-630-1,"284 missing in 1..348: 2-10,13-21,24-34,37-42,44-56,58-61,63-70,72-77,79-97,99-103,105-110,112-114,116-123,125-128,130-132,134-138,140-141,143-148,150-152,155-156,…"
sequence-gap,case,ДАОО-Р16-124,"8610 missing in 8875..17564: 8876,8883,8888-8889,8891,8901,8904,8907,8909-8977,8981-8982,8989-8996,9007-17395,17397-17398,17400-17411,17416-17418,17421-17422,17425-17439,17443,17445-17446,17450-17452,17455,…"
sequence-gap,case,ДАОО-5-1Л,"82 missing in 49..643: 105-119,148-158,214-216,301,303-310,399-401,463-465,503,524,546-548,550,567-568,576,579,581-599,621,623-630"
sequence-gap,case,ДАОО-7-1Л,"13 missing in 12..638: 185,194,391,412,425-426,435,438,440,447,504,511,537"
sequence-gap,case,ДАОО-8-1Л,"11 missing in 28..225: 51-52,55,57,61,85-89,94"
sequence-gap,case,ДАОО-11-1,"5 missing in 8..112: 9-11,15-16"
sequence-gap,case,ДАОО-18-1,"1775 missing in 89..1991: 105,216-1571,1573-1990"
sequence-gap,case,ДАОО-23-1,"122 missing in 108..258: 117-173,177-241"
sequence-gap,case,ДАОО-37-3,"12855 missing in 1..13909: 92,126,145,209,249,256,308,319,332,359,366,372,383,385-389,393,395-401,403-404,406-409,411,414-420,…"
sequence-gap,case,ДАОО-37-4,"60 missing in 1..219: 9,14-15,19,21,30,39-45,47-50,53-54,56,58,65,70,76,78-79,85-87,91,95-97,103,124-126,128-129,…"
sequence-gap,case,ДАОО-37-13,"72 missing in 1..1248: 971-979,1034,1081-1105,1108-1123,1125-1127,1129,1131-1132,1168-1170,1177-1178,1200-1202,1210,1232-1234,1245-1247"
sequence-gap,case,ДАОО-37-3А,"51 missing in 1..305: 32-36,39,56-58,71,96,127,160,170-171,183,185-188,191-192,194-195,212,214,216,219,255,260,262,275-278,…"
sequence-gap,case,ДАОО-37-2,"11 missing in 1..143: 11,18,25,37,48,52-53,62,68,77,110"
sequence-gap,case,ДАОО-37-15,"4 missing in 1..43: 19-20,23,33"
sequence-gap,case,ДАОО-37-13Б,"1126 missing in 1..1168: 40-1100,1103-1167"
sequence-gap,case,ДАОО-37-13Г,"1234 missing in 1..1247: 11-1176,1178-1244,1246"
sequence-gap,case,ДАОО-39-6,"3752 missing in 1..3921: 13,20,45,48,55,82,90-95,97,99,119,154,160,163-164,167,170,172,191-3920"
sequence-gap,case,ДАОО-41-1,4 missing in 2..39: 3-6
sequence-gap,case,ДАОО-42-3,"73128 missing in 1..78559: 4,8,13-15,38,48,70,75,89,98,102,111-112,120-129,131-173,175-220,222-239,247,249-254,258-264,267-274,276-283,…"
sequence-gap,case,ДАОО-45-14,4 missing in 2002..2017: 2003-2006
sequence-gap,case,ДАОО-95-1,"2 missing in 2..18: 3,12"
sequence-gap,case,ДАОО-109-1,"8 missing in 41..64: 42-48,56"
sequence-gap,case,ДАОО-114-1,"3 missing in 15..83: 16-17,36"
sequence-gap,case,ДАОО-164-1Л,"7 missing in 6..32: 7,12,21,25-27,31"
sequence-gap,case,ДАОО-175-1,"92 missing in 2..210: 56,77-93,97-102,104-109,114-126,137-143,161-177,183-207"
sequence-gap,case,ДАОО-185-1,1 missing in 32..285: 158
sequence-gap,case,ДАОО-896-1,"18 missing in 1..71: 2-11,41,45,65-70"
sequence-gap,case,ДАОО-898-1А,"6 missing in 1..179: 23,25,51,99,130,145"
sequence-gap,case,ДАОО-900-1,"4 missing in 1..60: 38-39,51-52"
sequence-gap,case,ДАОО-900-3,2 missing in 1..55: 12-13
sequence-gap,case,ДАОО-900-5,"12 missing in 1..234: 79,88,108,111,118,121,130,158,179,226,231-232"
sequence-gap,case,ДАОО-901-6,"2 missing in 1..116: 52,55"
sequence-gap,case,ДАОО-901-1,"3 missing in 1..45: 29,37-38"
sequence-gap,case,ДАОО-901-3,"2 missing in 1..39: 7,33"
sequence-gap,case,ДАОО-902-1,3 missing in 1..109: 106-108
sequence-gap,case,ДАОО-903-3,"32 missing in 1..202: 3,12,80,83-85,93-96,102,111-116,118,120-124,126-129,131-132,141,172,186"
sequence-gap,case,ДАОО-903-5,"30 missing in 1..246: 7-9,11-27,29-30,33-36,38-40,226"
sequence-gap,case,ДАОО-903-1,"3 missing in 1..223: 83,112,210"
sequence-gap,case,ДАОО-906-3,"9 missing in 1..83: 52-53,56-58,60-62,70"
sequence-gap,case,ДАОО-906-1,"4 missing in 40..84: 72,77,80,82"
sequence-gap,case,ДАОО-925-1,6 missing in 1..29: 23-28
sequence-gap,case,ДАОО-Р8065-2,"12996 missing in 255..13322: 256-267,269-315,317-320,322-325,327-370,372-442,444-459,461-535,537-554,556-567,569-572,574-652,654-668,670-679,681-711,713-715,717-718,721-722,724-743,745-754,…"
sequence-gap,case,ДАОО-Р8085-1,"6 missing in 1..2177: 786,1268,2029,2043,2054,2144"
sequence-gap,case,ДАОО-Р8085-9,"2 missing in 1..265: 181,223"
sequence-gap,case,ДАОО-Р8085-10,"3 missing in 1..265: 227-228,261"
sequence-gap,case,ДАОО-Р8085-17,"3 missing in 1..100: 87,92-93"
sequence-gap,case,ДАОО-Р8085-19,1 missing in 1..63: 47
sequence-gap,case,ДАОО-Р8085-23,"82 missing in 1..192: 99,101,109-112,116-191"
sequence-gap,case,ДАОО-Р8085-2,"1801 missing in 223..2038: 224-226,229-2019,2021-2022,2024,2026-2029"
sequence-gap,case,ДАОО-Р8085-3,"5 missing in 2040..2059: 2042,2054,2056-2058"
sequence-gap,case,ДАОО-2351-3,"431 missing in 1..3184: 76,314,551,983,1001,1422,1490,1516-1517,1524-1537,1548-1549,1551-1615,1618,1621-1622,1624-1641,1645,1648-1698,1700-1704,1706-1707,1713,1715-1721,…"
sequence-gap,case,ДАОО-Р2351-3,"12 missing in 1..3184: 76,142,314,983,1001,1422,1551,1863,1888,2325,2890,3133"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=116524580,"parsed ""ДАОО-(1_171_1_ч2+++1_171_1_ч2+++1_171_1_ч2)"" does not single out one of 2 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678105,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1006-1011+++Ф. 2, о. 8, д. 1006-1011+++2-8-1006-1011_1897,   
2-8-1013-1025_1897)"" does not single out one of 6 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678160,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1652-1656+++Ф. 2, о. 8, д. 1652-1656+++2-8-1652-1656_1897)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678161,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1701-1720+++Ф. 2, о. 8, д. 1701-1720+++2-8-1701-1720_1897)"" does not single out one of 20 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678162,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1721-1732+++Ф. 2, о. 8, д. 1721-1732+++2-8-1721-1732_1897)"" does not single out one of 12 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678163,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1733-1742+++Ф. 2, о. 8, д. 1733-1742+++2-8-1733-1742_1897)"" does not single out one of 10 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678106,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1026-1050+++Ф. 2, о. 8, д. 1026-1050+++2-8-1026-1050_1897)"" does not single out one of 25 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678107,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1051-1079+++Ф. 2, о. 8, д. 1051-1079+++2-8-1051-1079_1897)"" does not single out one of 29 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678108,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1080-1082+++Ф. 2, о. 8, д. 1080-1082+++2-8-1080-1082_1897)"" does not single out one of 3 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=005678109,"parsed ""ДАОО-(Ф. 2, о. 8, д. 1083-1110+++Ф. 2, о. 8, д. 1083-1110+++2-8-1083-1110_1897)"" does not single out one of 28 candidate files"
