kind,level,ref,detail
junk-code,fund,ДАРО/ВИДАННЯ,"irregular shape, migrated as ""ВИДАННЯ"""
sequence-gap,fund,ДАРО,"2682 missing in 5..2771: 6,8-10,12-15,19-21,23-25,28,32,34,36-38,42,44-45,47-50,53-81,83-85,87-113,115-126,128-130,132-146,148-155,157-160,…"
sequence-gap,description,ДАРО-740,"2 missing in 2..6: 3,5"
sequence-gap,description,ДАРО-31,"15 missing in 1..20: 4-8,10-19"
sequence-gap,description,ДАРО-384,1 missing in 1..7: 4
sequence-gap,description,ДАРО-52,"2 missing in 1..8: 4,7"
sequence-gap,description,ДАРО-156,1 missing in 1..11: 7
sequence-gap,case,ДАРО-17-1,"12 missing in 5..28: 6,9,11-12,14,19-20,22,24-27"
sequence-gap,case,ДАРО-7-1,"5 missing in 1..73: 5,22,24-25,50"
sequence-gap,case,ДАРО-204-1,"24 missing in 2..95: 3,6-7,11-14,16-19,22,25-27,33-35,40-41,55,85,90,93"
sequence-gap,case,ДАРО-27-3,1 missing in 1..92: 22
sequence-gap,case,ДАРО-30-3,"67 missing in 6..634: 12-16,19,21,23,27,53-57,64,68,82-83,123-126,179-183,220,242,266-268,298-301,328,359-361,364-366,393-395,429-431,…"
sequence-gap,case,ДАРО-30-4,"31 missing in 4..89: 7-9,11,13-16,38,40-42,44-46,48,51,55-56,58,60-62,64-65,70,76-77,81-82,87"
sequence-gap,case,ДАРО-30-12,"75448 missing in 1..84765: 2,23,27,44-46,64,66-67,79,109-113,162-167,169,171-172,196-208,240-242,244,280,294-295,416,449,464,531,…"
sequence-gap,case,ДАРО-30-2,"203 missing in 14..875: 15-27,29,33-52,59-61,67-69,87-90,92-94,96,98-99,103-107,109-131,133-134,136-139,143-151,153,157-160,187-191,326,330-333,338,…"
sequence-gap,case,ДАРО-30-11,1 missing in 3..67: 4
sequence-gap,case,ДАРО-30-15,"25 missing in 1..36: 4,8-12,14-32"
sequence-gap,case,ДАРО-30-17,"45 missing in 5..82: 6-45,73-77"
sequence-gap,case,ДАРО-30-18,"464 missing in 1..2924: 2-11,14-17,24,26-37,41,43-49,51-55,92-94,102-105,117-128,130-138,411-423,429,447-455,459-477,480,705,747,774,834,…"
sequence-gap,case,ДАРО-30-19,"146 missing in 1..614: 2-4,14,41,46-48,50-60,62-67,72-75,120-123,126,128-131,133-138,161-162,165-166,168-176,216-217,230,235,239,241-243,246-257,…"
sequence-gap,case,ДАРО-30-20,"11 missing in 1..937: 280-289,734"
sequence-gap,case,ДАРО-30-21,"29 missing in 1..39: 2,5-6,9-10,12-14,17-37"
