kind,level,ref,detail
sequence-gap,fund,ДАСО,"5725 missing in 1..7750: 4,8,10-11,15,17,19,23,25,30,42,44,50,52-55,58-59,62,68,72,74-76,84-86,89-93,…"
sequence-gap,description,ДАСО-Р7720,1 missing in 1..28: 19
sequence-gap,description,ДАСО-1189,27 missing in 1..31: 4-30
sequence-gap,description,ДАСО-7729,"8 missing in 1..12: 3-5,7-11"
sequence-gap,case,ДАСО-586-1,1 missing in 1..194: 58
sequence-gap,case,ДАСО-630-1,"62 missing in 1..107: 43-75,77-83,85-106"
sequence-gap,case,ДАСО-630-2,"2 missing in 1..106: 76,84"
sequence-gap,case,ДАСО-632-1,1 missing in 1..23: 2
sequence-gap,case,ДАСО-Р838-1,"9 missing in 1..55: 4-5,10,12-13,18,20,30,38"
sequence-gap,case,ДАСО-Р1047-1,"74 missing in 1..493: 39-84,126,185-202,244,246,249-250,421-422,428,433-434"
sequence-gap,case,ДАСО-743-1,"916 missing in 1..1173: 122,258-1172"
sequence-gap,case,ДАСО-743-3,2 missing in 1..51: 11-12
sequence-gap,case,ДАСО-743-5,1 missing in 1..192: 83
sequence-gap,case,ДАСО-743-6,62 missing in 1..83: 21-82
sequence-gap,case,ДАСО-820-1,"5 missing in 1..216: 9,85,97-98,102"
sequence-gap,case,ДАСО-838-1,"9 missing in 1..55: 4-5,10,12-13,18,20,30,38"
sequence-gap,case,ДАСО-993-1,"324 missing in 11..411: 16-21,26-60,72-75,87-122,137-140,142-152,162-163,185-410"
sequence-gap,case,ДАСО-1047-1,"74 missing in 1..493: 39-84,126,185-202,244,246,249-250,421-422,428,433-434"
sequence-gap,case,ДАСО-1188-5,1 missing in 1..59: 24
sequence-gap,case,ДАСО-1188-3,"2 missing in 1..51: 2,39"
sequence-gap,case,ДАСО-1161-1,2 missing in 1..33: 31-32
sequence-gap,case,ДАСО-750-1,"3 missing in 1..889: 62,188,324"
sequence-gap,case,ДАСО-925-1,"2 missing in 1..92: 41,47"
