kind,level,ref,detail
junk-code,fund,ДАТО/Н,"irregular shape, migrated as ""Н"""
sequence-gap,fund,ДАТО,"3485 missing in 2..3572: 9,17,22,30-31,33-36,38-53,55-56,75-84,86-91,93,95-125,127-147,149-163,165-188,190-199,201-202,204-241,243-284,286-331,333-349,…"
sequence-gap,description,ДАТО-3,1 missing in 3..7: 4
sequence-gap,description,ДАТО-Р164,"11 missing in 1..16: 4-6,8-15"
sequence-gap,case,ДАТО-16-1,"23 missing in 56..125: 58-59,80,89,93-108,121-123"
sequence-gap,case,ДАТО-21-1,1 missing in 1..2101: 1942
sequence-gap,case,ДАТО-20-1,"3 missing in 1..237: 116,118,236"
sequence-gap,case,ДАТО-25-2,"2 missing in 1..384: 31,38"
sequence-gap,case,ДАТО-25-1,"8 missing in 1..2023: 1603,1605,1778,1870,1969,1984,2005-2006"
sequence-gap,case,ДАТО-26-2,3 missing in 1..28: 24-26
sequence-gap,case,ДАТО-26-1,1 missing in 1..50: 48
sequence-gap,case,ДАТО-37-2,"2 missing in 149..203: 200,202"
sequence-gap,case,ДАТО-486-1,"78 missing in 1..408: 120,174,294,329-403"
sequence-gap,case,ДАТО-487-1,"430 missing in 1..779: 18,36-37,43-44,49-50,52,61,66-70,75-76,80-83,90-91,93,96,109-111,113,124,132,190,200,211,241,…"
sequence-gap,case,ДАТО-Р3572-2,"1229 missing in 117..1359: 119-120,122-161,163-201,203-206,208-322,328-896,898-923,925-1358"
sequence-gap,case,ДАТО-392-1,"2 missing in 1..29: 11,19"
sequence-gap,case,ДАТО-388-1,1 missing in 1..30: 9
sequence-gap,case,ДАТО-389-1,1 missing in 2..46: 16
sequence-gap,case,ДАТО-387-1,2 missing in 1..39: 3-4
sequence-gap,case,ДАТО-485-1,"113 missing in 1..210: 21,26-29,31-32,34-36,59-61,68,87-89,112-121,124-209"
sequence-gap,case,ДАТО-Р3429-1,"368 missing in 1..12850: 89,92,155,496,527,780,827,880,884,951,1247,1344,1488-1633,1777,1834,1852,1873,2176,2199,2205,…"
sequence-gap,case,ДАТО-Р3429-2,"10 missing in 2..35: 7-13,19-20,24"
sequence-gap,case,ДАТО-32-1,"49 missing in 27..113: 53,55-68,71-84,92-103,105-112"
sequence-gap,case,ДАТО-3-6,"339 missing in 1..2009: 69,81-82,159,172,174,177,187,196,212,217,219,230,232,238-239,253,261,266-267,422,714,741,…"
sequence-gap,case,ДАТО-3-7,"29229 missing in 12..32626: 127,155,179,182,184,210,214,228,233,265,272,280,287,294,297,304,320,341,346-348,362-363,…"
sequence-gap,case,ДАТО-3-5,"883 missing in 246..2224: 247-1095,1390,1679,1681-1684,1688-1689,1692,1725,1749,1752,1780,1799,1922,1970,2006,2013,2044-2045,2047-2048,2103-2104,2107-2108,2120,…"
sequence-gap,case,ДАТО-4-1,"265 missing in 62..359: 63-73,80-167,175-235,243-299,306-353"
sequence-gap,case,ДАТО-4-2,"250 missing in 109..476: 112-150,160-161,168-169,181-304,306-326,354-363,370-371,378-385,389-391,393,402-406,426-437,444-451,458-470"
sequence-gap,case,ДАТО-4-3,"33 missing in 15..89: 26-28,33-37,45-60,68-69,74-80"
sequence-gap,case,ДАТО-5-1,"1958 missing in 9..2009: 10-93,106-125,129-131,134,155-199,204-2008"
sequence-gap,case,ДАТО-6-2,"1985 missing in 2..2003: 5-6,8-12,16-20,22-41,46,50-2001"
sequence-gap,case,ДАТО-7-1,"146 missing in 80..279: 84,114,122-143,145-164,172-273"
sequence-gap,case,ДАТО-7-4,"156 missing in 22..391: 37,143-153,194,240-380,387,390"
sequence-gap,case,ДАТО-68-1,"3 missing in 1..99: 12-13,20"
sequence-gap,case,ДАТО-14-1,"175 missing in 2..604: 4-5,7,22-25,48-51,68-69,71,83-103,121-127,190-195,277-286,379-404,500-527,534-596"
sequence-gap,case,ДАТО-14-4,"228 missing in 500..773: 501-502,505,507-508,513,516,518-520,523-623,633-737,753-755,760-768"
sequence-gap,case,ДАТО-14-3,"58 missing in 2..480: 3,5-8,10-13,16,19,27,30-31,33-45,52-54,67-69,74-78,80,109-114,125-126,134-144"
sequence-gap,case,ДАТО-14-2,"9 missing in 5..207: 9-14,41-42,122"
sequence-gap,case,ДАТО-59-1,1 missing in 1..105: 74
sequence-gap,case,ДАТО-58-1,1 missing in 1..205: 34
sequence-gap,case,ДАТО-63-1,14 missing in 1..62: 36-49
sequence-gap,case,ДАТО-92-1,"27 missing in 1..219: 66,69,82,134,138,163,191-211"
sequence-gap,case,ДАТО-60-1,1 missing in 1..30: 9
sequence-gap,case,ДАТО-12-1,1 missing in 1..69: 2
sequence-gap,case,ДАТО-11-1,"164 missing in 58..232: 59-83,85-135,138-145,147-226"
sequence-gap,case,ДАТО-11-2,"88 missing in 26..150: 32-64,66-117,121-122,143"
sequence-gap,case,ДАТО-71-1,1 missing in 1..33: 14
sequence-gap,case,ДАТО-72-1,2 missing in 1..45: 41-42
sequence-gap,case,ДАТО-2-1,"1063 missing in 1..2001: 2-7,9-32,41,43,46-49,52,55,59-60,62,64,70,72,74,76,82,84-85,87,89,92-94,99,…"
sequence-gap,case,ДАТО-2-3,"436 missing in 11..690: 13-114,116-150,216-224,226-229,233-234,237-246,249-250,253-360,362,374-378,399-476,483-496,519-520,524-525,527,549-551,559-569,575,578,591,…"
sequence-gap,case,ДАТО-426-1,"37 missing in 1..292: 107,118,244-247,253-256,262-288"
sequence-gap,case,ДАТО-484-1,"22 missing in 1..231: 95,168-169,186-190,192-196,206-209,213,215-218"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007769591,"parsed ""ДАТО-(Volume 485-1/1; Volume 485-1/2; Volume 485-1/3-6+++Volume 485-1/1+++)"" does not single out one of 6 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007800448,"parsed ""ДАТО-(Volume 487-1/144; Volume 487-1/145; Volume 487-1/146; Volume 487-1/147; Volume 487-1/148; Volume 487-1/149; Volume 487-1/150; Volume 487-1/151; Volume 487-1/152; Volume 487-1/152a; Volume 487-1/153 Births1852-; Volume 487-1/154; Volume 487-1/155+++Volume 487-1/144+++)"" does not single out one of 13 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803048,"parsed ""ДАТО-(Volume 484-1/54-56+++Volume 484-1/54-56+++)"" does not single out one of 3 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007823570,"parsed ""ДАТО-(Volume 37-2/191; Volume 37-2/192+++Volume 37-2/191+++)"" does not single out one of 2 candidate files"
