kind,level,ref,detail
sequence-gap,fund,ДАХО,"5961 missing in 3..6532: 5,10,13,22-23,28-29,32-35,39,43-45,47-48,53-54,56,59,66,68,70,72-76,80-81,84-86,90,93,…"
sequence-gap,description,ДАХО-4,"36 missing in 146..187: 147-159,161-162,164-165,167-176,178-186"
sequence-gap,description,ДАХО-40,"103 missing in 1..147: 5-104,106,108,111"
sequence-gap,description,ДАХО-31,1 missing in 141..145: 143
sequence-gap,description,ДАХО-Р6532,"25 missing in 3..36: 4-11,15-18,20,22-24,26-32,34-35"
sequence-gap,description,ДАХО-Р6531,"33 missing in 29..136: 101-108,110-126,128-135"
sequence-gap,description,ДАХО-Р870,5 missing in 1..26: 8-12
sequence-gap,description,ДАХО-Р872,1 missing in 1..5: 4
sequence-gap,description,ДАХО-3,"228 missing in 59..289: 60-286,288"
sequence-gap,description,ДАХО-Р4713,"2 missing in 1..7: 2,5"
sequence-gap,description,ДАХО-Р219,1 missing in 1..5: 4
sequence-gap,description,ДАХО-Р563,1 missing in 1..7: 3
sequence-gap,description,ДАХО-Р1392,1 missing in 1..4: 3
sequence-gap,description,ДАХО-Р1394,1 missing in 1..5: 3
sequence-gap,description,ДАХО-Р212,1 missing in 1..7: 3
sequence-gap,description,ДАХО-Р530,1 missing in 1..7: 5
sequence-gap,description,ДАХО-Р845,2 missing in 1..8: 5-6
sequence-gap,description,ДАХО-Р847,1 missing in 1..4: 2
sequence-gap,case,ДАХО-31-141,"75 missing in 1..552: 13,32,42-43,48,291,390,424,426,428,431,434-435,439-440,446,448,458,460-462,464,466-472,474-479,481-483,…"
sequence-gap,case,ДАХО-37-3,7 missing in 95..131: 120-126
sequence-gap,case,ДАХО-40-129,"126 missing in 1..156: 2,4,6,8-11,13-15,17-20,23,25,28-31,33-42,44-46,48-51,53,55-57,59-62,64-66,68-80,82-88,90-98,100-106,…"
sequence-gap,case,ДАХО-40-131,"144 missing in 28..185: 29-52,54-72,74-90,92-108,110-112,114-125,128-130,132-134,136-147,149-157,159-171,173-184"
sequence-gap,case,ДАХО-40-132,"171 missing in 7..220: 8-12,14,16-22,25-28,30-36,38-50,53-54,56,58-62,64,67-76,78-82,84-88,90-92,94-96,98-101,106-111,113-128,131-134,136-141,…"
