kind,level,ref,detail
junk-code,fund,ДАХеО/Р,"irregular shape, migrated as ""Р"""
sequence-gap,fund,ДАХеО,"3630 missing in 1..4099: 3-4,7-13,15,17-18,21,23,25-37,39-40,42-45,47,49-57,59-80,82-103,105-108,110,112,114-115,117-123,125,127-136,…"
sequence-gap,description,ДАХеО-259,"19 missing in 1..72: 5,8-19,21-23,25,27,37"
sequence-gap,description,ДАХеО-14,1 missing in 1..5: 3
sequence-gap,description,ДАХеО-Р4033,"2 missing in 1..10: 2,9"
sequence-gap,description,ДАХеО-Р1668,1 missing in 1..5: 4
sequence-gap,description,ДАХеО-П16,2 missing in 5..9: 7-8
sequence-gap,description,ДАХеО-П137,"2 missing in 1..10: 3,6"
sequence-gap,description,ДАХеО-П139,8 missing in 1..11: 2-9
sequence-gap,description,ДАХеО-П126,"6 missing in 3..13: 5,7-10,12"
sequence-gap,case,ДАХеО-П169-1,"773 missing in 179..1032: 181-189,192-193,195-200,202-215,218-225,227-237,239-249,251,253-258,260,262-264,266-296,299-301,303-612,614-616,619-623,625-630,632-640,642-650,652-657,…"
sequence-gap,case,ДАХеО-П169-2,"66 missing in 164..241: 165-186,189-200,202-207,209-211,213-214,216,218-221,223-231,233-236,238-240"
sequence-gap,case,ДАХеО-22-1,"2215 missing in 1..2374: 2,4,8,11,20,23-25,27-28,31-32,35,37-45,47,50-51,53,57,60,62,64,69-70,73-74,76,…"
sequence-gap,case,ДАХеО-207-1,"2080 missing in 31..2138: 32-40,42-65,67-68,70-88,90-95,97-155,157-220,222-241,243-295,297-400,402-429,431-453,455-470,472-492,494-516,518-770,772-827,829-1316,1318-1321,1323-1501,…"
sequence-gap,case,ДАХеО-Р3982-1,"2 missing in 1..177: 136,158"
sequence-gap,case,ДАХеО-Р1182-1,2 missing in 1..14: 5-6
sequence-gap,case,ДАХеО-Р1762-1,"25 missing in 1..47: 2,4,6,8,10-11,13,16-20,23,29,31-33,35-36,40-45"
sequence-gap,case,ДАХеО-Р1042-1,"12 missing in 13..168: 14-20,22-26"
sequence-gap,case,ДАХеО-Р1100-1,2 missing in 1..66: 64-65
sequence-gap,case,ДАХеО-Р1056-1,1 missing in 1..91: 41
sequence-gap,case,ДАХеО-Р2085-1,303 missing in 1..745: 442-744
sequence-gap,case,ДАХеО-Р2084-1,"5 missing in 1..152: 22-23,27,29,31"
sequence-gap,case,ДАХеО-2422-2,1 missing in 1..64: 25
sequence-gap,case,ДАХеО-Р1887-3,"565 missing in 161..746: 162-284,286-382,384-399,401-465,467-562,564-633,635-678,680-693,696-697,699-702,704,707-713,715,718-720,722-725,727-740,742-745"
sequence-gap,case,ДАХеО-Р2420-1,1 missing in 1..272: 159
sequence-gap,case,ДАХеО-Р4033-3,"959 missing in 29..999: 30-105,107-212,214-348,350-366,368-418,420-798,800-845,848-966,968-989,991-998"
sequence-gap,case,ДАХеО-Р4033-4,"931 missing in 30..971: 32-315,317-347,349-514,516-583,585-644,646-664,666-779,781-810,812-970"
sequence-gap,case,ДАХеО-Р4033-5,"970 missing in 9..991: 10-19,21-64,66-232,234-246,248-249,252-258,260-294,296-725,727-936,938-968,970-990"
junk-code,case,ДАХеО-Р4033-10/СПРАВ,"irregular shape, migrated as ""СПРАВ"""
sequence-gap,case,ДАХеО-Р4033-10,"708 missing in 13..1440: 17,26-277,289,294-723,726,728,736,742,747-749,754-755,759-760,952-963,1395"
sequence-gap,case,ДАХеО-Р2-4,"283 missing in 37..330: 38-43,46-214,216-260,263-270,272-276,278-291,293-323,325-329"
sequence-gap,case,ДАХеО-Р2-2,"120 missing in 74..209: 75-86,88-114,116-129,132-138,140-146,148-151,153-155,157-168,171-180,182-187,189-193,195-202,204-208"
sequence-gap,case,ДАХеО-Р1040-2,1 missing in 1..107: 34
sequence-gap,case,ДАХеО-Р3327-1,1 missing in 1..222: 17
sequence-gap,case,ДАХеО-Р1193-3,10 missing in 1..275: 188-197
sequence-gap,case,ДАХеО-Р126-1,"4 missing in 1..32: 6,25-26,31"
sequence-gap,case,ДАХеО-Р126-2,"14 missing in 1..36: 2-3,5-8,12-13,15-16,19,21,23-24"
sequence-gap,case,ДАХеО-Р126-3,"12 missing in 1..59: 5,7-9,11-12,14,43,55-58"
sequence-gap,case,ДАХеО-Р126-4,"22 missing in 1..60: 2-4,6-9,23-26,29-33,37,39-42,56"
sequence-gap,case,ДАХеО-Р126-5,"18 missing in 1..65: 13-15,19-26,30,32-37"
sequence-gap,case,ДАХеО-Р126-6,"20 missing in 1..59: 10-12,16-24,28,30-35,50"
sequence-gap,case,ДАХеО-Р126-7,"25 missing in 1..61: 11-12,17-25,29-31,34-36,53-60"
sequence-gap,case,ДАХеО-Р126-8,"43 missing in 1..83: 11-12,15-23,25-26,29-32,41-66"
sequence-gap,case,ДАХеО-Р126-10,"46 missing in 1..84: 12-14,18-29,31-32,34-37,44-68"
sequence-gap,case,ДАХеО-Р126-11,"68 missing in 3..131: 15,17-20,24-37,39-41,43-48,61-98,124-125"
sequence-gap,case,ДАХеО-Р126-12,"45 missing in 1..93: 10-13,21-61"
sequence-gap,case,ДАХеО-Р126-13,"40 missing in 1..95: 11-14,21-56"
